degree	frequency
8	999532
9	727026
10	546050
11	420453
12	329287
13	263776
14	214707
15	176445
16	146237
17	123753
18	105066
19	89994
20	78296
21	68126
22	59154
23	52150
24	46143
25	40787
26	36439
27	32870
28	29616
29	26606
30	24373
31	22084
32	20065
33	18418
34	16888
35	15526
36	14186
37	13178
38	12386
39	11182
40	10501
41	9713
42	9082
43	8275
44	7701
45	7350
46	6996
47	6462
48	6098
49	5865
50	5378
51	5188
52	4807
53	4486
54	4301
55	4099
56	3851
57	3732
58	3445
59	3441
60	3230
61	3078
62	2834
63	2729
64	2578
65	2441
66	2428
67	2371
68	2166
69	2110
70	2060
71	1937
72	1812
73	1779
74	1747
75	1594
76	1524
77	1522
78	1498
79	1399
80	1333
82	1276
81	1265
83	1261
84	1181
86	1140
85	1121
87	1094
88	1024
90	967
89	962
91	936
92	874
95	856
93	841
98	799
97	794
94	794
96	785
99	716
100	664
103	655
101	649
102	634
104	628
106	621
105	580
107	567
108	534
109	512
110	496
111	492
116	489
115	487
113	464
114	461
112	454
117	450
119	431
118	421
120	417
125	381
126	380
123	374
121	369
122	354
124	350
127	347
128	343
129	338
130	334
131	319
133	303
134	300
135	299
138	275
136	272
137	271
139	269
132	267
140	259
146	253
141	242
144	235
145	231
148	229
142	228
151	226
147	217
161	217
143	216
153	214
149	211
155	208
156	202
152	198
157	192
154	186
160	185
150	179
163	175
162	173
159	170
171	157
169	156
168	151
164	151
158	147
165	146
173	143
167	143
166	143
170	141
177	136
174	135
178	133
179	131
182	129
186	129
172	125
181	125
176	122
175	115
184	114
183	110
187	109
193	108
198	106
199	106
194	102
204	102
196	102
185	102
195	102
191	101
192	97
190	96
180	96
189	92
201	91
202	91
203	87
188	87
200	86
197	86
214	81
209	78
223	77
220	74
211	74
213	73
210	71
218	71
205	71
208	71
227	70
221	69
207	68
226	67
212	67
206	65
217	64
219	64
222	64
240	63
230	63
225	63
224	62
236	62
232	60
237	60
246	59
215	59
235	58
247	58
228	57
242	56
251	56
229	55
233	54
216	54
244	54
245	53
238	52
234	52
231	50
260	50
279	49
248	49
259	49
256	49
252	48
261	46
239	46
249	46
243	46
264	45
270	45
257	44
241	43
265	42
262	41
250	41
258	41
254	41
290	40
253	40
271	40
263	38
287	38
267	37
301	36
308	36
286	36
309	36
280	35
269	35
283	35
330	34
275	34
272	34
292	34
307	33
284	33
314	32
289	32
255	32
310	31
274	31
266	31
305	30
311	30
268	29
276	29
313	29
293	29
333	28
298	28
327	27
282	27
306	27
319	26
336	26
335	26
288	26
299	26
315	26
273	25
281	25
302	25
295	25
278	25
328	24
304	24
356	23
334	23
317	23
296	23
342	23
297	23
332	23
291	23
350	22
277	22
326	21
363	21
344	21
322	21
300	21
325	21
316	20
339	20
349	20
380	20
285	20
303	19
360	19
359	19
364	19
294	19
323	19
347	18
367	18
348	18
345	18
375	18
329	18
352	17
324	17
366	17
312	17
355	17
340	17
371	17
393	16
399	16
378	16
361	16
370	16
351	16
358	16
318	16
425	15
383	15
320	15
338	15
369	15
346	15
392	15
401	15
501	14
389	14
439	14
429	14
403	14
402	14
343	14
404	14
341	14
427	13
467	13
433	13
362	13
374	13
406	13
373	13
321	13
353	13
396	12
407	12
388	12
434	12
379	12
415	12
337	12
331	12
444	11
398	11
422	11
430	11
435	11
357	11
395	11
438	11
408	11
390	10
477	10
498	10
500	10
456	10
460	10
376	10
420	10
410	10
431	10
417	10
416	10
488	9
387	9
459	9
506	9
455	9
541	9
463	9
381	9
532	9
447	9
554	9
478	9
372	9
441	9
446	9
405	9
391	9
365	9
437	9
560	8
579	8
413	8
421	8
511	8
377	8
450	8
474	8
412	8
471	8
464	8
382	8
354	8
418	8
394	8
386	8
665	7
468	7
602	7
490	7
470	7
400	7
525	7
620	7
454	7
385	7
492	7
537	7
481	7
449	7
517	7
485	7
495	7
476	7
443	7
432	7
469	7
510	7
508	7
436	7
419	7
624	6
499	6
561	6
524	6
555	6
566	6
635	6
507	6
702	6
544	6
451	6
659	6
640	6
428	6
514	6
534	6
539	6
484	6
483	6
497	6
384	6
424	6
465	6
503	6
548	6
480	6
409	6
703	5
650	5
868	5
536	5
641	5
858	5
663	5
750	5
639	5
533	5
440	5
588	5
599	5
594	5
597	5
529	5
575	5
545	5
580	5
654	5
458	5
782	5
466	5
397	5
565	5
569	5
581	5
482	5
661	5
487	5
462	5
520	5
489	5
426	5
513	5
528	5
453	5
448	5
368	5
461	5
493	5
445	5
457	5
526	5
414	5
1494	4
637	4
605	4
818	4
791	4
740	4
542	4
675	4
759	4
698	4
670	4
531	4
604	4
686	4
610	4
472	4
642	4
616	4
660	4
625	4
648	4
623	4
582	4
645	4
678	4
496	4
551	4
423	4
636	4
522	4
619	4
572	4
608	4
562	4
600	4
494	4
627	4
583	4
546	4
557	4
618	4
530	4
666	4
685	4
509	4
621	4
590	4
547	4
486	4
543	4
518	4
411	4
442	4
1040	3
1299	3
1058	3
869	3
1025	3
725	3
986	3
826	3
1052	3
933	3
777	3
821	3
856	3
717	3
516	3
662	3
811	3
589	3
587	3
978	3
758	3
733	3
674	3
741	3
603	3
804	3
596	3
699	3
909	3
732	3
556	3
595	3
871	3
787	3
656	3
704	3
676	3
738	3
727	3
860	3
519	3
720	3
550	3
746	3
850	3
598	3
692	3
584	3
719	3
834	3
628	3
682	3
504	3
585	3
614	3
567	3
549	3
592	3
754	3
609	3
669	3
570	3
505	3
721	3
515	3
781	3
473	3
634	3
523	3
593	3
540	3
452	3
563	3
987	2
925	2
887	2
854	2
1766	2
932	2
1206	2
2541	2
1099	2
1983	2
1240	2
1144	2
1395	2
961	2
1548	2
1019	2
1367	2
982	2
875	2
1846	2
1015	2
1182	2
971	2
1309	2
799	2
864	2
823	2
1110	2
968	2
1508	2
1043	2
997	2
1507	2
1064	2
722	2
1162	2
877	2
1066	2
882	2
1167	2
1051	2
1042	2
947	2
879	2
935	2
770	2
1105	2
780	2
737	2
943	2
633	2
846	2
817	2
1242	2
810	2
813	2
946	2
980	2
1355	2
734	2
655	2
845	2
611	2
840	2
739	2
768	2
1028	2
653	2
757	2
527	2
723	2
671	2
708	2
1159	2
578	2
755	2
825	2
844	2
963	2
837	2
1270	2
690	2
1101	2
744	2
976	2
1065	2
827	2
783	2
752	2
657	2
760	2
630	2
700	2
792	2
647	2
789	2
922	2
730	2
769	2
680	2
512	2
552	2
683	2
535	2
695	2
564	2
774	2
643	2
689	2
607	2
808	2
679	2
778	2
613	2
652	2
574	2
865	2
696	2
606	2
728	2
521	2
867	2
615	2
684	2
668	2
731	2
694	2
718	2
629	2
762	2
838	2
538	2
491	2
568	2
475	2
7457	1
2662	1
6194	1
3209	1
2266	1
3335	1
2308	1
7127	1
6873	1
10196	1
9917	1
9044	1
6327	1
7588	1
7854	1
5970	1
6675	1
5947	1
5328	1
2682	1
3848	1
6059	1
5716	1
3956	1
5713	1
4971	1
4656	1
3651	1
6244	1
3040	1
5207	1
1776	1
2912	1
3808	1
3694	1
2140	1
2799	1
4457	1
1379	1
5640	1
2732	1
1928	1
2686	1
4446	1
1731	1
3258	1
2405	1
3798	1
1960	1
3878	1
2175	1
1549	1
2002	1
1536	1
2521	1
3246	1
1924	1
2021	1
2979	1
2213	1
2941	1
1463	1
3354	1
2063	1
2763	1
714	1
3052	1
2209	1
1732	1
1098	1
2212	1
1847	1
3103	1
2200	1
2177	1
1882	1
1150	1
2354	1
859	1
1837	1
1629	1
2042	1
2267	1
2435	1
2227	1
1366	1
1472	1
2194	1
1716	1
2687	1
2947	1
5708	1
1502	1
2128	1
1644	1
2208	1
2490	1
1486	1
3072	1
2534	1
1868	1
2327	1
1826	1
2069	1
928	1
1952	1
1995	1
1252	1
1062	1
1940	1
1139	1
1835	1
2223	1
2270	1
1373	1
1908	1
1560	1
1623	1
1892	1
1684	1
1445	1
1389	1
1901	1
1425	1
802	1
1610	1
2442	1
1134	1
1611	1
1613	1
2068	1
2552	1
1884	1
2379	1
1561	1
2403	1
1335	1
1302	1
1223	1
1141	1
1917	1
2250	1
1233	1
1593	1
1147	1
2173	1
1564	1
2221	1
958	1
1401	1
1627	1
1909	1
1563	1
1323	1
1744	1
1812	1
2168	1
1694	1
1647	1
1183	1
1752	1
2462	1
1328	1
1156	1
870	1
1927	1
1189	1
920	1
2076	1
1135	1
1230	1
1283	1
1739	1
1201	1
1890	1
1493	1
1031	1
1266	1
1386	1
1378	1
1195	1
1421	1
1572	1
1204	1
1515	1
1541	1
1666	1
1998	1
1129	1
878	1
1688	1
956	1
1306	1
1193	1
1218	1
1225	1
2097	1
1615	1
1107	1
1483	1
1814	1
1172	1
888	1
829	1
1181	1
884	1
1398	1
1506	1
1479	1
1305	1
1287	1
1038	1
924	1
1022	1
1451	1
996	1
1543	1
1005	1
1089	1
664	1
957	1
1320	1
847	1
785	1
1333	1
1326	1
1073	1
793	1
1405	1
1116	1
1312	1
953	1
1076	1
1049	1
1522	1
938	1
1313	1
1250	1
1173	1
763	1
1851	1
835	1
1202	1
1612	1
729	1
1285	1
1198	1
2328	1
1128	1
916	1
857	1
985	1
1234	1
1364	1
709	1
955	1
710	1
1079	1
1477	1
944	1
1229	1
790	1
1341	1
1001	1
988	1
1271	1
1268	1
1238	1
1251	1
1555	1
1781	1
1007	1
1053	1
649	1
788	1
1248	1
1035	1
998	1
1568	1
1498	1
571	1
1439	1
1780	1
748	1
967	1
1569	1
1010	1
801	1
1235	1
1103	1
687	1
824	1
842	1
1111	1
1426	1
914	1
673	1
1044	1
1212	1
919	1
911	1
749	1
712	1
872	1
812	1
814	1
815	1
1763	1
979	1
771	1
908	1
975	1
1016	1
1090	1
942	1
1097	1
929	1
1087	1
855	1
765	1
1217	1
861	1
1023	1
974	1
1006	1
1157	1
894	1
1115	1
1412	1
1092	1
898	1
1075	1
848	1
1056	1
1071	1
800	1
1265	1
1475	1
1151	1
1002	1
622	1
479	1
667	1
795	1
1332	1
822	1
1126	1
852	1
902	1
553	1
999	1
1597	1
1059	1
921	1
849	1
573	1
617	1
558	1
631	1
1012	1
742	1
954	1
1088	1
711	1
1257	1
772	1
1068	1
832	1
945	1
962	1
816	1
886	1
1117	1
889	1
900	1
794	1
798	1
735	1
724	1
831	1
638	1
651	1
761	1
773	1
705	1
756	1
952	1
601	1
784	1
970	1
713	1
751	1
576	1
646	1
899	1
559	1
691	1
786	1
693	1
1014	1
577	1
747	1
612	1
715	1
591	1
805	1
688	1
502	1
