time	coalescence time	total infected	currently infected	current samples
0	0	1	1	0
1	1	2	2	0
2	2	2	2	0
3	3	2	2	0
4	4	2	2	0
5	5	2	2	0
6	6	2	2	0
7	7	3	3	0
8	8	4	2	0
9	9	4	2	0
10	10	4	2	0
11	11	4	2	0
12	12	4	1	0
13	13	4	1	0
14	14	4	1	0
15	15	4	1	0
16	16	4	1	0
17	17	4	1	0
18	18	4	1	0
19	19	4	1	0
20	20	4	1	0
21	21	4	1	0
22	22	4	1	0
23	23	4	1	0
24	24	4	1	0
25	25	5	2	0
26	26	6	3	0
27	27	7	3	0
28	28	7	3	0
29	29	7	3	0
30	30	8	4	0
31	31	8	4	0
32	32	9	5	0
33	33	9	3	0
34	34	9	3	0
35	35	9	2	0
36	36	11	4	0
37	37	11	3	0
38	38	11	3	0
39	39	12	4	0
40	40	12	4	0
41	41	12	3	0
42	42	12	3	0
43	43	12	3	0
44	44	13	4	0
45	0.1232876712328767	15	6	1
46	0.12602739726027398	15	6	1
47	0.12876712328767123	15	6	1
48	0.13150684931506848	16	7	1
49	0.125414	17	7	2
50	0.125414	18	7	2
51	0.125414	19	8	2
52	0.14246575342465753	19	7	1
53	0.14520547945205478	19	6	1
54	0.14794520547945206	20	7	1
55	0.1506849315068493	21	8	1
56	0.110239	22	6	2
57	0.110239	22	5	2
58	0.110239	23	6	2
59	0.110239	24	7	2
60	0.110239	24	7	2
61	0.110239	24	6	2
62	0.110239	27	8	2
63	0.110239	27	8	2
64	0.110239	27	6	2
65	0.106106	29	8	3
66	0.106106	29	8	3
67	0.106106	29	8	3
68	0.106106	29	7	3
69	0.106106	30	8	3
70	0.106106	32	9	3
71	0.106106	33	9	3
72	0.106106	35	11	3
73	0.106106	41	16	3
74	0.106106	56	29	5
75	0.106106	77	49	6
76	0.106106	113	82	9
77	0.106106	151	115	14
78	0.106106	216	177	22
79	0.106106	286	237	28
80	0.106106	358	289	39
81	0.106106	432	347	58
82	0.106106	530	427	69
83	0.106106	688	554	95
84	0.106106	823	643	116
85	0.106106	995	763	127
86	0.106106	1226	920	155
87	0.106106	1534	1166	200
88	0.106106	1930	1470	253
89	0.106106	2385	1813	308
90	0.106106	2964	2253	371
91	0.106106	3671	2788	440
92	0.106106	4559	3468	541
93	0.106106	5489	4132	626
94	0.106106	6580	4917	708
95	0.106106	7875	5838	807
96	0.106106	9483	6991	893
97	0.106106	11499	8487	988
98	0.106106	13918	10233	1002
99	0.106106	16757	12279	991
100	0.106106	20066	14621	907
