day	daily transmissions	cumulative transmissions	cumulative doubling time	window-based doubling time
0	1	1	0.000000	0.000000
1	1	2	1.000000	1.000000
2	0	2	2.000000	2.000000
3	0	2	3.000000	3.000000
4	0	2	4.000000	4.000000
5	0	2	5.000000	5.000000
6	0	2	6.000000	6.000000
7	1	3	4.416508	4.416508
8	1	4	4.000000	4.000000
9	0	4	4.500000	4.500000
10	0	4	5.000000	5.000000
11	0	4	5.500000	5.500000
12	0	4	6.000000	6.000000
13	0	4	6.500000	6.500000
14	0	4	7.000000	7.000000
15	0	4	7.500000	14.000000
16	0	4	8.000000	14.000000
17	0	4	8.500000	14.000000
18	0	4	9.000000	14.000000
19	0	4	9.500000	14.000000
20	0	4	10.000000	14.000000
21	0	4	10.500000	33.731892
22	0	4	11.000000	inf
23	0	4	11.500000	inf
24	0	4	12.000000	inf
25	1	5	10.766914	43.487972
26	1	6	10.058173	23.933158
27	1	7	9.617594	17.340577
28	0	7	9.973801	17.340577
29	0	7	10.330008	17.340577
30	1	8	10.000000	14.000000
31	0	8	10.333333	14.000000
32	1	9	10.094876	11.966579
33	0	9	10.410341	11.966579
34	0	9	10.725806	11.966579
35	0	9	11.041271	11.966579
36	2	11	10.406334	9.592776
37	0	11	10.695399	9.592776
38	0	11	10.984463	9.592776
39	1	12	10.878775	11.084417
40	0	12	11.157718	14.000000
41	0	12	11.436661	18.003940
42	0	12	11.715604	18.003940
43	0	12	11.994547	18.003940
44	1	13	11.890479	19.987445
45	2	15	11.518111	15.437364
46	0	15	11.774069	18.996816
47	0	15	12.030027	18.996816
48	1	16	12.000000	16.865946
49	1	17	11.987877	15.258226
50	1	18	11.990623	19.704617
51	1	19	12.005855	17.755324
52	0	19	12.241263	17.755324
53	0	19	12.476672	21.117253
54	1	20	12.494424	18.996816
55	1	21	12.521864	17.340577
56	1	22	12.557654	16.009713
57	0	22	12.781898	16.009713
58	1	23	12.821754	17.008409
59	1	24	12.868153	20.646778
60	0	24	13.086258	20.646778
61	0	24	13.304362	20.646778
62	3	27	13.039215	18.545810
63	0	27	13.249525	20.976150
64	0	27	13.459835	23.933158
65	2	29	13.380044	22.948808
66	0	29	13.585891	22.948808
67	0	29	13.791738	22.948808
68	0	29	13.997585	26.116825
69	1	30	14.061858	27.207015
70	2	32	14.000000	25.898666
71	1	33	14.075030	23.933158
72	2	35	14.037050	23.112949
73	6	41	13.625626	18.120878
74	15	56	12.742462	11.452951
75	21	77	11.967856	8.324295
76	36	113	11.143403	6.778704
77	38	151	10.637703	5.637166
78	65	216	10.058173	4.666667
79	70	286	9.681525	4.239995
80	72	358	9.429719	3.861180
81	74	432	9.251975	3.592593
82	98	530	9.060925	3.339800
83	158	688	8.805184	3.097774
84	135	823	8.673431	2.988421
85	172	995	8.535377	2.848911
86	231	1226	8.382276	2.728800
87	308	1534	8.220667	2.679154
88	396	1930	8.062754	2.741319
89	455	2385	7.932424	2.826577
90	579	2964	7.803471	2.970412
91	707	3671	7.684540	3.041130
92	888	4559	7.569212	3.182097
93	930	5489	7.486520	3.284491
94	1091	6580	7.410986	3.333289
95	1295	7875	7.339838	3.342743
96	1608	9483	7.266601	3.364350
97	2016	11499	7.190927	3.445767
98	2419	13918	7.119680	3.431443
99	2839	16757	7.055063	3.436491
100	3309	20066	6.996693	3.471600
101	2	20068	7.066589	3.774067
