BEASTGeneration	BEASTtmrca	FavitesSim	TimeToCoal	TimeToCase	DateOfIndexCase	TimeToHosp	IndexAtCoalescent
25000	2019.9531125442552	0726	0.057485	0.014145	2019.8956275442551	0.016395	0
50000	2019.9398992873944	1021	0.040374	0.007118	2019.8995252873945	0.041763	0
75000	2019.9538820116006	0136	0.06246600000000001	0.021686	2019.8914160116005	0.052775	0
100000	2019.9532165226567	1032	0.098573	0.078921	2019.8546435226567	0.094657	0
125000	2019.958957790233	0922	0.053866	0.00443	2019.905091790233	0.041451	0
150000	2019.955608749612	1007	0.061113	0.020695	2019.8944957496121	0.034724	0
175000	2019.957141117153	0027	0.12172000000000001	0.048819	2019.835421117153	0.068388	0
200000	2019.9516725748392	1032	0.098573	0.078921	2019.8530995748392	0.094657	0
225000	2019.9526181265478	0136	0.06246600000000001	0.021686	2019.8901521265477	0.052775	0
250000	2019.948159217467	0978	0.12782500000000002	0.007092	2019.820334217467	0.043454	0
275000	2019.9506412509816	0051	0.084971	0.017876	2019.8656702509816	0.045128	0
300000	2019.9572869018912	1007	0.061113	0.020695	2019.8961739018912	0.034724	0
325000	2019.9472473693195	0869	0.056943	0.042644	2019.8903043693194	0.056505	0
350000	2019.9533034395038	0630	0.08282199999999999	0.001688	2019.8704814395037	0.025356	0
375000	2019.9394670938348	0051	0.084971	0.017876	2019.8544960938348	0.045128	0
400000	2019.9543760103043	0758	0.043503	0.00883	2019.9108730103042	0.014147	0
425000	2019.9556489014533	0972	0.07310299999999999	9.6e-05	2019.8825459014533	0.034499	0
450000	2019.9566627530232	0915	0.050829	0.019303	2019.9058337530232	0.0441	0
475000	2019.958245841441	0084	0.026704	0.011995	2019.931541841441	0.016149	0
500000	2019.9585591184841	0954	0.12503299999999998	0.056529	2019.833526118484	0.075266	0
525000	2019.9533036883342	0084	0.026704	0.011995	2019.9265996883341	0.016149	0
550000	2019.9495203514716	0922	0.053866	0.00443	2019.8956543514716	0.041451	0
575000	2019.9476668971006	0370	0.092947	0.009338	2019.8547198971005	0.043223	0
600000	2019.9502597069297	0978	0.12782500000000002	0.007092	2019.8224347069297	0.043454	0
625000	2019.965299476066	0133	0.044593	0.001615	2019.920706476066	0.021847	0
650000	2019.970323986085	0703	0.056444	0.011781	2019.913879986085	0.020979	0
675000	2019.9673137998552	0665	0.048848	0.001545	2019.9184657998553	0.032658	0
700000	2019.9446211867753	0840	0.150618	0.045701	2019.7940031867754	0.107256	0
725000	2019.966694637874	0599	0.07579	0.041682	2019.890904637874	0.052906	0
750000	2019.9572664147024	0880	0.070744	0.045549	2019.8865224147023	0.05197	0
775000	2019.9642586361344	0363	0.054265999999999995	0.00014	2019.9099926361343	0.035359	0
800000	2019.9601108012898	0808	0.12138499999999999	0.075102	2019.83872580129	0.088192	0
825000	2019.975077551931	0972	0.07310299999999999	9.6e-05	2019.901974551931	0.034499	0
850000	2019.9657149330778	0027	0.12172000000000001	0.048819	2019.8439949330777	0.068388	0
875000	2019.9593420772476	0425	0.06490499999999999	0.038197	2019.8944370772476	0.047646	0
900000	2019.9714657401219	0214	0.08834800000000001	0.001604	2019.8831177401219	0.062101	0
925000	2019.958528541459	1077	0.094057	0.017236	2019.864471541459	0.045744	0
950000	2019.9579609289694	0599	0.07579	0.041682	2019.8821709289693	0.052906	0
975000	2019.969524334484	0981	0.117336	0.01779	2019.852188334484	0.044361	0
1000000	2019.9400243248494	0237	0.050527999999999997	0.030629	2019.8894963248495	0.051132	0
1025000	2019.9339716885618	0603	0.044185999999999996	0.020978	2019.8897856885617	0.057639	0
1050000	2019.9084987127055	0413	4e-06	0.009632	2019.9084947127055	0.023286	0
1075000	2019.9348121149344	0498	0.012070999999999998	0.00206	2019.9227411149343	0.015748	0
1100000	2019.93535572374	1012	0.016887	0.026354	2019.91846872374	0.034645	0
1125000	2019.9217159212797	0746	0.043042000000000004	0.039538	2019.8786739212796	0.046102	0
1150000	2019.9496171499816	0813	0.012705	0.002745	2019.9369121499815	0.013	0
1175000	2019.958280590634	0812	0.138444	0.001669	2019.8198365906342	0.052134	0
1200000	2019.9607832198822	0162	0.014139	0.001531	2019.9466442198823	0.006037	0
1225000	2019.9592328315025	1036	0.075381	0.000341	2019.8838518315024	0.059812	0
1250000	2019.9554852487568	0579	0.062946	0.01	2019.8925392487567	0.059367	0
1275000	2019.9494823451346	0703	0.056444	0.011781	2019.8930383451345	0.020979	0
1300000	2019.9628009189641	0084	0.026704	0.011995	2019.936096918964	0.016149	0
1325000	2019.9634171282337	0474	0.11756399999999999	0.055703	2019.8458531282338	0.078932	0
1350000	2019.9660844925893	0284	0.066373	0.042588	2019.8997114925892	0.051666	0
1375000	2019.9710446662968	0309	0.08013300000000001	0.004242	2019.890911666297	0.024295	0
1400000	2019.9653700910462	0808	0.12138499999999999	0.075102	2019.8439850910463	0.088192	0
1425000	2019.9632457283606	0783	0.106106	0.037585	2019.8571397283606	0.083589	0
