BEASTGeneration	BEASTtmrca	FavitesSim	TimeToCoal	TimeToCase	DateOfIndexCase	TimeToHosp	IndexAtCoalescent
25000	2019.9611929213922	0925	7.999999999999999e-05	0.000753	2019.9611129213922	0.012465	0
50000	2019.9561797071003	0351	0.041403999999999996	0.025528	2019.9147757071003	0.055093	0
75000	2019.9488362197228	0254	0.020062	0.019644	2019.9287742197228	0.042062	0
100000	2019.95606435688	1092	0.022417999999999997	0.021405	2019.93364635688	0.046808	0
125000	2019.9553221252534	0782	0.037984	0.028965	2019.9173381252533	0.03665	0
150000	2019.9633308885338	1081	0.021207999999999998	0.012988	2019.942122888534	0.025032	0
175000	2019.959253813294	0167	0.0014420000000000001	0.001911	2019.957811813294	0.02088	0
200000	2019.9626954737462	0990	0.001712	0.002306	2019.9609834737462	0.011583	0
225000	2019.946280532892	1064	0.052406	0.048672	2019.893874532892	0.075548	0
250000	2019.9323543669864	1036	0.075381	0.000341	2019.8569733669863	0.059812	0
275000	2019.93226235332	0969	0.005509	0.020127	2019.92675335332	0.051042	0
300000	2019.9581193037172	0715	0.045512	0.007186	2019.9126073037173	0.059565	0
325000	2019.9601150676804	0925	7.999999999999999e-05	0.000753	2019.9600350676803	0.012465	0
350000	2019.9567202615567	0123	4e-06	0.001071	2019.9567162615567	0.016806	0
375000	2019.9408895546042	0132	0.0042179999999999995	0.009741	2019.9366715546041	0.025427	0
400000	2019.9392747223012	0285	0.003393	0.006309	2019.9358817223012	0.042412	0
425000	2019.9548883009777	1054	0.041298	0.004164	2019.9135903009776	0.029168	0
450000	2019.9613941565094	0231	0.013883	0.012569	2019.9475111565093	0.02151	0
475000	2019.9616374452505	1004	0.016878	0.019221	2019.9447594452506	0.033897	0
500000	2019.956187969871	0256	0.023666	0.024158	2019.932521969871	0.042638	0
525000	2019.9184979234838	1054	0.041298	0.004164	2019.8771999234837	0.029168	0
550000	2019.920905689501	1056	1.6e-05	0.011139	2019.920889689501	0.030911	0
575000	2019.9774568073028	0812	0.138444	0.001669	2019.8390128073029	0.052134	0
600000	2019.9817303696618	1063	0.061568	0.042591	2019.9201623696617	0.058662	0
625000	2019.9766804211456	0116	0.139773	0.014264	2019.8369074211455	0.024609	0
650000	2019.9766056407602	1018	0.049356000000000004	0.042313	2019.9272496407602	0.048134	0
675000	2019.980476831569	0422	0.09254699999999999	0.000731	2019.887929831569	0.051425	0
700000	2019.9654547800562	0548	0.0030589999999999997	0.000632	2019.9623957800563	0.003704	0
725000	2019.9117822819692	0739	0.00013099999999999999	0.013945	2019.9116512819692	0.067842	0
750000	2019.9682109357873	0554	0.0601	7.6e-05	2019.9081109357874	0.029014	0
775000	2019.9557746754856	0088	0.027275	0.044663	2019.9284996754857	0.046455	0
800000	2019.9486586299363	1024	0.0056749999999999995	0.00406	2019.9429836299362	0.030594	0
825000	2019.9728669092444	0992	0.13090200000000002	0.007828	2019.8419649092443	0.074628	0
850000	2019.9399091227601	1092	0.022417999999999997	0.021405	2019.91749112276	0.046808	0
875000	2019.9640608891116	0599	0.07579	0.041682	2019.8882708891115	0.052906	0
900000	2019.9515857841304	0716	0.054031	0.000674	2019.8975547841305	0.019206	0
925000	2019.9357574535097	0259	0.053243	0.005595	2019.8825144535097	0.029596	0
950000	2019.9433354474877	0849	0.040144	0.052259	2019.9031914474876	0.070404	0
975000	2019.9332832886553	0272	0.029924	0.032972	2019.9033592886553	0.047758	0
1000000	2019.96388129806	0178	0.027133	0.013404	2019.93674829806	0.025429	0
1025000	2019.9549923816166	0388	0.018867000000000002	0.026509	2019.9361253816166	0.037947	0
1050000	2019.930258773833	0210	0.031772999999999996	0.0561	2019.898485773833	0.064639	0
1075000	2019.9739986399811	0808	0.12138499999999999	0.075102	2019.8526136399812	0.088192	0
1100000	2019.9326675820062	0199	0.015111	0.032385	2019.9175565820062	0.046092	0
1125000	2019.9224525274567	0444	0.067815	0.001252	2019.8546375274566	0.108911	0
1150000	2019.9465462722653	0568	0.000215	0.001415	2019.9463312722653	0.031765	0
1175000	2019.9469879698802	0564	0.010142	0.023187	2019.93684596988	0.04365	0
1200000	2019.9644401579694	0669	0.017868999999999996	0.011498	2019.9465711579694	0.023233	0
1225000	2019.949699905974	0601	0.026237000000000003	0.006197	2019.923462905974	0.034155	0
1250000	2019.9422660959447	0082	0.08133599999999999	0.010255	2019.8609300959447	0.087764	0
1275000	2019.9216273708792	0183	0.001304	0.021641	2019.9203233708793	0.034921	0
1300000	2019.9510900380117	0940	0.02484	0.022238	2019.9262500380116	0.042859	0
1325000	2019.9676018431717	0343	0.060797	0.00217	2019.9068048431716	0.056284	0
1350000	2019.9670354280997	0215	0.07749299999999999	0.002071	2019.8895424280997	0.04676	0
1375000	2019.9751443037237	0840	0.150618	0.045701	2019.8245263037238	0.107256	0
1400000	2019.9733060466494	0462	0.035638	0.020947	2019.9376680466494	0.026743	0
1425000	2019.9556958037192	0370	0.092947	0.009338	2019.8627488037191	0.043223	0
1450000	2019.9427637411873	1083	0.009109	0.002177	2019.9336547411872	0.024852	0
1475000	2019.9670874510277	0074	0.018748	0.011401	2019.9483394510278	0.027597	0
1500000	2019.9597054492406	0407	0.099561	0.058113	2019.8601444492406	0.078891	0
1525000	2019.9710242689205	0498	0.012070999999999998	0.00206	2019.9589532689204	0.015748	0
1550000	2019.9721370878392	0746	0.043042000000000004	0.039538	2019.9290950878392	0.046102	0
1575000	2019.9505799048677	0998	0.085673	0.006198	2019.8649069048677	0.102516	0
1600000	2019.954814316462	0351	0.041403999999999996	0.025528	2019.913410316462	0.055093	0
1625000	2019.9763738330894	0665	0.048848	0.001545	2019.9275258330895	0.032658	0
1650000	2019.973369157862	0051	0.084971	0.017876	2019.888398157862	0.045128	0
1675000	2019.9729939614194	0401	0.062245	0.019991	2019.9107489614194	0.04391	0
1700000	2019.972339394864	0869	0.056943	0.042644	2019.915396394864	0.056505	0
1725000	2019.9479698003258	0805	0.054811	0.025074	2019.8931588003259	0.068823	0
1750000	2019.9767572308633	0145	0.060344999999999996	0.001492	2019.9164122308632	0.009188	0
1775000	2019.979819499072	0974	0.06287399999999999	0.018003	2019.916945499072	0.057338	0
1800000	2019.977815690124	1031	0.063439	0.007107	2019.914376690124	0.032548	0
1825000	2019.9788323460823	0880	0.070744	0.045549	2019.9080883460822	0.05197	0
1850000	2019.978469896947	0737	0.117769	0.006345	2019.860700896947	0.033124	0
1875000	2019.9702750151778	0899	0.09219000000000001	0.002791	2019.8780850151777	0.061116	0
1900000	2019.9727511339909	0363	0.054265999999999995	0.00014	2019.9184851339908	0.035359	0
1925000	2019.9750909214183	1090	0.056930999999999995	0.023496	2019.9181599214182	0.047686	0
1950000	2019.973118625215	0747	0.016347999999999998	0.005918	2019.9567706252149	0.016293	0
1975000	2019.9735283894672	0469	0.067788	0.034935	2019.9057403894672	0.041387	0
2000000	2019.9718367472883	0133	0.044593	0.001615	2019.9272437472882	0.021847	0
2025000	2019.9667158716452	0255	0.058423	0.011723	2019.9082928716452	0.070078	0
2050000	2019.974474401791	0422	0.09254699999999999	0.000731	2019.881927401791	0.051425	0
2075000	2019.962442893173	0840	0.150618	0.045701	2019.811824893173	0.107256	0
2100000	2019.9661539060833	0133	0.044593	0.001615	2019.9215609060832	0.021847	0
2125000	2019.9296007820099	0136	0.06246600000000001	0.021686	2019.8671347820098	0.052775	0
2150000	2019.9730128470699	0506	0.017609	0.004341	2019.9554038470699	0.014781	0
2175000	2019.9749950854957	0911	0.111763	0.030347	2019.8632320854956	0.112436	0
2200000	2019.961119508376	0768	0.022475	0.002501	2019.938644508376	0.036935	0
2225000	2019.9462026471938	0017	0.00154	0.000195	2019.9446626471938	0.034565	0
2250000	2019.953117852339	0195	0.122966	0.027042	2019.830151852339	0.040338	0
2275000	2019.9634237618761	0668	0.120369	0.080523	2019.8430547618761	0.123217	0
2300000	2019.9001387353342	1061	0.06517300000000001	0.038551	2019.8349657353342	0.107634	0
2325000	2019.9357507677557	0048	0.000186	0.010452	2019.9355647677557	0.03642	0
2350000	2019.9705539086062	0808	0.12138499999999999	0.075102	2019.8491689086063	0.088192	0
2375000	2019.8778316997284	0287	0.024194999999999998	0.041854	2019.8536366997284	0.049068	0
2400000	2019.9619993431093	0030	0.07816100000000001	0.004128	2019.8838383431093	0.032777	0
2425000	2019.9567175925959	0116	0.139773	0.014264	2019.8169445925957	0.024609	0
2450000	2019.962771882392	0349	0.065207	0.040885	2019.8975648823919	0.078848	0
2475000	2019.91871273605	0546	0.007195	0.035986	2019.9115177360502	0.039934	0
2500000	2019.915380554937	0124	0.02237	0.034645	2019.893010554937	0.051807	0
2525000	2019.9135965823193	0375	0.013476	0.045069	2019.9001205823192	0.073474	0
2550000	2019.9293808401685	0658	0.016169	0.022373	2019.9132118401685	0.049302	0
2575000	2019.9457555914066	0977	0.11915200000000001	0.032522	2019.8266035914066	0.039336	0
2600000	2019.9504101461569	0340	0.0014160000000000002	0.000237	2019.9489941461568	0.017391	0
2625000	2019.9647413044745	0067	0.058316	0.047615	2019.9064253044744	0.064221	0
2650000	2019.959854934021	0669	0.017868999999999996	0.011498	2019.941985934021	0.023233	0
2675000	2019.9337984653444	0488	0.022312000000000002	0.03341	2019.9114864653443	0.052421	0
2700000	2019.9551909099096	0167	0.0014420000000000001	0.001911	2019.9537489099096	0.02088	0
2725000	2019.9361990477432	0496	0.023829999999999997	0.018314	2019.9123690477431	0.049135	0
2750000	2019.938908084616	0897	0.02965	0.034731	2019.909258084616	0.066808	0
2775000	2019.9473985849672	0812	0.138444	0.001669	2019.8089545849673	0.052134	0
2800000	2019.9608633300038	0312	0.04281800000000001	0.016085	2019.918045330004	0.036051	0
2825000	2019.9137889328783	0155	0.017567000000000003	0.025148	2019.8962219328782	0.036525	0
2850000	2019.94560338856	0180	0.052459	0.061558	2019.89314438856	0.087393	0
2875000	2019.9493136169756	0087	0.00218	0.010675	2019.9471336169756	0.031316	0
2900000	2019.963505762626	0065	0.02664	0.007541	2019.936865762626	0.026558	0
2925000	2019.93048570867	0892	0.035455	0.060696	2019.89503070867	0.061993	0
2950000	2019.9560472337578	0637	0.085711	0.055373	2019.8703362337578	0.073113	0
2975000	2019.9220027501383	0631	0.001544	0.018601	2019.9204587501383	0.03826	0
3000000	2019.95595050682	0922	0.053866	0.00443	2019.90208450682	0.041451	0
3025000	2019.9363631150509	0163	0.027033	0.05261	2019.9093301150508	0.060853	0
3050000	2019.9327561906302	0674	0.046881000000000006	0.038423	2019.8858751906303	0.0548	0
3075000	2019.907693834979	0952	0.001559	2.4e-05	2019.906134834979	0.034756	0
3100000	2019.9103069165144	0379	0.06534799999999999	0.003983	2019.8449589165143	0.06962	0
3125000	2019.8896154372467	0618	0.002666	0.026716	2019.8869494372466	0.043031	0
3150000	2019.9764621622053	1081	0.021207999999999998	0.012988	2019.9552541622054	0.025032	0
3175000	2019.977702489242	0394	0.026501	0.001878	2019.9512014892418	0.022856	0
3200000	2019.9758657754503	0560	0.13558599999999998	0.020911	2019.8402797754502	0.061059	0
3225000	2019.9643619595947	0726	0.057485	0.014145	2019.9068769595947	0.016395	0
3250000	2019.9822965725086	0978	0.12782500000000002	0.007092	2019.8544715725086	0.043454	0
3275000	2019.9390047371553	0167	0.0014420000000000001	0.001911	2019.9375627371553	0.02088	0
3300000	2019.941948974885	0994	0.107495	0.062335	2019.834453974885	0.095174	0
3325000	2019.9543796660632	0253	0.071868	0.015779	2019.8825116660632	0.042617	0
3350000	2019.9165243351	0005	0.033682000000000004	0.05074	2019.8828423351	0.081599	0
3375000	2019.9210606381207	0578	0.03696000000000001	0.032722	2019.8841006381208	0.070251	0
3400000	2019.9306079005646	0990	0.001712	0.002306	2019.9288959005646	0.011583	0
3425000	2019.9663130740053	0553	0.06273100000000001	0.013548	2019.9035820740053	0.071964	0
3450000	2019.963506047777	0627	0.028001000000000005	0.003387	2019.935505047777	0.041808	0
3475000	2019.9578442229783	0665	0.048848	0.001545	2019.9089962229784	0.032658	0
3500000	2019.974340704504	0070	0.13422499999999998	0.029553	2019.840115704504	0.039192	0
3525000	2019.9579881148868	0450	0.030084	0.016968	2019.9279041148868	0.029892	0
3550000	2019.9308395203254	0102	4.3e-05	0.017942	2019.9307965203254	0.026681	0
3575000	2019.9636217246618	0047	0.034997999999999994	0.007204	2019.9286237246617	0.040301	0
3600000	2019.937935346694	1027	0.022708	0.026073	2019.915227346694	0.046407	0
3625000	2019.9496198361253	0851	0.023871	0.005044	2019.9257488361252	0.025674	0
3650000	2019.9606708734962	0553	0.06273100000000001	0.013548	2019.8979398734962	0.071964	0
3675000	2019.9566756259999	0992	0.13090200000000002	0.007828	2019.8257736259998	0.074628	0
3700000	2019.9566288348053	0758	0.043503	0.00883	2019.9131258348052	0.014147	0
3725000	2019.9526243503117	0758	0.043503	0.00883	2019.9091213503116	0.014147	0
3750000	2019.961036859213	0553	0.06273100000000001	0.013548	2019.898305859213	0.071964	0
