S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999984	16	14	14	2	2	12	12	2	10	16	
4999930	70	31	31	2	2	7	7	1	1	70	
4999994	6	5	5	1	1	3	3	1	3	6	
4999990	10	7	7	1	1	4	4	0	3	10	
4999939	61	32	32	3	1	18	18	0	11	61	
4999979	21	19	19	4	3	12	12	2	14	21	
4999981	19	18	18	4	3	13	13	3	13	19	
4999960	40	31	31	5	2	19	19	0	15	40	
4999990	10	9	9	2	1	7	7	1	7	10	
4999978	22	11	11	2	1	6	6	1	7	22	
4999933	67	62	62	7	4	50	50	3	49	67	
4999990	10	5	5	1	1	1	1	0	0	10	
4999981	19	12	12	1	1	8	8	1	3	19	
4999991	9	7	7	1	1	5	5	1	6	9	
4999981	19	18	18	5	2	10	10	2	12	19	
4999978	22	13	13	1	1	8	8	1	6	22	
4999986	14	7	7	1	1	4	4	1	3	14	
4999996	4	4	4	1	1	2	2	0	2	4	
4999992	8	4	4	1	1	3	3	1	2	8	
4999973	27	20	20	3	3	14	14	2	10	27	
4999995	5	4	4	2	0	2	2	0	1	5	
4999928	72	40	40	7	2	25	25	1	18	72	
4999997	3	3	3	1	1	2	2	1	2	3	
4999991	9	9	9	1	1	6	6	1	5	9	
4999989	11	10	10	2	1	8	8	1	8	11	
4999989	11	5	5	1	1	3	3	0	1	11	
4999992	8	4	4	1	1	1	1	0	0	8	
4999415	585	273	273	17	3	113	113	0	54	585	
4999947	53	45	45	8	3	27	27	1	25	53	
4999997	3	2	2	1	0	0	0	0	0	3	
4999979	21	17	17	5	2	10	10	0	12	21	
4999986	14	13	13	2	1	8	8	1	9	14	
4999996	4	3	3	1	0	2	2	0	1	4	
4999980	20	15	15	5	2	7	7	2	7	20	
4999920	80	54	54	7	2	38	38	2	29	80	
4999994	6	3	3	1	1	2	2	0	1	6	
4999996	4	3	3	1	1	0	0	1	0	4	
4999992	8	7	7	1	1	5	5	1	6	8	
4999998	2	1	1	1	1	0	0	1	0	2	
4999991	9	8	8	2	1	5	5	1	5	9	
4999971	29	18	18	1	1	9	9	1	3	29	
4999533	467	273	273	28	7	130	130	3	71	467	
4961264	38736	24459	24459	2380	709	13950	13950	251	9257	38736	
4999979	21	14	14	2	1	10	10	1	6	21	
4999979	21	10	10	1	1	5	5	0	3	21	
4999877	123	75	75	8	5	47	47	3	32	123	
4999992	8	8	8	2	1	4	4	1	5	8	
4999997	3	1	1	1	1	0	0	0	0	3	
4999985	15	10	10	1	1	7	7	0	5	15	
4999996	4	3	3	2	0	1	1	0	1	4	
4999978	22	15	15	2	1	12	12	0	13	22	
4999990	10	7	7	2	1	1	1	1	2	10	
4999980	20	17	17	4	2	11	11	1	11	20	
4999989	11	11	11	3	1	8	8	1	9	11	
4999995	5	3	3	2	1	0	0	0	0	5	
4999978	22	14	14	2	1	6	6	1	4	22	
4999979	21	20	20	2	1	18	18	1	18	21	
4999992	8	5	5	2	1	2	2	1	1	8	
4999994	6	5	5	3	1	1	1	1	1	6	
4999984	16	10	10	1	1	7	7	1	5	16	
4999983	17	12	12	2	1	9	9	1	6	17	
4999989	11	9	9	2	1	5	5	1	7	11	
4999979	21	20	20	2	1	18	18	1	18	21	
4999994	6	6	6	1	1	3	3	0	3	6	
4999968	32	29	29	1	1	28	28	1	26	32	
4999997	3	1	1	1	0	0	0	0	0	3	
