S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999927	73	61	61	7	4	44	44	4	41	73	
4994493	5507	3473	3473	362	114	2034	2034	43	1398	5507	
4999982	18	13	13	2	2	10	10	1	8	18	
4999794	206	150	150	16	6	95	95	3	74	206	
4992955	7045	4417	4417	405	135	2517	2517	56	1661	7045	
4997558	2442	1323	1323	116	37	682	682	15	416	2442	
4999947	53	42	42	10	7	28	28	5	28	53	
4997242	2758	1829	1829	201	59	1069	1069	26	729	2758	
4999942	58	41	41	4	3	32	32	3	30	58	
4989500	10500	6199	6199	584	178	3404	3404	55	2147	10500	
4984651	15349	9194	9194	895	255	5089	5089	91	3272	15349	
4999788	212	134	134	18	8	73	73	4	46	212	
4999962	38	36	36	2	1	30	30	1	30	38	
4999874	126	70	70	8	3	42	42	1	28	126	
4999840	160	127	127	22	7	84	84	4	74	160	
4999754	246	175	175	19	5	110	110	2	83	246	
4999575	425	232	232	17	6	148	148	3	111	425	
4999790	210	146	146	19	6	83	83	2	53	210	
4999900	100	79	79	7	4	54	54	4	38	100	
4999943	57	50	50	7	5	41	41	5	44	57	
4995796	4204	2572	2572	251	76	1437	1437	32	930	4204	
4980312	19688	12283	12283	1198	375	7004	7004	126	4610	19688	
4999973	27	18	18	2	1	12	12	1	9	27	
4999971	29	25	25	3	2	20	20	1	18	29	
4999976	24	22	22	4	2	16	16	1	17	24	
4998886	1114	566	566	41	11	287	287	3	180	1114	
4999328	672	506	506	62	19	317	317	6	241	672	
4919922	80078	54782	54782	5823	1880	33444	33444	705	23880	80078	
4999257	743	476	476	45	12	273	273	6	175	743	
4999941	59	40	40	6	2	22	22	2	15	59	
4999479	521	318	318	30	14	187	187	9	146	521	
4999186	814	438	438	38	10	207	207	6	131	814	
4999937	63	50	50	5	4	32	32	4	27	63	
4999836	164	113	113	13	3	70	70	2	57	164	
4986162	13838	8292	8292	828	217	4494	4494	78	2916	13838	
4999983	17	12	12	1	1	9	9	1	9	17	
4998037	1963	1017	1017	72	16	494	494	7	289	1963	
4999911	89	56	56	7	2	36	36	1	26	89	
4999972	28	22	22	5	3	15	15	2	13	28	
4999965	35	33	33	5	1	26	26	1	30	35	
4994556	5444	3166	3166	316	99	1648	1648	31	1000	5444	
4930538	69462	46584	46584	5017	1626	27922	27922	580	19533	69462	
