S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
5000000	0	0	0	0	0	0	0	0	0	0	
4999993	7	6	6	1	1	3	3	0	2	7	
4999990	10	9	9	1	1	8	8	1	9	10	
4999997	3	3	3	1	1	1	1	0	1	3	
4999994	6	5	5	1	1	2	2	0	1	6	
5000000	0	0	0	0	0	0	0	0	0	0	
4999993	7	7	7	1	1	6	6	0	5	7	
4999995	5	4	4	1	1	1	1	1	2	5	
4999989	11	10	10	0	0	7	7	0	4	11	
4999995	5	5	5	2	1	2	2	1	3	5	
4999989	11	10	10	0	0	7	7	0	4	11	
4999991	9	8	8	1	1	4	4	0	4	9	
4999998	2	1	1	1	1	0	0	0	0	2	
4999996	4	4	4	1	0	3	3	0	3	4	
5000000	0	0	0	0	0	0	0	0	0	0	
4999990	10	10	10	0	0	7	7	0	3	10	
4999996	4	3	3	0	0	1	1	0	1	4	
4999999	1	1	1	0	0	0	0	0	0	1	
5000000	0	0	0	0	0	0	0	0	0	0	
4999999	1	1	1	1	1	0	0	0	0	1	
5000000	0	0	0	0	0	0	0	0	0	0	
4999993	7	3	3	0	0	2	2	0	2	7	
4999994	6	5	5	0	0	2	2	0	2	6	
4999986	14	12	12	1	1	11	11	0	11	14	
4999994	6	5	5	1	1	4	4	1	3	6	
4999996	4	2	2	1	1	0	0	1	0	4	
4999999	1	1	1	0	0	0	0	0	0	1	
4999994	6	5	5	1	0	3	3	0	1	6	
4999994	6	5	5	1	1	4	4	1	3	6	
4999980	20	11	11	1	1	6	6	1	6	20	
4999977	23	21	21	5	1	15	15	1	17	23	
4999986	14	13	13	1	1	10	10	1	10	14	
4999991	9	9	9	2	2	7	7	1	6	9	
4999998	2	1	1	0	0	1	1	0	0	2	
4999999	1	1	1	1	0	0	0	0	0	1	
4999994	6	5	5	2	2	1	1	0	0	6	
4999987	13	11	11	2	2	9	9	1	8	13	
4999984	16	16	16	3	1	10	10	1	11	16	
4999991	9	9	9	1	1	7	7	1	7	9	
4999998	2	1	1	1	1	0	0	1	0	2	
4999998	2	1	1	1	1	0	0	0	0	2	
4999990	10	8	8	0	0	6	6	0	3	10	
4999996	4	3	3	1	0	2	2	0	2	4	
4999997	3	2	2	1	1	1	1	1	1	3	
4999987	13	12	12	2	1	10	10	0	11	13	
4999998	2	1	1	1	0	0	0	0	0	2	
4999999	1	1	1	0	0	0	0	0	0	1	
4999996	4	4	4	1	1	2	2	1	2	4	
4999997	3	2	2	0	0	1	1	0	1	3	
4999996	4	3	3	2	0	1	1	0	1	4	
4999998	2	1	1	0	0	1	1	0	0	2	
5000000	0	0	0	0	0	0	0	0	0	0	
4999993	7	5	5	2	0	2	2	0	2	7	
4999994	6	5	5	1	1	4	4	1	3	6	
4999972	28	26	26	4	2	20	20	1	21	28	
4999998	2	2	2	1	1	0	0	0	0	2	
4999975	25	25	25	3	1	21	21	1	21	25	
4999997	3	2	2	1	0	1	1	0	0	3	
4999973	27	26	26	1	1	20	20	1	19	27	
4999996	4	4	4	1	1	1	1	1	1	4	
4999993	7	7	7	1	1	3	3	1	1	7	
4999991	9	9	9	1	1	7	7	1	7	9	
4999999	1	1	1	1	1	0	0	0	0	1	
4999998	2	1	1	0	0	0	0	0	0	2	
4999999	1	1	1	0	0	0	0	0	0	1	
4999995	5	4	4	1	0	3	3	0	3	5	
4999999	1	1	1	0	0	0	0	0	0	1	
4999997	3	3	3	1	1	1	1	0	0	3	
5000000	0	0	0	0	0	0	0	0	0	0	
4999995	5	4	4	1	0	0	0	0	1	5	
4999995	5	4	4	1	0	0	0	0	1	5	
4999995	5	3	3	0	0	1	1	0	1	5	
4999997	3	1	1	1	1	0	0	0	0	3	
4999998	2	1	1	0	0	1	1	0	0	2	
4999991	9	9	9	1	1	7	7	1	7	9	
4999999	1	1	1	1	1	0	0	0	0	1	
4999999	1	1	1	0	0	0	0	0	0	1	
4999997	3	1	1	1	1	0	0	0	0	3	
4999999	1	1	1	1	1	0	0	0	0	1	
4999981	19	18	18	3	2	11	11	0	11	19	
4999995	5	2	2	1	0	1	1	0	1	5	
4999996	4	4	4	1	1	3	3	0	3	4	
4999991	9	7	7	1	1	3	3	1	1	9	
4999978	22	20	20	3	2	16	16	2	16	22	
4999993	7	7	7	1	1	6	6	0	5	7	
4999993	7	6	6	2	2	3	3	1	3	7	
5000000	0	0	0	0	0	0	0	0	0	0	
4999997	3	2	2	1	1	1	1	1	0	3	
4999996	4	4	4	1	1	2	2	1	1	4	
4999993	7	7	7	2	0	4	4	0	3	7	
4999996	4	4	4	1	1	2	2	1	2	4	
4999971	29	27	27	4	2	22	22	2	24	29	
5000000	0	0	0	0	0	0	0	0	0	0	
4999995	5	2	2	1	1	1	1	0	1	5	
4999994	6	5	5	1	0	2	2	0	1	6	
5000000	0	0	0	0	0	0	0	0	0	0	
4999999	1	1	1	1	0	0	0	0	0	1	
4999998	2	1	1	0	0	0	0	0	0	2	
4999992	8	6	6	0	0	5	5	0	3	8	
4999993	7	7	7	0	0	6	6	0	4	7	
