S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999957	43	37	37	7	2	30	30	2	30	43	
4999023	977	593	593	61	19	314	314	7	197	977	
4999988	12	10	10	2	1	6	6	1	7	12	
4998276	1724	958	958	93	24	496	496	8	289	1724	
4998992	1008	539	539	59	14	267	267	8	171	1008	
4999971	29	20	20	3	1	9	9	1	9	29	
4999949	51	38	38	6	1	23	23	1	15	51	
4999971	29	27	27	7	4	18	18	2	15	29	
4999634	366	252	252	31	9	150	150	3	99	366	
4999841	159	122	122	24	10	72	72	6	58	159	
4999955	45	35	35	6	2	24	24	1	26	45	
4999805	195	116	116	6	3	61	61	1	36	195	
4999668	332	204	204	23	8	121	121	5	82	332	
4993067	6933	3900	3900	348	80	2036	2036	23	1186	6933	
4999474	526	326	326	40	13	199	199	6	137	526	
4999922	78	52	52	9	2	28	28	2	24	78	
4999973	27	21	21	4	2	9	9	2	9	27	
4999421	579	334	334	30	7	161	161	1	96	579	
4999987	13	8	8	2	1	5	5	1	4	13	
4999965	35	30	30	7	4	20	20	3	21	35	
4956741	43259	28226	28226	2960	940	16779	16779	368	11786	43259	
4999818	182	153	153	18	9	111	111	6	97	182	
4999985	15	10	10	2	1	8	8	1	8	15	
4999962	38	26	26	6	2	11	11	1	9	38	
4999972	28	20	20	5	2	10	10	2	13	28	
4999994	6	5	5	2	1	3	3	1	3	6	
4999985	15	13	13	2	1	9	9	1	10	15	
4999163	837	461	461	43	11	244	244	5	178	837	
4997936	2064	1257	1257	112	38	735	735	9	521	2064	
4999952	48	31	31	9	4	17	17	2	14	48	
4999388	612	376	376	27	6	198	198	4	130	612	
4999893	107	82	82	9	4	53	53	4	47	107	
4999187	813	365	365	21	5	146	146	2	74	813	
4999641	359	188	188	12	4	108	108	4	82	359	
4999961	39	37	37	4	1	30	30	1	30	39	
4999885	115	104	104	11	2	82	82	2	83	115	
4982909	17091	10481	10480	957	286	5851	5851	94	3696	17091	
4999757	243	184	184	21	6	101	101	2	72	243	
4999283	717	450	450	46	11	264	264	6	184	717	
4999965	35	18	18	3	1	9	9	1	9	35	
4999967	33	28	28	4	1	23	23	1	25	33	
4999963	37	35	35	6	1	27	27	1	30	37	
4999970	30	23	23	2	1	21	21	1	20	30	
4999981	19	14	14	2	2	12	12	1	10	19	
4921003	78997	53522	53522	5742	1813	32494	32494	698	22740	78997	
4995640	4360	2545	2545	216	63	1367	1367	11	801	4360	
4995877	4123	2676	2676	278	90	1547	1547	34	1020	4123	
4999857	143	110	110	15	7	77	77	5	77	143	
4999974	26	22	22	3	1	18	18	1	14	26	
4999914	86	54	54	9	2	26	26	1	20	86	
4998732	1268	851	851	102	38	493	493	16	350	1268	
4999981	19	13	13	2	2	9	9	2	8	19	
4999862	138	96	96	10	4	57	57	3	43	138	
4999981	19	15	15	2	2	10	10	1	7	19	
4999993	7	6	6	1	1	5	5	1	5	7	
4999993	7	6	6	1	1	5	5	1	5	7	
4999984	16	14	14	2	1	10	10	1	8	16	
4999967	33	25	25	4	2	14	14	2	14	33	
4999752	248	135	135	9	2	73	73	1	37	248	
4999949	51	38	38	6	1	23	23	1	15	51	
4999965	35	23	23	5	2	10	10	2	9	35	
4999805	195	102	102	9	2	57	57	2	41	195	
4999979	21	20	20	4	2	14	14	1	13	21	
4999893	107	83	83	11	4	44	44	2	30	107	
4999973	27	17	17	3	2	11	11	2	11	27	
4999986	14	11	11	3	1	8	8	1	10	14	
4999953	47	42	42	2	1	32	32	1	27	47	
4999966	34	32	32	4	2	27	27	1	29	34	
4998946	1054	620	620	58	14	323	323	5	193	1054	
4999966	34	26	26	3	1	19	19	1	21	34	
4999983	17	14	14	2	1	10	10	1	11	17	
4999814	186	118	118	16	6	60	60	2	42	186	
4999929	71	64	64	9	2	50	50	2	52	71	
4999897	103	48	48	4	2	34	34	2	31	103	
4998221	1779	1045	1045	94	18	545	545	6	328	1779	
4999946	54	52	52	7	3	41	41	3	41	54	
4999960	40	30	30	4	1	20	20	1	19	40	
4999650	350	160	160	11	4	66	66	1	34	350	
4999954	46	18	18	1	1	8	8	1	5	46	
4999989	11	11	11	2	1	6	6	1	6	11	
4999961	39	26	26	4	2	16	16	2	13	39	
4999948	52	51	51	7	3	41	41	3	41	52	
4999584	416	195	195	25	8	115	115	5	98	416	
4999959	41	36	36	5	1	28	28	1	26	41	
4995868	4132	2691	2691	266	103	1628	1628	40	1093	4132	
4998588	1412	815	815	69	14	423	423	3	237	1412	
4999986	14	11	11	3	1	8	8	1	10	14	
4999992	8	7	7	2	1	5	5	1	5	8	
4999501	499	252	252	17	5	118	118	2	74	499	
4999918	82	64	64	6	2	48	48	1	37	82	
4999814	186	75	75	4	1	39	39	1	26	186	
4999794	206	162	162	15	4	120	120	2	101	206	
4998045	1955	1176	1176	121	33	627	627	11	395	1955	
4999984	16	12	12	2	1	10	10	1	10	16	
4862321	137679	97593	97593	10896	3623	61119	61119	1496	45419	137679	
4999944	56	49	49	8	4	36	36	1	30	56	
4999970	30	22	22	3	2	15	15	2	12	30	
4999992	8	7	7	2	1	5	5	1	5	8	
4999556	444	293	293	22	5	194	194	4	150	444	
4981311	18689	11399	11399	1153	348	6409	6409	117	4143	18689	
4998850	1150	633	633	54	14	306	306	5	168	1150	
4998497	1503	884	884	88	27	511	511	13	343	1503	
4999979	21	19	19	4	2	12	12	1	15	21	
4998703	1297	789	789	76	27	430	430	7	281	1297	
4999832	168	110	110	14	9	59	59	5	48	168	
4999920	80	57	57	10	1	32	32	1	22	80	
4996421	3579	1901	1901	156	35	898	898	10	479	3579	
4999877	123	70	70	9	3	41	41	1	28	123	
4999823	177	127	127	12	5	90	90	4	77	177	
4999780	220	158	158	14	7	98	98	4	68	220	
