S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
9999991	9	4	4	2	1	2	2	0	1	9	
9999985	15	10	10	1	1	8	8	1	5	15	
9999986	14	13	13	2	2	10	10	1	10	14	
9999976	24	18	18	4	2	12	12	1	7	24	
9999921	79	74	74	13	7	59	59	6	64	79	
9999994	6	6	6	4	2	1	1	0	2	6	
9999988	12	12	12	2	2	8	8	1	8	12	
9999976	24	17	17	2	2	9	9	1	9	24	
9999981	19	18	18	3	1	14	14	1	13	19	
9999988	12	11	11	5	2	5	5	1	6	12	
9999979	21	20	20	3	2	16	16	1	14	21	
9999976	24	23	23	4	1	16	16	0	17	24	
9999979	21	18	18	3	3	13	13	2	9	21	
9999992	8	8	8	2	2	4	4	0	3	8	
9999986	14	8	8	3	2	2	2	0	2	14	
9999975	25	19	19	1	1	15	15	1	12	25	
9999989	11	10	10	3	2	7	7	0	7	11	
9999984	16	14	14	2	1	4	4	1	5	16	
9999995	5	4	4	2	1	1	1	1	1	5	
9999983	17	14	14	2	1	8	8	0	7	17	
9999523	477	295	295	30	8	176	176	2	92	477	
9999966	34	26	26	3	2	17	17	1	14	34	
9999986	14	10	10	1	1	7	7	0	6	14	
9999980	20	17	17	3	2	14	14	2	15	20	
9999985	15	13	13	4	1	8	8	1	8	15	
9999994	6	6	6	1	1	4	4	1	4	6	
9999981	19	16	16	2	2	11	11	1	8	19	
9999951	49	39	39	8	4	24	24	3	21	49	
9999942	58	39	39	5	3	29	29	3	19	58	
9999951	49	42	42	6	3	28	28	2	27	49	
9999973	27	27	27	6	1	18	18	1	24	27	
9999974	26	24	24	5	3	18	18	2	19	26	
9999981	19	15	15	3	2	11	11	1	11	19	
9999978	22	16	16	3	2	13	13	2	12	22	
9999973	27	19	19	4	0	11	11	0	11	27	
9999944	56	52	52	12	5	34	34	4	37	56	
9999978	22	17	17	3	2	12	12	1	12	22	
9999975	25	23	23	4	2	16	16	1	17	25	
9999974	26	24	24	4	2	18	18	2	20	26	
9999992	8	5	5	2	2	3	3	1	2	8	
