S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
9999924	76	68	68	9	3	57	57	3	55	76	
9998981	1019	632	632	66	22	344	344	10	226	1019	
9999901	99	67	67	7	3	46	46	3	37	99	
9998236	1764	997	997	97	26	529	529	9	323	1764	
9998584	1416	783	783	85	25	411	411	14	270	1416	
9999780	220	155	155	13	4	90	90	2	70	220	
9999865	135	90	90	11	4	59	59	3	41	135	
9999478	522	332	332	44	21	201	201	9	136	522	
9999596	404	285	285	36	11	175	175	4	126	404	
9999734	266	204	204	33	14	125	125	10	105	266	
9999917	83	68	68	11	4	49	49	2	53	83	
9998904	1096	668	668	68	24	356	356	9	206	1096	
9999581	419	271	271	35	14	162	162	8	116	419	
9992067	7933	4525	4525	399	95	2410	2410	31	1427	7933	
9999434	566	357	357	43	14	222	222	7	154	566	
9999885	115	85	85	14	4	53	53	3	48	115	
9999961	39	33	33	8	4	16	16	3	17	39	
9999380	620	368	368	32	8	188	188	2	119	620	
9999833	167	120	120	12	4	67	67	2	48	167	
9999935	65	59	59	10	6	42	42	4	42	65	
9956682	43318	28266	28266	2966	942	16801	16801	370	11801	43318	
9999781	219	188	188	25	13	137	137	9	127	219	
9999966	34	26	26	5	4	21	21	3	19	34	
9999887	113	87	87	11	5	55	55	3	44	113	
9999079	921	497	497	46	13	231	231	4	123	921	
9999980	20	18	18	5	2	11	11	2	13	20	
9999951	49	47	47	6	3	36	36	2	39	49	
9999149	851	474	474	47	13	252	252	6	187	851	
9997298	2702	1589	1589	139	44	887	887	11	593	2702	
9998171	1829	1046	1046	112	29	555	555	9	359	1829	
9999292	708	447	447	40	11	244	244	7	177	708	
9998311	1689	986	986	84	34	538	538	14	311	1689	
9999159	841	390	390	23	7	168	168	4	98	841	
9999534	466	259	259	20	8	148	148	6	108	466	
9996289	3711	2074	2074	157	36	1012	1012	8	590	3711	
9999809	191	166	166	19	8	123	123	6	115	191	
9982876	17124	10512	10511	959	288	5879	5879	96	3721	17124	
9999523	477	336	336	39	13	193	193	6	143	477	
9999247	753	478	478	49	13	284	284	8	201	753	
9993313	6687	3816	3816	381	116	1971	1971	22	1184	6687	
9999816	184	82	82	10	4	42	42	2	32	184	
9963966	36034	23383	23383	2481	784	13652	13652	317	9566	36034	
9999935	65	48	48	6	3	41	41	3	38	65	
9999851	149	121	121	16	9	83	83	5	69	149	
9920889	79111	53591	53591	5749	1816	32536	32536	700	22768	79111	
9995613	4387	2563	2563	218	64	1379	1379	12	810	4387	
9995841	4159	2708	2708	280	91	1572	1572	35	1042	4159	
9999777	223	167	167	25	8	109	109	6	99	223	
9999946	54	46	46	6	3	38	38	3	33	54	
9999549	451	216	216	25	8	112	112	4	81	451	
9997752	2248	1519	1519	158	55	888	888	23	617	2248	
9999872	128	78	78	10	3	48	48	3	31	128	
9999824	176	127	127	17	6	75	75	5	63	176	
9999343	657	347	347	29	8	162	162	3	79	657	
9999949	51	48	48	9	5	38	38	3	41	51	
9999825	175	116	116	15	10	64	64	6	53	175	
9999596	404	251	251	26	7	141	141	3	92	404	
9999763	237	113	113	11	6	60	60	5	48	237	
9999665	335	202	202	16	5	124	124	4	84	335	
9999892	108	85	85	14	6	56	56	4	50	108	
9999939	61	45	45	8	3	28	28	3	23	61	
9999771	229	129	129	12	4	74	74	3	55	229	
9999935	65	61	61	11	4	43	43	3	46	65	
9999877	123	95	95	13	5	54	54	3	40	123	
9999939	61	45	45	10	3	27	27	3	27	61	
9997728	2272	1304	1304	126	25	698	698	10	435	2272	
9999922	78	68	68	3	2	48	48	2	39	78	
9999949	51	45	45	5	3	38	38	2	39	51	
9998914	1086	651	651	60	15	345	345	6	211	1086	
9999932	68	54	54	9	3	35	35	3	36	68	
9999949	51	42	42	8	3	26	26	3	26	51	
9999751	249	156	156	19	7	84	84	3	66	249	
9999904	96	87	87	15	7	66	66	5	67	96	
