BEASTGeneration	BEASTtmrca	FavitesSim	TimeToCoal	TimeToCase	DateOfIndexCase	TimeToHosp	IndexAtCoalescent
25000	2019.9531125442552	0825	0.030436	0.009084	2019.9226765442552	0.032664	0
50000	2019.9398992873944	0599	0.07579	0.041682	2019.8641092873943	0.052906	0
75000	2019.9538820116006	0116	0.139773	0.014264	2019.8141090116005	0.024609	0
100000	2019.9532165226567	0605	0.055615	0.008154	2019.8976015226567	0.022861	0
125000	2019.958957790233	0253	0.071868	0.015779	2019.887089790233	0.042617	0
150000	2019.955608749612	0504	0.034018	0.003119	2019.921590749612	0.034148	0
175000	2019.957141117153	0701	0.12828399999999998	0.073787	2019.8288571171531	0.111829	0
200000	2019.9516725748392	0422	0.09254699999999999	0.000731	2019.8591255748393	0.051425	0
225000	2019.9526181265478	0469	0.067788	0.034935	2019.8848301265477	0.041387	0
250000	2019.948159217467	0051	0.084971	0.017876	2019.863188217467	0.045128	0
275000	2019.9506412509816	0469	0.067788	0.034935	2019.8828532509815	0.041387	0
300000	2019.9572869018912	0965	0.09370899999999999	0.046111	2019.8635779018912	0.08204	0
325000	2019.9472473693195	0758	0.043503	0.00883	2019.9037443693194	0.014147	0
350000	2019.9533034395038	0668	0.120369	0.080523	2019.8329344395038	0.123217	0
375000	2019.9394670938348	1051	0.011068	0.000982	2019.9283990938347	0.017014	0
400000	2019.9543760103043	0469	0.067788	0.034935	2019.8865880103042	0.041387	0
425000	2019.9556489014533	1090	0.056930999999999995	0.023496	2019.8987179014532	0.047686	0
450000	2019.9566627530232	0425	0.06490499999999999	0.038197	2019.8917577530233	0.047646	0
475000	2019.958245841441	0930	0.035854	0.00495	2019.9223918414411	0.014797	0
500000	2019.9585591184841	0665	0.048848	0.001545	2019.9097111184842	0.032658	0
525000	2019.9533036883342	0065	0.02664	0.007541	2019.9266636883342	0.026558	0
550000	2019.9495203514716	0284	0.066373	0.042588	2019.8831473514715	0.051666	0
575000	2019.9476668971006	0915	0.050829	0.019303	2019.8968378971006	0.0441	0
600000	2019.9502597069297	0808	0.12138499999999999	0.075102	2019.8288747069298	0.088192	0
625000	2019.965299476066	0977	0.11915200000000001	0.032522	2019.846147476066	0.039336	0
650000	2019.970323986085	0630	0.08282199999999999	0.001688	2019.887501986085	0.025356	0
675000	2019.9673137998552	0605	0.055615	0.008154	2019.9116987998552	0.022861	0
700000	2019.9446211867753	1090	0.056930999999999995	0.023496	2019.8876901867752	0.047686	0
725000	2019.966694637874	0977	0.11915200000000001	0.032522	2019.847542637874	0.039336	0
750000	2019.9572664147024	0737	0.117769	0.006345	2019.8394974147025	0.033124	0
775000	2019.9642586361344	0560	0.13558599999999998	0.020911	2019.8286726361343	0.061059	0
800000	2019.9601108012898	0027	0.12172000000000001	0.048819	2019.8383908012897	0.068388	0
825000	2019.975077551931	0812	0.138444	0.001669	2019.836633551931	0.052134	0
850000	2019.9657149330778	0703	0.056444	0.011781	2019.9092709330778	0.020979	0
875000	2019.9593420772476	0343	0.060797	0.00217	2019.8985450772475	0.056284	0
