BEASTGeneration	BEASTtmrca	FavitesSim	TimeToCoal	TimeToCase	DateOfIndexCase	TimeToHosp	IndexAtCoalescent
25000	2019.9221857614446	0880	0.070744	0.045549	2019.8514417614444	0.05197	0
50000	2019.9315563837424	0542	0.001101	0.003439	2019.9304553837424	0.009459	0
75000	2019.9336252691892	1018	0.049356000000000004	0.042313	2019.8842692691892	0.048134	0
100000	2019.9092207368024	0115	0.002634	0.005146	2019.9065867368024	0.047746	0
125000	2019.898355290907	0233	0.029617	0.049123	2019.868738290907	0.071828	0
150000	2019.9280811770316	0819	0.077308	0.021891	2019.8507731770317	0.043904	0
175000	2019.9160910101712	0846	0.031047	0.010286	2019.8850440101712	0.041861	0
200000	2019.894455129175	0890	0.023597	0.042519	2019.8708581291748	0.073108	0
225000	2019.9194879493061	0215	0.07749299999999999	0.002071	2019.8419949493061	0.04676	0
250000	2019.9320250010157	1013	0.051153	0.000619	2019.8808720010156	0.014397	0
275000	2019.9319329873495	0737	0.117769	0.006345	2019.8141639873495	0.033124	0
300000	2019.9264095032202	0123	4e-06	0.001071	2019.9264055032202	0.016806	0
325000	2019.933730895614	0825	0.030436	0.009084	2019.903294895614	0.032664	0
350000	2019.939172496183	0978	0.12782500000000002	0.007092	2019.8113474961829	0.043454	0
375000	2019.923277515979	0214	0.08834800000000001	0.001604	2019.834929515979	0.062101	0
400000	2019.9332854039474	0716	0.054031	0.000674	2019.8792544039475	0.019206	0
425000	2019.9317530886963	0462	0.035638	0.020947	2019.8961150886962	0.026743	0
450000	2019.946520984449	0821	0.032216	0.007842	2019.914304984449	0.04085	0
475000	2019.9505261793404	0973	0.101144	0.076039	2019.8493821793404	0.087299	0
500000	2019.9104006673724	0599	0.07579	0.041682	2019.8346106673723	0.052906	0
525000	2019.9158998049452	0720	0.005646	0.016215	2019.9102538049451	0.037917	0
550000	2019.9205763235304	0576	0.060700000000000004	0.031765	2019.8598763235304	0.066142	0
575000	2019.94733753113	0922	0.053866	0.00443	2019.89347153113	0.041451	0
600000	2019.9456621243476	1077	0.094057	0.017236	2019.8516051243475	0.045744	0
625000	2019.9418600094439	0783	0.106106	0.037585	2019.835754009444	0.083589	0
650000	2019.9369954718045	0754	0.033294000000000004	0.034306	2019.9037014718044	0.038723	0
675000	2019.9295270609673	0167	0.0014420000000000001	0.001911	2019.9280850609673	0.02088	0
700000	2019.9216371718317	1027	0.022708	0.026073	2019.8989291718317	0.046407	0
725000	2019.905777059638	0077	0.083753	0.056469	2019.8220240596381	0.099019	0
750000	2019.952924407092	0065	0.02664	0.007541	2019.926284407092	0.026558	0
775000	2019.9314159956346	0321	0.04737699999999999	0.023365	2019.8840389956345	0.061122	0
800000	2019.9308862295861	0701	0.12828399999999998	0.073787	2019.8026022295862	0.111829	0
825000	2019.9622675262044	0973	0.101144	0.076039	2019.8611235262044	0.087299	0
850000	2019.9395797567895	0554	0.0601	7.6e-05	2019.8794797567896	0.029014	0
875000	2019.8949489524803	0860	0.012650999999999999	0.033153	2019.8822979524803	0.0367	0
900000	2019.9488529577102	0140	0.029017	0.003865	2019.9198359577101	0.02831	0
925000	2019.9348787247454	0047	0.034997999999999994	0.007204	2019.8998807247453	0.040301	0
950000	2019.943006081517	0978	0.12782500000000002	0.007092	2019.815181081517	0.043454	0
975000	2019.9329539226846	0851	0.023871	0.005044	2019.9090829226845	0.025674	0
1000000	2019.9365137083905	0379	0.06534799999999999	0.003983	2019.8711657083904	0.06962	0
1025000	2019.9140494748217	0341	0.018768	0.004156	2019.8952814748218	0.023062	0
1050000	2019.8448187222816	0477	0.001408	0.017183	2019.8434107222815	0.057554	0
1075000	2019.8720097314006	0392	0.027918	0.045436	2019.8440917314006	0.052801	0
1100000	2019.921329647784	0645	0.049192	0.032441	2019.872137647784	0.042442	0
1125000	2019.8951854040452	0038	0.002671	0.016626	2019.8925144040452	0.056864	0
1150000	2019.8897426999065	0121	0.00024	0.003118	2019.8895026999064	0.020401	0
1175000	2019.9059743172788	0305	0.05752	0.02725	2019.8484543172788	0.080834	0
1200000	2019.9367657838825	0340	0.0014160000000000002	0.000237	2019.9353497838824	0.017391	0
1225000	2019.935797562388	0208	0.091728	0.070223	2019.8440695623879	0.106837	0
1250000	2019.941936729974	0360	0.04958099999999999	0.039434	2019.892355729974	0.053497	0
1275000	2019.8932591694222	0173	0.022979	0.060071	2019.8702801694221	0.076397	0
1300000	2019.932415118737	0813	0.012705	0.002745	2019.919710118737	0.013	0
1325000	2019.9151515483688	0758	0.043503	0.00883	2019.8716485483687	0.014147	0
1350000	2019.938078846341	0630	0.08282199999999999	0.001688	2019.855256846341	0.025356	0
1375000	2019.9339802431236	0417	0.014352	0.01269	2019.9196282431237	0.035162	0
1400000	2019.9318724301968	0504	0.034018	0.003119	2019.8978544301967	0.034148	0
1425000	2019.943680837279	0027	0.12172000000000001	0.048819	2019.821960837279	0.068388	0
1450000	2019.9308649887355	0506	0.017609	0.004341	2019.9132559887355	0.014781	0
1475000	2019.8941559231816	0255	0.058423	0.011723	2019.8357329231817	0.070078	0
1500000	2019.9152461750516	0730	0.009186	0.004915	2019.9060601750516	0.021938	0
1525000	2019.9268824616643	0758	0.043503	0.00883	2019.8833794616642	0.014147	0
1550000	2019.9489567307244	0783	0.106106	0.037585	2019.8428507307244	0.083589	0
1575000	2019.9460842957856	0027	0.12172000000000001	0.048819	2019.8243642957855	0.068388	0
1600000	2019.9508983582634	0668	0.120369	0.080523	2019.8305293582634	0.123217	0
1625000	2019.9558172893421	0474	0.11756399999999999	0.055703	2019.8382532893422	0.078932	0
1650000	2019.9388803131624	0148	5.8e-05	0.000788	2019.9388223131623	0.015713	0
1675000	2019.9327759423581	0090	0.06691	0.064919	2019.8658659423581	0.088992	0
1700000	2019.942472982969	0178	0.027133	0.013404	2019.915339982969	0.025429	0
1725000	2019.9476404343552	0576	0.060700000000000004	0.031765	2019.8869404343552	0.066142	0
1750000	2019.9477391355995	0469	0.067788	0.034935	2019.8799511355994	0.041387	0
1775000	2019.9366757366531	0703	0.056444	0.011781	2019.880231736653	0.020979	0
1800000	2019.9526573957726	0259	0.053243	0.005595	2019.8994143957725	0.029596	0
1825000	2019.9540172716872	0701	0.12828399999999998	0.073787	2019.8257332716873	0.111829	0
1850000	2019.9451196148304	1051	0.011068	0.000982	2019.9340516148304	0.017014	0
1875000	2019.938686413826	0145	0.060344999999999996	0.001492	2019.8783414138259	0.009188	0
1900000	2019.9298074309922	0922	0.053866	0.00443	2019.8759414309923	0.041451	0
1925000	2019.9395705287254	0401	0.062245	0.019991	2019.8773255287254	0.04391	0
1950000	2019.9550530771937	0253	0.071868	0.015779	2019.8831850771937	0.042617	0
1975000	2019.9174866106634	0981	0.117336	0.01779	2019.8001506106634	0.044361	0
2000000	2019.9285384738118	0351	0.041403999999999996	0.025528	2019.8871344738118	0.055093	0
2025000	2019.8885348387746	0512	0.000192	0.015027	2019.8883428387746	0.048309	0
2050000	2019.877426134086	1058	0.068238	0.007438	2019.8091881340858	0.117262	0
2075000	2019.9363850889517	0461	0.010885999999999998	0.009016	2019.9254990889517	0.012367	0
2100000	2019.928295022037	0575	0.028407000000000005	0.038438	2019.899888022037	0.047352	0
2125000	2019.9292714160392	0562	0.027625999999999998	0.034621	2019.9016454160392	0.052117	0
2150000	2019.947028788365	0506	0.017609	0.004341	2019.929419788365	0.014781	0
2175000	2019.9305851386544	0453	0.08582100000000001	0.017175	2019.8447641386545	0.072162	0
2200000	2019.878544624843	0686	0.000689	0.042252	2019.877855624843	0.058716	0
2225000	2019.9416185124667	0911	0.111763	0.030347	2019.8298555124666	0.112436	0
2250000	2019.9251779487547	0360	0.04958099999999999	0.039434	2019.8755969487547	0.053497	0
2275000	2019.9098799183912	0981	0.117336	0.01779	2019.7925439183912	0.044361	0
2300000	2019.8998093693635	0253	0.071868	0.015779	2019.8279413693635	0.042617	0
2325000	2019.935421401785	1031	0.063439	0.007107	2019.871982401785	0.032548	0
2350000	2019.9311660736275	1033	0.009425999999999999	0.01174	2019.9217400736275	0.014271	0
2375000	2019.8775023337578	0876	0.003583	0.035924	2019.8739193337578	0.045368	0
2400000	2019.8568755180802	0173	0.022979	0.060071	2019.83389651808	0.076397	0
2425000	2019.9310357976265	0304	0.070608	0.053474	2019.8604277976265	0.082279	0
2450000	2019.9257707562888	0116	0.139773	0.014264	2019.7859977562887	0.024609	0
2475000	2019.9183833700795	0860	0.012650999999999999	0.033153	2019.9057323700795	0.0367	0
2500000	2019.9150511889663	0728	0.05255	0.031985	2019.8625011889662	0.070272	0
2525000	2019.9132672163487	0394	0.026501	0.001878	2019.8867662163486	0.022856	0
2550000	2019.9290514741979	0881	0.008172	0.003127	2019.9208794741978	0.010417	0
2575000	2019.9280880062404	0221	0.0016469999999999998	0.000808	2019.9264410062403	0.018825	0
2600000	2019.9280607827222	0737	0.117769	0.006345	2019.8102917827223	0.033124	0
2625000	2019.9241294772967	0441	0.020009	0.019579	2019.9041204772966	0.042279	0
2650000	2019.947584152476	0162	0.014139	0.001531	2019.9334451524762	0.006037	0
2675000	2019.9334690993737	0783	0.106106	0.037585	2019.8273630993738	0.083589	0
2700000	2019.9357635358128	0346	0.11851099999999999	0.088296	2019.817252535813	0.133017	0
2725000	2019.912080462921	0786	3e-05	0.008518	2019.9120504629211	0.031782	0
2750000	2019.918521882703	0307	0.144646	0.003021	2019.7738758827031	0.05168	0
2775000	2019.9165036277254	0701	0.12828399999999998	0.073787	2019.7882196277255	0.111829	0
2800000	2019.9074986862477	0576	0.060700000000000004	0.031765	2019.8467986862477	0.066142	0
2825000	2019.8811802171795	1051	0.011068	0.000982	2019.8701122171794	0.017014	0
2850000	2019.9147201190383	0993	0.010504	0.020375	2019.9042161190382	0.026648	0
2875000	2019.9451954085587	0722	0.024795	0.004628	2019.9204004085586	0.028158	0
2900000	2019.9145159925017	0229	0.09175	0.000555	2019.8227659925017	0.049557	0
2925000	2019.903824889883	1070	1e-06	0.033149	2019.903823889883	0.050451	0
2950000	2019.8939150774909	0681	0.002188	0.00243	2019.891727077491	0.038788	0
2975000	2019.9216733841677	0821	0.032216	0.007842	2019.8894573841676	0.04085	0
3000000	2019.936109674069	0047	0.034997999999999994	0.007204	2019.901111674069	0.040301	0
3025000	2019.9062616264323	0868	0.000263	0.030634	2019.9059986264324	0.046748	0
3050000	2019.8712157012383	0806	0.018720999999999998	0.045829	2019.8524947012384	0.066749	0
3075000	2019.9021620889382	0279	0.012695	0.016318	2019.8894670889383	0.052504	0
3100000	2019.8877136898811	0794	0.05919100000000001	0.079863	2019.828522689881	0.09906	0
3125000	2019.889286071276	1060	0.045387	0.095762	2019.8438990712762	0.10199	0
3150000	2019.9156505329306	0851	0.023871	0.005044	2019.8917795329305	0.025674	0
3175000	2019.9597723544778	0051	0.084971	0.017876	2019.8748013544778	0.045128	0
3200000	2019.9027982427274	0999	3.3e-05	0.030953	2019.9027652427274	0.046893	0
3225000	2019.9379575804196	0808	0.12138499999999999	0.075102	2019.8165725804197	0.088192	0
3250000	2019.9317339307177	1081	0.021207999999999998	0.012988	2019.9105259307178	0.025032	0
3275000	2019.9386753711847	0726	0.057485	0.014145	2019.8811903711846	0.016395	0
3300000	2019.928453199654	0334	0.05004	0.006192	2019.878413199654	0.060075	0
3325000	2019.9300752280362	0250	0.031627999999999996	0.028663	2019.8984472280363	0.049653	0
3350000	2019.9161949691293	0795	0.040082	0.041675	2019.8761129691293	0.072869	0
3375000	2019.92073127215	0043	0.044614999999999995	0.04205	2019.87611627215	0.074427	0
3400000	2019.930278534594	0382	0.120493	0.082908	2019.809785534594	0.135735	0
3425000	2019.9424017936906	0603	0.044185999999999996	0.020978	2019.8982157936905	0.057639	0
3450000	2019.9448563675483	0094	0.035071	0.025083	2019.9097853675482	0.034453	0
3475000	2019.9481261973522	0825	0.030436	0.009084	2019.9176901973522	0.032664	0
3500000	2019.9577004031416	0136	0.06246600000000001	0.021686	2019.8952344031416	0.052775	0
3525000	2019.9270837684612	1008	0.026175	0.011275	2019.9009087684612	0.031853	0
3550000	2019.9305101543548	0603	0.044185999999999996	0.020978	2019.8863241543547	0.057639	0
3575000	2019.944945565139	0195	0.122966	0.027042	2019.8219795651391	0.040338	0
3600000	2019.9353675964269	0341	0.018768	0.004156	2019.916599596427	0.023062	0
3625000	2019.9108385137226	1088	0.057309	0.019588	2019.8535295137226	0.090529	0
3650000	2019.888683562483	0921	0.018812999999999996	0.032611	2019.8698705624831	0.053839	0
3675000	2019.9310974937766	0441	0.020009	0.019579	2019.9110884937766	0.042279	0
3700000	2019.9296117080476	0840	0.150618	0.045701	2019.7789937080477	0.107256	0
3725000	2019.913753713153	0707	0.023234	0.030562	2019.890519713153	0.032411	0
3750000	2019.9174621583363	0674	0.046881000000000006	0.038423	2019.8705811583363	0.0548	0
3775000	2019.9306633300712	1036	0.075381	0.000341	2019.855282330071	0.059812	0
3800000	2019.929327501444	0178	0.027133	0.013404	2019.902194501444	0.025429	0
3825000	2019.9118043059757	0350	0.011607	0.018125	2019.9001973059758	0.032287	0
3850000	2019.9369960015956	0846	0.031047	0.010286	2019.9059490015957	0.041861	0
