BEASTGeneration	BEASTtmrca	FavitesSim	TimeToCoal	TimeToCase	DateOfIndexCase	TimeToHosp	IndexAtCoalescent
25000	2019.9611929213922	0338	0.042244000000000004	0.009992	2019.9189489213923	0.050102	0
50000	2019.9561797071003	0094	0.035071	0.025083	2019.9211087071003	0.034453	0
75000	2019.9488362197228	0305	0.05752	0.02725	2019.8913162197227	0.080834	0
100000	2019.95606435688	1021	0.040374	0.007118	2019.91569035688	0.041763	0
125000	2019.9553221252534	0712	0.180172	0.011424	2019.7751501252533	0.060724	0
150000	2019.9633308885338	0334	0.05004	0.006192	2019.9132908885338	0.060075	0
175000	2019.959253813294	0775	0.10406299999999999	0.067296	2019.855190813294	0.115772	0
200000	2019.9626954737462	0728	0.05255	0.031985	2019.910145473746	0.070272	0
225000	2019.946280532892	0482	0.017421	0.004421	2019.928859532892	0.042036	0
250000	2019.9323543669864	0666	0.045355	0.049276	2019.8869993669864	0.084324	0
275000	2019.93226235332	0254	0.020062	0.019644	2019.91220035332	0.042062	0
300000	2019.9581193037172	0980	0.09162600000000001	0.030779	2019.8664933037173	0.102162	0
325000	2019.9601150676804	0253	0.071868	0.015779	2019.8882470676804	0.042617	0
350000	2019.9567202615567	0805	0.054811	0.025074	2019.9019092615567	0.068823	0
375000	2019.9408895546042	0447	0.043282	0.006843	2019.897607554604	0.04554	0
400000	2019.9392747223012	0733	0.019263000000000002	0.029175	2019.9200117223013	0.03955	0
425000	2019.9548883009777	0579	0.062946	0.01	2019.8919423009777	0.059367	0
450000	2019.9613941565094	0576	0.060700000000000004	0.031765	2019.9006941565094	0.066142	0
475000	2019.9616374452505	0394	0.026501	0.001878	2019.9351364452505	0.022856	0
500000	2019.956187969871	0728	0.05255	0.031985	2019.903637969871	0.070272	0
525000	2019.9184979234838	1063	0.061568	0.042591	2019.8569299234837	0.058662	0
550000	2019.920905689501	0020	0.032622000000000005	0.064756	2019.8882836895011	0.080154	0
575000	2019.9774568073028	0915	0.050829	0.019303	2019.9266278073028	0.0441	0
600000	2019.9817303696618	0415	0.06625099999999999	0.004326	2019.9154793696619	0.023756	0
625000	2019.9766804211456	0214	0.08834800000000001	0.001604	2019.8883324211456	0.062101	0
650000	2019.9766056407602	0394	0.026501	0.001878	2019.9501046407602	0.022856	0
675000	2019.980476831569	0994	0.107495	0.062335	2019.872981831569	0.095174	0
700000	2019.9654547800562	0737	0.117769	0.006345	2019.8476857800563	0.033124	0
725000	2019.9117822819692	0462	0.035638	0.020947	2019.8761442819691	0.026743	0
750000	2019.9682109357873	1008	0.026175	0.011275	2019.9420359357873	0.031853	0
775000	2019.9557746754856	0869	0.056943	0.042644	2019.8988316754856	0.056505	0
800000	2019.9486586299363	0051	0.084971	0.017876	2019.8636876299363	0.045128	0
825000	2019.9728669092444	0343	0.060797	0.00217	2019.9120699092443	0.056284	0
850000	2019.9399091227601	0637	0.085711	0.055373	2019.8541981227602	0.073113	0
875000	2019.9640608891116	0382	0.120493	0.082908	2019.8435678891117	0.135735	0
900000	2019.9515857841304	0840	0.150618	0.045701	2019.8009677841305	0.107256	0
925000	2019.9357574535097	0908	0.006579	0.009577	2019.9291784535096	0.031753	0
950000	2019.9433354474877	0821	0.032216	0.007842	2019.9111194474876	0.04085	0
975000	2019.9332832886553	1032	0.098573	0.078921	2019.8347102886553	0.094657	0
1000000	2019.96388129806	0346	0.11851099999999999	0.088296	2019.84537029806	0.133017	0
1025000	2019.9549923816166	0050	0.069921	0.041809	2019.8850713816166	0.088707	0
1050000	2019.930258773833	0379	0.06534799999999999	0.003983	2019.864910773833	0.06962	0
1075000	2019.9739986399811	0425	0.06490499999999999	0.038197	2019.9090936399812	0.047646	0
1100000	2019.9326675820062	1080	7.8e-05	0.009253	2019.9325895820061	0.043239	0
1125000	2019.9224525274567	1033	0.009425999999999999	0.01174	2019.9130265274566	0.014271	0
1150000	2019.9465462722653	0585	0.058688	0.008629	2019.8878582722652	0.086304	0
1175000	2019.9469879698802	0027	0.12172000000000001	0.048819	2019.82526796988	0.068388	0
1200000	2019.9644401579694	0597	0.14593799999999998	0.011815	2019.8185021579695	0.036408	0
1225000	2019.949699905974	1077	0.094057	0.017236	2019.855642905974	0.045744	0
1250000	2019.9422660959447	0228	0.014908999999999999	0.025942	2019.9273570959447	0.041099	0
1275000	2019.9216273708792	0002	0.005622	0.006627	2019.9160053708792	0.040509	0
1300000	2019.9510900380117	0215	0.07749299999999999	0.002071	2019.8735970380117	0.04676	0
1325000	2019.9676018431717	0776	0.149558	0.028926	2019.8180438431716	0.103529	0
1350000	2019.9670354280997	1087	0.059219	0.01041	2019.9078164280997	0.064281	0
1375000	2019.9751443037237	0177	0.089028	0.065543	2019.8861163037236	0.070963	0
1400000	2019.9733060466494	0177	0.089028	0.065543	2019.8842780466493	0.070963	0
1425000	2019.9556958037192	0506	0.017609	0.004341	2019.9380868037192	0.014781	0
1450000	2019.9427637411873	0453	0.08582100000000001	0.017175	2019.8569427411874	0.072162	0
1475000	2019.9670874510277	0869	0.056943	0.042644	2019.9101444510277	0.056505	0
1500000	2019.9597054492406	0775	0.10406299999999999	0.067296	2019.8556424492406	0.115772	0
1525000	2019.9710242689205	0363	0.054265999999999995	0.00014	2019.9167582689204	0.035359	0
1550000	2019.9721370878392	0815	0.19326200000000002	0.031853	2019.7788750878392	0.09134	0
1575000	2019.9505799048677	0360	0.04958099999999999	0.039434	2019.9009989048677	0.053497	0
1600000	2019.954814316462	0862	0.030223	0.004851	2019.924591316462	0.045157	0
1625000	2019.9763738330894	0051	0.084971	0.017876	2019.8914028330894	0.045128	0
1650000	2019.973369157862	0630	0.08282199999999999	0.001688	2019.8905471578619	0.025356	0
1675000	2019.9729939614194	0407	0.099561	0.058113	2019.8734329614194	0.078891	0
1700000	2019.972339394864	0605	0.055615	0.008154	2019.916724394864	0.022861	0
1725000	2019.9479698003258	0082	0.08133599999999999	0.010255	2019.8666338003259	0.087764	0
1750000	2019.9767572308633	0691	0.086429	0.042718	2019.8903282308634	0.064846	0
1775000	2019.979819499072	0701	0.12828399999999998	0.073787	2019.851535499072	0.111829	0
1800000	2019.977815690124	0457	0.12240600000000001	0.008327	2019.8554096901241	0.04709	0
1825000	2019.9788323460823	0840	0.150618	0.045701	2019.8282143460824	0.107256	0
1850000	2019.978469896947	0815	0.19326200000000002	0.031853	2019.785207896947	0.09134	0
1875000	2019.9702750151778	0899	0.09219000000000001	0.002791	2019.8780850151777	0.061116	0
1900000	2019.9727511339909	1036	0.075381	0.000341	2019.8973701339908	0.059812	0
1925000	2019.9750909214183	0637	0.085711	0.055373	2019.8893799214184	0.073113	0
1950000	2019.973118625215	0977	0.11915200000000001	0.032522	2019.853966625215	0.039336	0
1975000	2019.9735283894672	0082	0.08133599999999999	0.010255	2019.8921923894673	0.087764	0
2000000	2019.9718367472883	1090	0.056930999999999995	0.023496	2019.9149057472882	0.047686	0
2025000	2019.9667158716452	0777	0.036778	0.020362	2019.9299378716453	0.04421	0
2050000	2019.974474401791	1036	0.075381	0.000341	2019.8990934017909	0.059812	0
2075000	2019.962442893173	0712	0.180172	0.011424	2019.7822708931728	0.060724	0
2100000	2019.9661539060833	0556	0.035389	0.02101	2019.9307649060834	0.043602	0
2125000	2019.9296007820099	0256	0.023666	0.024158	2019.9059347820098	0.042638	0
2150000	2019.9730128470699	0899	0.09219000000000001	0.002791	2019.8808228470698	0.061116	0
2175000	2019.9749950854957	0630	0.08282199999999999	0.001688	2019.8921730854956	0.025356	0
2200000	2019.961119508376	0177	0.089028	0.065543	2019.872091508376	0.070963	0
2225000	2019.9462026471938	0047	0.034997999999999994	0.007204	2019.9112046471937	0.040301	0
2250000	2019.953117852339	0208	0.091728	0.070223	2019.8613898523388	0.106837	0
2275000	2019.9634237618761	0691	0.086429	0.042718	2019.8769947618762	0.064846	0
2300000	2019.9001387353342	0813	0.012705	0.002745	2019.887433735334	0.013	0
2325000	2019.9357507677557	0613	0.03185	0.026075	2019.9039007677557	0.075447	0
2350000	2019.9705539086062	1007	0.061113	0.020695	2019.9094409086063	0.034724	0
2375000	2019.8778316997284	0327	0.010511	0.028242	2019.8673206997285	0.045651	0
2400000	2019.9619993431093	0077	0.083753	0.056469	2019.8782463431094	0.099019	0
2425000	2019.9567175925959	1087	0.059219	0.01041	2019.8974985925959	0.064281	0
2450000	2019.962771882392	0177	0.089028	0.065543	2019.8737438823919	0.070963	0
2475000	2019.91871273605	0313	0.072564	0.01797	2019.84614873605	0.094589	0
2500000	2019.915380554937	0795	0.040082	0.041675	2019.875298554937	0.072869	0
2525000	2019.9135965823193	1067	0.013165	0.045389	2019.9004315823192	0.055739	0
2550000	2019.9293808401685	0137	1e-06	0.010957	2019.9293798401684	0.039828	0
2575000	2019.9457555914066	0911	0.111763	0.030347	2019.8339925914065	0.112436	0
2600000	2019.9504101461569	0307	0.144646	0.003021	2019.805764146157	0.05168	0
2625000	2019.9647413044745	0422	0.09254699999999999	0.000731	2019.8721943044745	0.051425	0
2650000	2019.959854934021	0309	0.08013300000000001	0.004242	2019.879721934021	0.024295	0
2675000	2019.9337984653444	0611	0.068066	0.035687	2019.8657324653443	0.096581	0
2700000	2019.9551909099096	0229	0.09175	0.000555	2019.8634409099095	0.049557	0
2725000	2019.9361990477432	0973	0.101144	0.076039	2019.8350550477433	0.087299	0
2750000	2019.938908084616	0121	0.00024	0.003118	2019.938668084616	0.020401	0
2775000	2019.9473985849672	0704	0.014883	0.010794	2019.9325155849672	0.035441	0
2800000	2019.9608633300038	0981	0.117336	0.01779	2019.8435273300038	0.044361	0
2825000	2019.9137889328783	0288	0.000477	0.031259	2019.9133119328783	0.057244	0
2850000	2019.94560338856	0309	0.08013300000000001	0.004242	2019.86547038856	0.024295	0
2875000	2019.9493136169756	0840	0.150618	0.045701	2019.7986956169757	0.107256	0
2900000	2019.963505762626	0579	0.062946	0.01	2019.900559762626	0.059367	0
2925000	2019.93048570867	0447	0.043282	0.006843	2019.8872037086699	0.04554	0
2950000	2019.9560472337578	0341	0.018768	0.004156	2019.9372792337579	0.023062	0
2975000	2019.9220027501383	0630	0.08282199999999999	0.001688	2019.8391807501382	0.025356	0
3000000	2019.95595050682	0915	0.050829	0.019303	2019.90512150682	0.0441	0
3025000	2019.9363631150509	1034	0.012559	0.023851	2019.9238041150509	0.035751	0
3050000	2019.9327561906302	0267	0.054675999999999995	0.001702	2019.8780801906303	0.086429	0
3075000	2019.907693834979	0394	0.026501	0.001878	2019.881192834979	0.022856	0
3100000	2019.9103069165144	0189	0.009548000000000001	0.05134	2019.9007589165144	0.063306	0
3125000	2019.8896154372467	0912	0.009646000000000002	0.047932	2019.8799694372467	0.064708	0
3150000	2019.9764621622053	0716	0.054031	0.000674	2019.9224311622054	0.019206	0
3175000	2019.977702489242	0808	0.12138499999999999	0.075102	2019.856317489242	0.088192	0
3200000	2019.9758657754503	0409	0.054855	0.008924	2019.9210107754502	0.04049	0
3225000	2019.9643619595947	0874	0.028324999999999996	0.01583	2019.9360369595947	0.025705	0
3250000	2019.9822965725086	0716	0.054031	0.000674	2019.9282655725087	0.019206	0
3275000	2019.9390047371553	0810	0.10697899999999999	0.111329	2019.8320257371554	0.134412	0
3300000	2019.941948974885	1071	0.047668	0.01156	2019.894280974885	0.07518	0
3325000	2019.9543796660632	0301	0.137635	0.079605	2019.8167446660632	0.16314	0
3350000	2019.9165243351	0709	0.022086	0.036366	2019.8944383351	0.046691	0
3375000	2019.9210606381207	0646	0.085045	0.052342	2019.8360156381207	0.069874	0
3400000	2019.9306079005646	0382	0.120493	0.082908	2019.8101149005647	0.135735	0
3425000	2019.9663130740053	0819	0.077308	0.021891	2019.8890050740054	0.043904	0
3450000	2019.963506047777	0836	0.061302	0.040441	2019.9022040477769	0.060668	0
3475000	2019.9578442229783	0360	0.04958099999999999	0.039434	2019.9082632229783	0.053497	0
3500000	2019.974340704504	0447	0.043282	0.006843	2019.9310587045038	0.04554	0
3525000	2019.9579881148868	0134	0.042129	0.030875	2019.9158591148869	0.048548	0
3550000	2019.9308395203254	0659	0.018653	0.017208	2019.9121865203253	0.067844	0
3575000	2019.9636217246618	0840	0.150618	0.045701	2019.813003724662	0.107256	0
3600000	2019.937935346694	0047	0.034997999999999994	0.007204	2019.902937346694	0.040301	0
3625000	2019.9496198361253	0065	0.02664	0.007541	2019.9229798361253	0.026558	0
3650000	2019.9606708734962	0661	0.018368000000000002	0.006464	2019.9423028734961	0.030588	0
3675000	2019.9566756259999	0922	0.053866	0.00443	2019.902809626	0.041451	0
3700000	2019.9566288348053	0474	0.11756399999999999	0.055703	2019.8390648348054	0.078932	0
3725000	2019.9526243503117	0973	0.101144	0.076039	2019.8514803503117	0.087299	0
3750000	2019.961036859213	0490	0.040143	0.015302	2019.920893859213	0.04992	0
3775000	2019.953020254761	0457	0.12240600000000001	0.008327	2019.830614254761	0.04709	0
3800000	2019.9305770882077	0777	0.036778	0.020362	2019.8937990882077	0.04421	0
3825000	2019.9121336719463	0231	0.013883	0.012569	2019.8982506719462	0.02151	0
3850000	2019.951740577539	1077	0.094057	0.017236	2019.857683577539	0.045744	0
3875000	2019.9541672172697	0394	0.026501	0.001878	2019.9276662172697	0.022856	0
3900000	2019.9501719494133	0784	0.030506	0.004512	2019.9196659494132	0.047887	0
3925000	2019.9581552128316	0445	0.033938	0.007061	2019.9242172128315	0.055981	0
3950000	2019.963340024803	1063	0.061568	0.042591	2019.901772024803	0.058662	0
3975000	2019.9616196456022	0998	0.085673	0.006198	2019.8759466456022	0.102516	0
4000000	2019.9565370228934	0835	0.119286	0.075358	2019.8372510228933	0.138382	0
4025000	2019.9585432371234	1008	0.026175	0.011275	2019.9323682371235	0.031853	0
4050000	2019.9474155426792	0401	0.062245	0.019991	2019.8851705426791	0.04391	0
4075000	2019.9606627674957	0846	0.031047	0.010286	2019.9296157674958	0.041861	0
4100000	2019.961628180504	0874	0.028324999999999996	0.01583	2019.933303180504	0.025705	0
4125000	2019.959168997494	0407	0.099561	0.058113	2019.859607997494	0.078891	0
4150000	2019.9552183439096	0425	0.06490499999999999	0.038197	2019.8903133439096	0.047646	0
4175000	2019.946474566675	0725	0.032563	0.007293	2019.913911566675	0.055815	0
4200000	2019.9513578515823	0112	0.092881	0.016985	2019.8584768515823	0.042023	0
4225000	2019.954597517134	0416	0.03743	0.002872	2019.917167517134	0.049523	0
4250000	2019.9543785160424	0576	0.060700000000000004	0.031765	2019.8936785160424	0.066142	0
4275000	2019.9556227849255	0027	0.12172000000000001	0.048819	2019.8339027849254	0.068388	0
4300000	2019.9637268257602	0981	0.117336	0.01779	2019.8463908257602	0.044361	0
4325000	2019.9597718589355	0237	0.050527999999999997	0.030629	2019.9092438589355	0.051132	0
4350000	2019.9642540048012	0140	0.029017	0.003865	2019.9352370048011	0.02831	0
4375000	2019.9630711004072	0215	0.07749299999999999	0.002071	2019.8855781004072	0.04676	0
4400000	2019.9451373651762	0207	0.004758	0.011892	2019.940379365176	0.023293	0
4425000	2019.9554881491817	0819	0.077308	0.021891	2019.8781801491818	0.043904	0
4450000	2019.966738561871	0851	0.023871	0.005044	2019.9428675618708	0.025674	0
4475000	2019.9623181792567	0880	0.070744	0.045549	2019.8915741792566	0.05197	0
4500000	2019.9547868358777	0668	0.120369	0.080523	2019.8344178358777	0.123217	0
4525000	2019.9579113114908	0556	0.035389	0.02101	2019.9225223114909	0.043602	0
4550000	2019.9617938048389	1008	0.026175	0.011275	2019.935618804839	0.031853	0
4575000	2019.9602748383218	0479	0.013404	0.005765	2019.9468708383217	0.027841	0
4600000	2019.8903753211782	1039	0.006073	0.021674	2019.8843023211782	0.053192	0
4625000	2019.9717813451764	0422	0.09254699999999999	0.000731	2019.8792343451764	0.051425	0
4650000	2019.979293920322	0579	0.062946	0.01	2019.916347920322	0.059367	0
4675000	2019.9599455728915	0954	0.12503299999999998	0.056529	2019.8349125728914	0.075266	0
4700000	2019.9731206617498	0407	0.099561	0.058113	2019.8735596617498	0.078891	0
4725000	2019.9798107210186	0157	0.100354	0.034878	2019.8794567210186	0.07597	0
4750000	2019.976818376419	0840	0.150618	0.045701	2019.8262003764191	0.107256	0
4775000	2019.9739401953495	0825	0.030436	0.009084	2019.9435041953495	0.032664	0
4800000	2019.9127526930092	0307	0.144646	0.003021	2019.7681066930093	0.05168	0
4825000	2019.9089679319484	0981	0.117336	0.01779	2019.7916319319484	0.044361	0
4850000	2019.9322303500217	0048	0.000186	0.010452	2019.9320443500217	0.03642	0
4875000	2019.9572774292233	0084	0.026704	0.011995	2019.9305734292232	0.016149	0
4900000	2019.9803661190465	1028	0.081092	0.021817	2019.8992741190466	0.080806	0
4925000	2019.9869456290671	0899	0.09219000000000001	0.002791	2019.894755629067	0.061116	0
4950000	2019.9786357564087	0981	0.117336	0.01779	2019.8612997564087	0.044361	0
4975000	2019.9924793353166	0808	0.12138499999999999	0.075102	2019.8710943353167	0.088192	0
5000000	2019.9767798826397	1007	0.061113	0.020695	2019.9156668826397	0.034724	0
5025000	2019.981720368349	0783	0.106106	0.037585	2019.875614368349	0.083589	0
5050000	2019.9937595760916	0116	0.139773	0.014264	2019.8539865760915	0.024609	0
5075000	2019.9913849052587	0978	0.12782500000000002	0.007092	2019.8635599052586	0.043454	0
5100000	2019.9802262873075	0994	0.107495	0.062335	2019.8727312873075	0.095174	0
5125000	2019.978203147971	0815	0.19326200000000002	0.031853	2019.784941147971	0.09134	0
5150000	2019.9571916361906	0407	0.099561	0.058113	2019.8576306361906	0.078891	0
5175000	2019.9835570930884	0808	0.12138499999999999	0.075102	2019.8621720930885	0.088192	0
5200000	2019.9806558580808	0051	0.084971	0.017876	2019.8956848580808	0.045128	0
5225000	2019.98018288516	0930	0.035854	0.00495	2019.94432888516	0.014797	0
5250000	2019.975382642786	0047	0.034997999999999994	0.007204	2019.9403846427858	0.040301	0
5275000	2019.971831241485	0703	0.056444	0.011781	2019.915387241485	0.020979	0
5300000	2019.987789696039	0051	0.084971	0.017876	2019.902818696039	0.045128	0
5325000	2019.9599026907676	0579	0.062946	0.01	2019.8969566907676	0.059367	0
5350000	2019.96711935534	0255	0.058423	0.011723	2019.90869635534	0.070078	0
5375000	2019.968428484693	1021	0.040374	0.007118	2019.9280544846931	0.041763	0
5400000	2019.9678155200586	0312	0.04281800000000001	0.016085	2019.9249975200587	0.036051	0
5425000	2019.9769410514714	0646	0.085045	0.052342	2019.8918960514713	0.069874	0
5450000	2019.9818510656098	0646	0.085045	0.052342	2019.8968060656098	0.069874	0
5475000	2019.9604236734203	0343	0.060797	0.00217	2019.8996266734202	0.056284	0
5500000	2019.9729267021676	0554	0.0601	7.6e-05	2019.9128267021676	0.029014	0
5525000	2019.9648316070388	0646	0.085045	0.052342	2019.8797866070388	0.069874	0
5550000	2019.9216557317832	0635	0.043158	0.035993	2019.8784977317832	0.088561	0
5575000	2019.9026850336056	0292	0.003751	0.037169	2019.8989340336057	0.06675	0
5600000	2019.899521319716	0880	0.070744	0.045549	2019.828777319716	0.05197	0
