S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999996	4	3	3	1	1	1	1	1	0	4	
4999974	26	19	19	3	2	13	13	2	10	26	
4999988	12	7	7	1	1	5	5	1	2	12	
4999987	13	10	10	2	2	5	5	2	3	13	
4999993	7	6	6	2	1	4	4	1	3	7	
4999664	336	160	160	15	2	74	74	1	41	336	
4999974	26	24	24	6	2	15	15	2	17	26	
4999964	36	30	30	4	1	22	22	1	23	36	
4999963	37	26	26	6	5	17	17	3	16	37	
4999994	6	4	4	2	1	2	2	0	3	6	
4999959	41	23	23	2	2	17	17	2	12	41	
4999987	13	10	10	1	1	6	6	1	7	13	
4999993	7	6	6	2	1	4	4	1	4	7	
4999991	9	9	9	2	1	5	5	1	7	9	
4999522	478	241	241	17	7	110	110	0	53	478	
4999961	39	35	35	5	1	25	25	1	22	39	
4999988	12	11	11	2	1	7	7	1	4	12	
4999997	3	2	2	1	1	1	1	1	1	3	
4999322	678	406	406	43	16	227	227	10	168	678	
4999987	13	11	11	2	2	7	7	2	8	13	
4999984	16	16	16	1	1	13	13	1	13	16	
4999992	8	6	6	2	1	4	4	1	4	8	
4999987	13	10	10	2	1	7	7	1	6	13	
4999991	9	8	8	2	1	6	6	1	5	9	
4999998	2	2	2	1	1	1	1	1	0	2	
4999974	26	26	26	3	2	23	23	2	23	26	
4999993	7	5	5	1	1	3	3	0	2	7	
4999989	11	8	8	1	1	4	4	1	4	11	
4999964	36	30	30	4	1	16	16	1	16	36	
4999904	96	61	61	12	3	34	34	1	26	96	
4999995	5	5	5	1	1	2	2	1	2	5	
4999974	26	26	26	3	2	23	23	2	23	26	
4999991	9	8	8	1	1	5	5	1	5	9	
4999989	11	10	10	1	1	9	9	1	9	11	
4999994	6	4	4	1	1	2	2	1	3	6	
4999984	16	16	16	1	1	13	13	1	13	16	
4999967	33	23	23	2	1	17	17	1	13	33	
4999996	4	3	3	1	1	1	1	1	1	4	
4999945	55	28	28	3	1	13	13	1	6	55	
4999971	29	16	16	3	1	11	11	1	11	29	
4999997	3	2	2	1	1	1	1	1	1	3	
4999991	9	9	9	1	1	7	7	1	6	9	
4999977	23	23	23	4	2	19	19	2	20	23	
4999983	17	13	13	5	4	6	6	2	7	17	
4999989	11	11	11	2	1	8	8	1	9	11	
4999995	5	5	5	1	1	2	2	1	3	5	
4999984	16	13	13	2	1	11	11	1	11	16	
4999987	13	12	12	1	1	9	9	1	7	13	
4999973	27	24	24	2	2	20	20	2	18	27	
4999992	8	6	6	1	1	4	4	1	2	8	
4999984	16	11	11	4	1	7	7	1	8	16	
4999967	33	31	31	3	1	26	26	1	27	33	
4999993	7	7	7	3	1	4	4	1	4	7	
4999996	4	3	3	1	1	0	0	0	0	4	
4999984	16	12	12	3	1	8	8	1	7	16	
4999985	15	13	13	4	2	6	6	2	8	15	
4999990	10	6	6	1	1	3	3	1	4	10	
4999962	38	22	22	2	1	9	9	1	7	38	
4999994	6	5	5	1	1	2	2	1	0	6	
4999154	846	481	481	43	11	268	268	4	184	846	
4999988	12	10	10	2	2	5	5	1	3	12	
4999988	12	11	11	2	1	8	8	1	9	12	
4999997	3	3	3	1	1	1	1	1	1	3	
4999980	20	18	18	2	2	14	14	1	14	20	
4999979	21	19	19	2	1	16	16	1	16	21	
4999998	2	1	1	1	1	0	0	1	0	2	
4999996	4	3	3	1	1	1	1	1	1	4	
4999981	19	16	16	4	3	11	11	3	12	19	
4999983	17	15	15	4	3	9	9	2	11	17	
4999992	8	6	6	1	1	5	5	1	3	8	
4999997	3	2	2	1	1	1	1	1	0	3	
4999982	18	9	9	1	1	4	4	1	1	18	
4999786	214	144	144	17	5	85	85	3	59	214	
4999720	280	182	182	17	4	122	122	2	95	280	
4999979	21	13	13	2	1	7	7	1	5	21	
4999126	874	509	509	46	11	251	251	5	138	874	
4999915	85	66	66	7	3	37	37	1	28	85	
4999851	149	74	74	3	1	34	34	0	19	149	
4999412	588	418	418	41	23	260	260	7	175	588	
4999995	5	3	3	2	1	0	0	1	1	5	
4999987	13	10	10	1	1	9	9	1	8	13	
4999962	38	27	27	2	1	18	18	1	13	38	
4999904	96	56	56	2	1	28	28	1	14	96	
4999920	80	60	60	9	4	28	28	1	19	80	
4999938	62	30	30	4	2	6	6	1	4	62	
4999983	17	10	10	2	1	4	4	1	3	17	
4999991	9	4	4	2	2	1	1	1	0	9	
4999990	10	8	8	2	1	5	5	1	6	10	
4999983	17	13	13	3	1	8	8	1	6	17	
4999989	11	8	8	1	1	6	6	1	7	11	
4999802	198	120	120	12	2	68	68	1	37	198	
4999971	29	24	24	2	2	16	16	2	11	29	
4999964	36	27	27	4	2	19	19	1	18	36	
4999976	24	12	12	1	1	10	10	1	7	24	
4999976	24	20	20	1	1	15	15	0	11	24	
4999994	6	5	5	2	1	3	3	1	2	6	
4999988	12	9	9	1	1	3	3	1	3	12	
4999991	9	9	9	3	1	4	4	1	4	9	
4999965	35	17	17	1	1	10	10	0	4	35	
4999822	178	108	108	10	4	52	52	1	31	178	
4999989	11	8	8	2	1	4	4	1	2	11	
4999949	51	40	40	5	1	28	28	1	23	51	
4999977	23	18	18	5	2	11	11	2	10	23	
4999963	37	25	25	2	1	18	18	1	11	37	
4999988	12	11	11	2	1	8	8	1	9	12	
4999987	13	10	10	3	2	6	6	2	5	13	
4999990	10	9	9	2	2	7	7	1	7	10	
4999989	11	10	10	2	1	8	8	1	8	11	
4999964	36	27	27	4	1	17	17	1	16	36	
4999991	9	8	8	1	1	6	6	1	6	9	
4999984	16	10	10	2	2	8	8	1	6	16	
4999983	17	14	14	1	1	12	12	1	10	17	
4999953	47	40	40	5	1	29	29	1	28	47	
4999990	10	8	8	2	1	4	4	1	4	10	
4998906	1094	666	666	65	12	358	358	7	229	1094	
4999956	44	27	27	7	2	13	13	1	6	44	
4999989	11	8	8	2	2	5	5	1	5	11	
4999984	16	12	12	1	1	11	11	1	8	16	
4999991	9	9	9	1	1	6	6	1	5	9	
4999995	5	4	4	1	1	1	1	1	1	5	
4999838	162	97	97	9	2	51	51	1	29	162	
4999981	19	15	15	2	1	12	12	1	12	19	
4999993	7	6	6	1	1	4	4	1	3	7	
4999985	15	10	10	2	1	8	8	1	8	15	
4999976	24	16	16	3	2	10	10	1	8	24	
4999433	567	288	288	27	3	125	125	1	57	567	
4997620	2380	1506	1506	169	52	867	867	13	607	2380	
4999981	19	15	15	3	1	8	8	1	9	19	
4999931	69	40	40	3	2	19	19	1	13	69	
4999981	19	14	14	4	2	10	10	1	9	19	
4999987	13	13	13	1	1	11	11	1	10	13	
4999980	20	18	18	3	2	14	14	1	15	20	
4999959	41	23	23	2	2	17	17	2	12	41	
4999966	34	23	23	4	2	17	17	1	17	34	
4998778	1222	811	811	78	22	450	450	6	245	1222	
4999937	63	44	44	5	2	24	24	1	19	63	
4999983	17	12	12	3	2	4	4	1	2	17	
4999961	39	21	21	1	1	13	13	1	4	39	
4999973	27	17	17	3	2	11	11	2	11	27	
4999974	26	24	24	6	5	16	16	4	16	26	
4999933	67	57	57	8	1	44	44	1	38	67	
4999961	39	34	34	5	1	24	24	1	24	39	
4998586	1414	732	732	66	26	353	353	10	200	1414	
4999971	29	23	23	2	1	20	20	1	19	29	
4999986	14	11	11	1	1	6	6	1	5	14	
4999986	14	13	13	2	1	11	11	1	11	14	
4999989	11	7	7	1	1	4	4	1	2	11	
4999901	99	47	47	5	1	20	20	0	15	99	
4966270	33730	21004	21004	2132	635	11993	11993	216	7895	33730	
4999959	41	32	32	4	3	23	23	1	17	41	
4999968	32	26	26	3	1	17	17	1	14	32	
4999988	12	12	12	2	1	8	8	1	8	12	
4999982	18	15	15	3	1	8	8	1	7	18	
4999987	13	11	11	3	1	8	8	1	9	13	
4999980	20	14	14	2	1	9	9	0	8	20	
4999851	149	66	66	7	1	30	30	1	16	149	
4999961	39	31	31	3	2	22	22	2	19	39	
4999981	19	17	17	2	1	13	13	1	12	19	
4999990	10	9	9	1	1	7	7	1	5	10	
4999971	29	20	20	3	1	9	9	1	8	29	
4999990	10	5	5	2	1	1	1	1	2	10	
4999988	12	9	9	2	1	3	3	1	3	12	
4999399	601	375	375	36	5	181	181	2	105	601	
4999989	11	8	8	1	1	2	2	1	2	11	
4999990	10	9	9	2	1	7	7	1	7	10	
4999915	85	38	38	3	1	12	12	1	8	85	
4999917	83	67	67	10	2	44	44	2	42	83	
4999754	246	129	129	17	10	62	62	2	50	246	
4999970	30	28	28	4	1	18	18	1	17	30	
4999735	265	189	189	9	2	130	130	1	92	265	
4999931	69	64	64	12	6	47	47	3	49	69	
4999963	37	30	30	4	1	20	20	1	16	37	
4999990	10	7	7	2	1	1	1	1	2	10	
4999987	13	7	7	2	1	2	2	1	2	13	
4999986	14	7	7	1	1	4	4	1	3	14	
4999971	29	28	28	2	2	24	24	2	25	29	
4999998	2	2	2	1	1	1	1	0	0	2	
4999988	12	9	9	2	1	7	7	1	7	12	
4999987	13	9	9	5	4	4	4	2	3	13	
4999821	179	76	76	6	3	28	28	0	6	179	
4999936	64	62	62	11	5	50	50	5	60	64	
4999991	9	8	8	2	2	6	6	0	6	9	
4999975	25	21	21	3	2	16	16	2	14	25	
4999997	3	2	2	1	1	1	1	1	1	3	
4999973	27	24	24	2	2	21	21	2	18	27	
4999981	19	17	17	2	1	13	13	1	12	19	
4999956	44	40	40	3	2	33	33	1	31	44	
4999864	136	45	45	5	1	16	16	1	12	136	
4999994	6	5	5	2	1	3	3	1	1	6	
4999963	37	32	32	5	3	26	26	3	25	37	
4999880	120	95	95	8	4	67	67	1	44	120	
4999997	3	3	3	1	1	1	1	1	0	3	
4998957	1043	538	538	47	8	247	247	1	109	1043	
4999994	6	6	6	1	1	3	3	1	3	6	
4999499	501	235	235	9	3	115	115	2	53	501	
4999960	40	22	22	4	3	15	15	2	16	40	
4999976	24	18	18	2	1	13	13	1	9	24	
4999980	20	18	18	1	1	11	11	1	9	20	
4999980	20	18	18	3	2	14	14	1	16	20	
4999974	26	24	24	2	2	20	20	2	18	26	
4999932	68	56	56	9	4	44	44	3	47	68	
4998914	1086	674	674	63	14	391	391	7	284	1086	
4999933	67	35	35	2	1	20	20	1	17	67	
4999575	425	213	213	23	7	87	87	2	43	425	
4999966	34	19	19	3	2	12	12	1	9	34	
4999991	9	8	8	1	1	5	5	1	3	9	
4999988	12	8	8	1	1	5	5	1	3	12	
4999980	20	13	13	2	2	7	7	1	4	20	
4999966	34	31	31	4	3	22	22	1	18	34	
4999976	24	22	22	4	3	16	16	3	15	24	
4999977	23	18	18	3	1	14	14	1	12	23	
4999998	2	2	2	1	1	1	1	0	0	2	
4999970	30	18	18	2	2	10	10	1	7	30	
4999986	14	10	10	2	2	7	7	1	5	14	
4999978	22	14	14	4	1	8	8	1	9	22	
4999993	7	7	7	2	1	3	3	1	4	7	
4999974	26	24	24	2	2	20	20	2	18	26	
4999962	38	30	30	4	2	21	21	1	17	38	
4999987	13	13	13	1	1	9	9	1	9	13	
4999993	7	6	6	1	1	5	5	1	4	7	
4999973	27	23	23	5	1	13	13	0	12	27	
4990542	9458	5610	5610	553	152	3050	3050	53	1908	9458	
4999988	12	12	12	2	1	8	8	1	8	12	
4999970	30	18	18	2	2	10	10	1	7	30	
4999981	19	14	14	4	2	10	10	1	9	19	
4999972	28	27	27	4	3	21	21	3	21	28	
4999983	17	12	12	2	1	7	7	1	6	17	
4999957	43	35	35	3	2	27	27	2	22	43	
4999937	63	62	62	11	5	50	50	5	59	63	
4999990	10	9	9	1	1	6	6	1	5	10	
4999972	28	26	26	4	1	17	17	1	16	28	
4999973	27	25	25	7	2	17	17	2	20	27	
4999998	2	1	1	1	1	0	0	1	0	2	
4999985	15	13	13	1	1	10	10	1	10	15	
4999982	18	16	16	1	1	15	15	1	13	18	
4999915	85	58	58	6	2	34	34	0	27	85	
4999989	11	8	8	1	1	2	2	1	2	11	
4999981	19	17	17	2	1	13	13	1	12	19	
4999993	7	6	6	1	1	4	4	1	3	7	
4999955	45	39	39	4	3	30	30	3	31	45	
4999987	13	11	11	3	1	8	8	1	9	13	
4999992	8	6	6	1	1	4	4	1	2	8	
4999990	10	9	9	1	1	6	6	1	6	10	
4999982	18	12	12	1	1	8	8	1	5	18	
4999970	30	19	19	1	1	13	13	1	8	30	
4999904	96	70	70	8	3	56	56	3	53	96	
4999640	360	152	152	16	5	56	56	2	30	360	
4999954	46	38	38	3	2	28	28	2	26	46	
4999977	23	18	18	3	1	10	10	1	12	23	
4999993	7	4	4	2	2	2	2	0	1	7	
4999984	16	14	14	2	1	11	11	1	11	16	
4999986	14	12	12	1	1	9	9	1	7	14	
4999967	33	30	30	2	1	28	28	1	27	33	
4999997	3	3	3	1	1	1	1	1	0	3	
4999995	5	4	4	1	1	2	2	0	1	5	
4999979	21	21	21	2	2	15	15	1	14	21	
4999974	26	25	25	5	2	20	20	2	22	26	
4999988	12	12	12	1	1	7	7	1	7	12	
4999987	13	7	7	2	1	2	2	1	2	13	
4999984	16	16	16	1	1	13	13	1	13	16	
4999996	4	3	3	1	1	1	1	1	1	4	
4999987	13	10	10	1	1	7	7	1	6	13	
4999748	252	160	160	12	4	80	80	1	43	252	
4999993	7	6	6	1	1	4	4	1	4	7	
4999728	272	128	128	11	3	52	52	1	31	272	
4999983	17	12	12	2	1	7	7	1	6	17	
4999987	13	10	10	2	1	7	7	1	6	13	
4999969	31	30	30	4	2	25	25	1	23	31	
4999990	10	9	9	1	1	6	6	1	6	10	
4999988	12	12	12	2	1	9	9	1	8	12	
4999989	11	8	8	2	1	5	5	0	5	11	
4999998	2	1	1	1	1	0	0	1	0	2	
4999996	4	3	3	2	1	1	1	1	0	4	
4999990	10	8	8	2	2	6	6	2	4	10	
4999997	3	2	2	1	1	1	1	1	0	3	
4999994	6	5	5	1	1	3	3	1	2	6	
4999860	140	85	85	9	4	47	47	0	30	140	
4999996	4	3	3	1	1	1	1	1	1	4	
4999994	6	4	4	1	1	2	2	1	3	6	
4992710	7290	4341	4341	435	121	2357	2357	43	1458	7290	
4999991	9	9	9	2	1	7	7	1	6	9	
4999991	9	8	8	2	1	4	4	1	5	9	
4999994	6	5	5	2	1	2	2	1	2	6	
4999983	17	12	12	2	1	7	7	1	4	17	
4999978	22	9	9	1	1	2	2	1	2	22	
4998600	1400	878	878	82	20	481	481	9	300	1400	
4995097	4903	2773	2773	269	71	1504	1504	25	952	4903	
4999983	17	13	13	2	2	10	10	1	9	17	
4999906	94	74	74	12	6	45	45	3	43	94	
4999991	9	8	8	1	1	6	6	1	6	9	
4999993	7	7	7	1	1	5	5	1	6	7	
4999990	10	9	9	1	1	7	7	1	6	10	
4999984	16	12	12	2	2	8	8	1	5	16	
4999992	8	8	8	2	1	5	5	1	6	8	
4999977	23	16	16	3	2	9	9	0	8	23	
4999995	5	5	5	1	1	4	4	1	3	5	
4999997	3	3	3	1	1	2	2	1	2	3	
4999968	32	26	26	2	1	23	23	1	23	32	
4999962	38	33	33	4	1	24	24	1	19	38	
4999993	7	6	6	1	1	5	5	1	4	7	
4999973	27	23	23	5	1	13	13	0	12	27	
4999969	31	29	29	3	2	25	25	2	25	31	
4999993	7	7	7	2	1	4	4	1	4	7	
4999996	4	3	3	1	1	1	1	1	1	4	
4999976	24	20	20	3	2	15	15	1	11	24	
4999976	24	20	20	3	2	15	15	1	11	24	
4999989	11	11	11	3	2	7	7	2	9	11	
4999947	53	49	49	7	3	39	39	2	36	53	
4999988	12	11	11	1	1	10	10	1	10	12	
4999990	10	10	10	2	1	8	8	1	9	10	
4999954	46	42	42	8	2	32	32	2	34	46	
4999991	9	9	9	1	1	7	7	1	6	9	
4999988	12	10	10	2	1	7	7	1	7	12	
4999994	6	5	5	1	1	3	3	1	1	6	
4999993	7	7	7	2	1	3	3	1	4	7	
4999987	13	13	13	2	1	9	9	1	9	13	
4999995	5	5	5	1	1	3	3	1	2	5	
4999995	5	5	5	1	1	2	2	1	2	5	
4999946	54	32	32	5	2	19	19	1	11	54	
4999993	7	7	7	2	1	3	3	1	4	7	
4999991	9	8	8	2	2	6	6	1	6	9	
4999993	7	7	7	1	1	3	3	1	3	7	
4999965	35	34	34	5	2	27	27	2	30	35	
4999996	4	3	3	2	1	1	1	1	2	4	
4999936	64	40	40	2	1	21	21	1	10	64	
4999757	243	100	100	6	1	37	37	1	17	243	
4999990	10	5	5	1	1	2	2	1	2	10	
4999908	92	68	68	5	4	48	48	2	33	92	
