S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999778	222	145	145	12	4	71	71	2	49	222	
4999952	48	46	46	7	5	36	36	4	34	48	
4996644	3356	1980	1980	213	57	1063	1063	17	708	3356	
4999703	297	150	150	14	8	64	64	3	37	297	
4999876	124	89	89	15	2	56	56	1	44	124	
4978894	21106	13398	13398	1369	393	7745	7745	146	5272	21106	
4999935	65	58	58	12	4	42	42	3	47	65	
4999871	129	104	104	11	4	78	78	2	74	129	
4997128	2872	1632	1632	130	34	838	838	14	456	2872	
4999978	22	15	15	3	2	10	10	2	8	22	
4998579	1421	894	894	79	28	487	487	8	305	1421	
4998077	1923	1141	1141	113	31	563	563	11	327	1923	
4999982	18	13	13	2	2	10	10	1	8	18	
4999981	19	16	16	4	1	11	11	1	12	19	
4978966	21034	13554	13554	1436	445	7927	7927	177	5511	21034	
4999935	65	60	60	9	5	45	45	3	47	65	
4999974	26	24	24	6	5	16	16	4	16	26	
4999968	32	22	22	3	1	15	15	1	13	32	
4966029	33971	21457	21457	2138	632	12360	12360	251	8241	33971	
4999578	422	244	244	29	9	138	138	4	109	422	
4999350	650	227	227	12	1	93	93	1	49	650	
4999914	86	67	67	8	3	39	39	2	32	86	
4999960	40	36	36	5	3	27	27	2	27	40	
4999987	13	11	11	2	2	8	8	2	7	13	
4999021	979	502	502	36	7	210	210	2	112	979	
4999932	68	58	58	5	3	47	47	3	43	68	
4999980	20	11	11	2	2	8	8	1	7	20	
4999968	32	30	30	3	2	23	23	1	24	32	
4999419	581	416	416	55	23	258	258	13	206	581	
4990203	9797	6160	6160	682	213	3546	3546	65	2407	9797	
4999983	17	16	16	2	1	13	13	1	10	17	
4999932	68	58	58	5	3	47	47	3	43	68	
4999984	16	15	15	2	2	12	12	2	10	16	
4999941	59	42	42	4	1	29	29	1	25	59	
4999973	27	18	18	2	1	12	12	1	9	27	
4999350	650	227	227	12	1	93	93	1	49	650	
4999763	237	161	161	15	7	113	113	4	98	237	
4999875	125	65	65	11	3	25	25	1	21	125	
4999226	774	492	492	45	18	279	279	10	195	774	
4999613	387	279	279	34	17	182	182	9	142	387	
4999963	37	26	26	4	2	15	15	1	13	37	
4999946	54	36	36	5	2	22	22	2	15	54	
4999469	531	306	306	31	6	152	152	2	89	531	
4999753	247	104	104	11	7	57	57	6	47	247	
4999985	15	14	14	4	2	9	9	1	12	15	
4999976	24	19	19	2	1	15	15	1	12	24	
4999911	89	68	68	7	2	39	39	1	35	89	
4999887	113	88	88	12	4	52	52	2	49	113	
4999726	274	166	166	18	6	102	102	2	72	274	
4999929	71	54	54	5	4	39	39	4	29	71	
4995584	4416	2619	2619	249	70	1418	1418	18	929	4416	
4998484	1516	825	825	67	24	424	424	7	245	1516	
4999977	23	18	18	3	2	13	13	2	6	23	
4999987	13	9	9	3	1	5	5	1	4	13	
4999834	166	119	119	18	5	78	78	2	60	166	
4999935	65	50	50	9	4	32	32	4	26	65	
4996671	3329	1863	1863	135	29	950	950	10	526	3329	
4999404	596	427	427	47	15	283	283	5	218	596	
4998311	1689	989	989	101	29	548	548	10	326	1689	
4963933	36067	23261	23261	2391	785	13601	13601	271	9278	36067	
4999793	207	99	99	10	8	37	37	3	26	207	
4999976	24	21	21	4	2	15	15	1	17	24	
4999960	40	28	28	4	2	19	19	1	14	40	
4999970	30	29	29	2	2	25	25	2	24	30	
4998776	1224	716	716	61	24	375	375	8	201	1224	
4999957	43	31	31	3	2	21	21	1	16	43	
4999913	87	45	45	10	2	20	20	1	18	87	
4999796	204	88	88	7	4	46	46	3	34	204	
4999758	242	188	188	26	8	118	118	4	95	242	
4999917	83	64	64	7	4	44	44	4	34	83	
4999982	18	14	14	1	1	8	8	1	6	18	
4999147	853	411	411	39	9	174	174	6	100	853	
4995279	4721	3094	3094	355	112	1775	1775	39	1287	4721	
4987657	12343	7419	7419	693	188	4103	4103	56	2648	12343	
4999762	238	170	170	28	7	101	101	4	83	238	
4966842	33158	21184	21184	2158	678	12348	12348	271	8375	33158	
4999318	682	521	521	60	26	361	361	13	288	682	
4988115	11885	7269	7269	703	208	4128	4128	71	2686	11885	
4988040	11960	7662	7662	742	241	4608	4608	102	3219	11960	
4999979	21	18	18	3	1	11	11	1	10	21	
4999976	24	21	21	3	2	17	17	1	16	24	
4999847	153	105	105	10	3	75	75	1	63	153	
4991923	8077	5273	5273	595	197	3056	3056	72	2121	8077	
4996242	3758	2210	2210	256	82	1229	1229	30	811	3758	
4997491	2509	1458	1458	142	39	781	781	16	521	2509	
4999963	37	31	31	6	5	25	25	4	24	37	
4999946	54	48	48	7	4	36	36	3	35	54	
4999848	152	104	104	13	4	59	59	2	47	152	
4999670	330	227	227	28	9	126	126	4	87	330	
4999828	172	88	88	10	6	47	47	2	40	172	
4989073	10927	6531	6531	613	167	3558	3558	54	2149	10927	
4999942	58	54	54	10	6	42	42	4	46	58	
4999909	91	78	78	10	6	59	59	2	61	91	
4996886	3114	1954	1954	194	68	1088	1088	26	749	3114	
4999852	148	109	109	9	4	75	75	1	55	148	
4999893	107	73	73	13	6	35	35	3	21	107	
4999900	100	72	72	10	4	45	45	1	35	100	
4999970	30	22	22	3	2	18	18	1	13	30	
4999259	741	427	427	42	13	231	231	4	146	741	
4991861	8139	5017	5017	508	153	2850	2850	61	1866	8139	
4999850	150	103	103	15	5	58	58	3	43	150	
4998878	1122	759	759	68	31	501	501	17	370	1122	
4997583	2417	1402	1402	131	37	705	705	9	413	2417	
4999747	253	184	184	28	8	117	117	4	102	253	
4999976	24	21	21	4	2	15	15	1	17	24	
4999851	149	95	95	10	4	60	60	4	52	149	
4999944	56	39	39	4	3	32	32	3	25	56	
4999979	21	18	18	3	3	14	14	2	11	21	
4999925	75	65	65	8	2	51	51	2	52	75	
4999973	27	23	23	4	3	14	14	2	14	27	
4999914	86	59	59	8	3	44	44	2	34	86	
4999962	38	32	32	4	3	27	27	2	24	38	
4999797	203	159	159	20	6	110	110	3	105	203	
4999743	257	180	180	21	7	105	105	4	81	257	
4971921	28079	18452	18452	1927	643	11127	11127	262	7866	28079	
4999685	315	238	238	31	11	150	150	6	130	315	
4999879	121	85	85	10	4	56	56	2	43	121	
4999851	149	114	114	16	6	77	77	3	57	149	
4999983	17	16	16	3	2	13	13	2	10	17	
4999971	29	22	22	6	5	16	16	2	15	29	
4990985	9015	5434	5434	537	140	2932	2932	40	1889	9015	
4999875	125	95	95	16	8	61	61	2	53	125	
4999977	23	20	20	3	2	11	11	1	9	23	
4999972	28	22	22	3	3	16	16	2	11	28	
4999926	74	61	61	8	2	43	43	2	39	74	
4974071	25929	16183	16183	1663	518	9167	9167	179	6003	25929	
4933463	66537	44484	44484	4803	1505	26633	26633	566	18803	66537	
4999940	60	54	54	6	2	43	43	1	39	60	
4990189	9811	5644	5644	554	159	2977	2977	53	1816	9811	
4999551	449	304	304	30	8	182	182	4	140	449	
4999814	186	118	118	11	3	67	67	3	39	186	
4999962	38	35	35	5	2	27	27	1	28	38	
4998579	1421	894	894	79	28	487	487	8	305	1421	
4999913	87	73	73	10	5	55	55	2	58	87	
4965927	34073	21977	21977	2234	690	12878	12878	267	8912	34073	
4999452	548	415	415	50	22	279	279	11	224	548	
4996302	3698	2194	2194	238	77	1143	1143	25	657	3698	
4999145	855	539	539	50	19	298	298	4	191	855	
4999390	610	376	376	40	10	198	198	4	142	610	
4999959	41	38	38	8	6	24	24	5	27	41	
4999573	427	319	319	36	9	207	207	3	172	427	
4999855	145	116	116	12	5	84	84	3	77	145	
4954866	45134	29815	29815	3094	1008	17777	17777	398	12302	45134	
4999907	93	79	79	3	2	61	61	2	49	93	
4999921	79	62	62	5	2	48	48	2	40	79	
4999977	23	20	20	4	2	12	12	1	15	23	
4999977	23	22	22	3	2	17	17	2	15	23	
4993427	6573	4096	4096	428	129	2284	2284	44	1510	6573	
4675125	324875	253083	253083	30273	11202	172888	172888	5206	141116	324875	
4999680	320	216	216	19	7	146	146	5	112	320	
4992168	7832	4436	4436	411	110	2297	2297	25	1348	7832	
4999870	130	99	99	11	5	65	65	3	52	130	
4999941	59	50	50	6	2	42	42	1	39	59	
4999985	15	14	14	4	2	10	10	1	13	15	
4999931	69	60	60	12	5	43	43	5	41	69	
4980680	19320	11793	11793	1199	366	6569	6569	118	4225	19320	
4998834	1166	676	676	65	23	360	360	8	233	1166	
4999128	872	607	607	60	26	402	402	14	296	872	
4999901	99	52	52	6	2	29	29	1	16	99	
4999617	383	260	260	26	10	167	167	9	119	383	
4999961	39	28	28	5	3	19	19	1	16	39	
4999841	159	106	106	13	3	54	54	1	45	159	
4986208	13792	8652	8652	894	294	5039	5039	111	3563	13792	
4999097	903	433	433	43	14	209	209	3	107	903	
4999969	31	24	24	3	2	15	15	2	11	31	
