S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999987	13	8	8	2	1	5	5	0	3	13	
4999987	13	9	9	0	0	6	6	0	3	13	
4999983	17	13	13	2	2	10	10	1	10	17	
4999992	8	4	4	0	0	2	2	0	1	8	
4999998	2	2	2	0	0	1	1	0	0	2	
4999993	7	7	7	1	1	3	3	0	3	7	
4999999	1	1	1	0	0	0	0	0	0	1	
4999999	1	1	1	0	0	0	0	0	0	1	
4999993	7	6	6	1	1	1	1	1	1	7	
4999998	2	1	1	1	1	0	0	0	0	2	
4999998	2	1	1	1	1	0	0	0	0	2	
4999996	4	4	4	1	1	3	3	0	3	4	
5000000	0	0	0	0	0	0	0	0	0	0	
4999999	1	1	1	0	0	0	0	0	0	1	
4999996	4	2	2	0	0	2	2	0	0	4	
4999996	4	4	4	3	0	1	1	0	1	4	
4999990	10	9	9	1	1	8	8	1	9	10	
4999995	5	3	3	1	1	2	2	0	1	5	
4999993	7	6	6	1	1	1	1	1	1	7	
4999977	23	23	23	4	2	19	19	2	20	23	
4999991	9	7	7	2	2	4	4	0	2	9	
4999996	4	3	3	0	0	2	2	0	1	4	
4999987	13	13	13	3	0	9	9	0	10	13	
4999999	1	1	1	0	0	0	0	0	0	1	
4999998	2	2	2	1	1	0	0	1	0	2	
4999996	4	3	3	1	1	2	2	1	0	4	
4999988	12	9	9	1	0	8	8	0	7	12	
4999984	16	12	12	1	1	10	10	0	9	16	
5000000	0	0	0	0	0	0	0	0	0	0	
4999993	7	7	7	1	1	4	4	1	5	7	
4999991	9	9	9	1	1	8	8	0	8	9	
4999998	2	2	2	1	1	0	0	1	1	2	
4999990	10	8	8	3	1	4	4	0	4	10	
4999989	11	8	8	3	2	4	4	2	5	11	
4999996	4	3	3	1	0	2	2	0	1	4	
4999995	5	3	3	0	0	2	2	0	1	5	
4999996	4	3	3	1	1	0	0	0	0	4	
4999991	9	9	9	1	0	8	8	0	6	9	
4999996	4	3	3	1	0	2	2	0	0	4	
4999993	7	6	6	1	1	4	4	1	2	7	
4999998	2	2	2	1	1	0	0	1	0	2	
5000000	0	0	0	0	0	0	0	0	0	0	
4999988	12	10	10	1	1	7	7	0	5	12	
4999996	4	3	3	1	1	2	2	1	0	4	
4999995	5	5	5	1	1	4	4	1	3	5	
4999987	13	10	10	2	2	8	8	0	6	13	
4999993	7	4	4	2	1	2	2	1	1	7	
4999986	14	12	12	1	1	11	11	1	11	14	
4999996	4	4	4	1	1	3	3	0	3	4	
4999996	4	3	3	1	1	2	2	0	1	4	
4999994	6	5	5	1	1	3	3	1	1	6	
4999971	29	27	27	3	2	24	24	2	23	29	
4999987	13	7	7	4	2	2	2	0	1	13	
4999980	20	14	14	2	1	9	9	1	5	20	
4999987	13	9	9	2	2	4	4	1	5	13	
4999999	1	1	1	1	1	0	0	0	0	1	
4999993	7	4	4	2	2	2	2	0	1	7	
4999998	2	1	1	1	1	0	0	0	0	2	
4999989	11	10	10	1	1	7	7	0	7	11	
4999991	9	8	8	1	1	5	5	1	3	9	
4999998	2	1	1	1	1	0	0	0	0	2	
4999987	13	11	11	5	3	6	6	2	7	13	
4999995	5	4	4	1	1	2	2	0	2	5	
4999998	2	1	1	1	0	0	0	0	0	2	
4999996	4	3	3	1	1	1	1	1	1	4	
4999995	5	5	5	2	1	2	2	1	3	5	
4999973	27	27	27	3	2	22	22	2	23	27	
4999943	57	55	55	11	5	43	43	5	52	57	
4999994	6	5	5	1	1	4	4	1	2	6	
4999977	23	22	22	3	2	17	17	2	18	23	
4999989	11	6	6	4	2	1	1	0	1	11	
4999994	6	6	6	1	1	4	4	0	4	6	
4999992	8	7	7	3	2	4	4	1	5	8	
4999947	53	39	39	6	2	25	25	2	20	53	
5000000	0	0	0	0	0	0	0	0	0	0	
4999999	1	1	1	0	0	0	0	0	0	1	
4999972	28	27	27	3	2	24	24	2	23	28	
4999999	1	1	1	0	0	0	0	0	0	1	
4999980	20	14	14	2	2	9	9	2	9	20	
4999994	6	6	6	1	0	4	4	0	5	6	
4999993	7	6	6	3	1	1	1	0	2	7	
4999992	8	7	7	1	1	3	3	1	2	8	
4999980	20	15	15	2	0	6	6	0	4	20	
4999986	14	14	14	3	1	10	10	0	11	14	
4999972	28	5	5	1	0	1	1	0	0	28	
4999985	15	10	10	1	1	7	7	1	3	15	
4999932	68	44	44	3	1	25	25	1	12	68	
4999999	1	1	1	0	0	0	0	0	0	1	
4999994	6	4	4	1	1	2	2	1	2	6	
4999996	4	3	3	0	0	1	1	0	1	4	
4999973	27	21	21	3	1	13	13	1	11	27	
4999992	8	6	6	1	0	4	4	0	4	8	
4999990	10	9	9	1	1	6	6	1	6	10	
4999993	7	7	7	1	1	4	4	0	4	7	
4999992	8	6	6	0	0	3	3	0	2	8	
4999993	7	7	7	0	0	5	5	0	5	7	
