S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999962	38	36	36	7	4	27	27	3	31	38	
4999958	42	36	36	7	5	25	25	4	28	42	
4999844	156	95	95	11	5	61	61	2	40	156	
4999860	140	106	106	16	7	68	68	3	57	140	
4999979	21	13	13	2	2	8	8	1	7	21	
4999982	18	16	16	3	3	13	13	2	11	18	
4999960	40	24	24	4	2	17	17	1	15	40	
4999977	23	20	20	3	2	15	15	2	15	23	
4999983	17	14	14	1	1	13	13	1	11	17	
4999932	68	57	57	5	2	39	39	1	24	68	
4999970	30	22	22	4	2	14	14	1	14	30	
4999970	30	23	23	5	2	12	12	2	11	30	
4999965	35	18	18	2	2	10	10	1	8	35	
4999957	43	26	26	4	1	16	16	1	15	43	
4999973	27	20	20	3	3	14	14	2	10	27	
4999856	144	67	67	6	3	39	39	3	30	144	
4999958	42	32	32	3	1	20	20	1	17	42	
4999893	107	71	71	8	4	40	40	2	26	107	
4999982	18	15	15	1	1	13	13	1	12	18	
4999561	439	227	227	23	4	112	112	2	66	439	
4999668	332	204	204	23	8	121	121	5	82	332	
4999975	25	21	21	3	2	16	16	2	15	25	
4999556	444	292	292	30	12	188	188	3	131	444	
4999928	72	31	31	2	2	14	14	1	8	72	
4999931	69	50	50	5	3	32	32	1	28	69	
4999310	690	380	380	36	12	184	184	5	106	690	
4999875	125	95	95	14	6	67	67	5	60	125	
4999963	37	33	33	5	2	25	25	1	24	37	
4999455	545	370	370	46	10	215	215	3	161	545	
4999807	193	100	100	11	3	50	50	2	34	193	
4999946	54	39	39	4	1	27	27	1	22	54	
4999877	123	70	70	9	3	41	41	1	28	123	
4999845	155	113	113	14	6	61	61	2	37	155	
4999423	577	424	424	55	25	275	275	10	216	577	
4999893	107	86	86	8	4	60	60	4	45	107	
4999972	28	24	24	3	2	20	20	2	19	28	
4999969	31	29	29	3	2	23	23	1	22	31	
4999888	112	88	88	14	6	65	65	5	51	112	
4997212	2788	1709	1709	156	37	892	892	6	532	2788	
4996802	3198	1845	1845	181	49	1006	1006	17	578	3198	
4999931	69	50	50	5	3	32	32	1	28	69	
4999988	12	10	10	1	1	7	7	1	4	12	
4999814	186	75	75	4	1	39	39	1	26	186	
4999310	690	380	380	36	12	184	184	5	106	690	
4999899	101	71	71	12	2	45	45	1	35	101	
4999908	92	65	65	11	6	39	39	4	35	92	
4999946	54	43	43	8	4	31	31	3	33	54	
4999929	71	56	56	4	3	40	40	2	35	71	
4999962	38	27	27	5	2	14	14	2	12	38	
4999964	36	35	35	4	2	29	29	1	29	36	
4999986	14	13	13	4	2	9	9	1	11	14	
4998911	1089	713	713	82	24	428	428	6	306	1089	
4999580	420	224	224	20	8	111	111	4	78	420	
4999647	353	182	182	17	5	102	102	1	69	353	
4998420	1580	990	990	99	34	580	580	11	370	1580	
