S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
9999981	19	17	17	4	3	10	10	1	10	19	
9999976	24	17	17	4	4	10	10	2	9	24	
9999972	28	23	23	2	2	20	20	1	18	28	
9999972	28	24	24	3	2	19	19	0	16	28	
9999991	9	6	6	2	2	4	4	1	2	9	
9999991	9	8	8	1	1	5	5	0	4	9	
9999997	3	3	3	1	1	1	1	1	0	3	
9999995	5	5	5	3	3	1	1	1	0	5	
9999992	8	7	7	1	1	5	5	1	3	8	
9999988	12	11	11	2	2	9	9	1	8	12	
9999998	2	1	1	1	1	0	0	1	0	2	
9999991	9	7	7	2	2	4	4	1	4	9	
9999992	8	5	5	1	1	3	3	0	3	8	
9999996	4	3	3	2	2	0	0	2	0	4	
9999988	12	9	9	3	1	5	5	1	4	12	
9999946	54	45	45	9	6	29	29	2	26	54	
9999988	12	12	12	2	2	10	10	1	10	12	
9999973	27	23	23	4	3	18	18	3	18	27	
9999992	8	7	7	1	1	5	5	1	3	8	
9999972	28	26	26	6	4	20	20	2	20	28	
9999975	25	21	21	5	4	14	14	3	13	25	
9999978	22	18	18	3	2	13	13	1	13	22	
9999982	18	17	17	4	1	11	11	1	12	18	
9999992	8	7	7	2	2	5	5	1	2	8	
9999996	4	3	3	2	1	0	0	1	0	4	
9999979	21	18	18	2	1	15	15	1	11	21	
9999986	14	14	14	2	2	10	10	1	9	14	
9999967	33	30	30	2	1	24	24	1	21	33	
9999987	13	7	7	2	1	4	4	0	3	13	
9999985	15	12	12	2	2	9	9	2	8	15	
9999980	20	16	16	4	3	11	11	2	12	20	
9999994	6	5	5	2	2	3	3	1	1	6	
9999985	15	12	12	4	2	7	7	1	8	15	
9999989	11	10	10	3	2	7	7	2	9	11	
9999984	16	13	13	3	1	8	8	1	5	16	
9999988	12	8	8	2	2	6	6	1	6	12	
9999994	6	5	5	2	2	2	2	1	2	6	
9999982	18	15	15	1	1	10	10	1	10	18	
9999913	87	57	57	7	3	38	38	3	26	87	
9999985	15	13	13	4	2	8	8	1	9	15	
9999995	5	3	3	2	2	0	0	2	0	5	
9999993	7	5	5	2	1	2	2	1	3	7	
9999972	28	26	26	3	2	20	20	1	19	28	
9999982	18	15	15	2	2	11	11	1	7	18	
9999985	15	14	14	2	2	12	12	2	12	15	
9999972	28	25	25	4	4	18	18	1	19	28	
9999983	17	13	13	4	4	9	9	2	6	17	
9999985	15	14	14	2	1	12	12	1	12	15	
9999991	9	9	9	2	2	6	6	0	6	9	
9999971	29	23	23	3	3	16	16	2	14	29	
9999990	10	9	9	1	1	6	6	1	4	10	
9999967	33	30	30	4	2	25	25	2	26	33	
9999981	19	18	18	6	4	11	11	2	8	19	
9999965	35	29	29	4	2	19	19	2	16	35	
9999981	19	16	16	4	3	11	11	2	10	19	
9999968	32	25	25	2	2	20	20	0	17	32	
9999985	15	10	10	3	2	5	5	1	4	15	
9999991	9	4	4	2	1	2	2	0	3	9	
9999981	19	19	19	2	2	14	14	1	9	19	
9999969	31	23	23	3	3	10	10	2	9	31	
9999995	5	3	3	3	2	0	0	0	0	5	
9999973	27	23	23	6	5	13	13	2	11	27	
9999989	11	8	8	2	2	5	5	2	4	11	
9999943	57	54	54	11	5	38	38	5	47	57	
9999970	30	25	25	2	1	20	20	1	18	30	
9999974	26	16	16	4	3	8	8	2	9	26	
9999960	40	36	36	4	3	32	32	3	33	40	
9999914	86	82	82	14	6	68	68	6	75	86	
9999991	9	8	8	2	2	4	4	1	3	9	
9999968	32	30	30	4	3	23	23	3	25	32	
9999976	24	21	21	6	4	10	10	3	9	24	
9999990	10	8	8	1	1	4	4	1	4	10	
9999988	12	11	11	4	3	5	5	1	5	12	
9999795	205	89	89	13	5	47	47	2	37	205	
9999988	12	8	8	1	0	5	5	0	2	12	
9999989	11	7	7	2	1	1	1	1	0	11	
9999968	32	29	29	4	3	24	24	2	24	32	
9999993	7	5	5	2	2	0	0	1	0	7	
9999966	34	28	28	5	4	17	17	3	14	34	
9999961	39	36	36	8	2	26	26	1	30	39	
9999988	12	10	10	3	1	3	3	0	3	12	
9999974	26	21	21	1	1	13	13	1	8	26	
9999952	48	33	33	6	3	14	14	0	15	48	
9999976	24	19	19	4	2	12	12	1	14	24	
9999708	292	159	159	11	2	87	87	1	52	292	
9999919	81	48	48	3	2	29	29	1	20	81	
9999881	119	87	87	7	2	61	61	1	42	119	
9999988	12	5	5	3	1	1	1	1	1	12	
9999984	16	10	10	3	1	6	6	1	3	16	
9999993	7	6	6	1	1	3	3	0	2	7	
9999911	89	67	67	9	4	46	46	3	42	89	
9999983	17	10	10	2	1	7	7	1	5	17	
9999971	29	23	23	1	1	18	18	1	14	29	
9999987	13	9	9	2	2	7	7	0	6	13	
9999977	23	16	16	3	1	10	10	1	8	23	
9999988	12	10	10	3	3	6	6	2	6	12	
9999971	29	24	24	4	4	19	19	3	17	29	
9999988	12	9	9	1	1	3	3	0	2	12	
9999940	60	53	53	9	2	35	35	2	38	60	
9999462	538	302	302	38	11	179	179	5	130	538	
9999989	11	10	10	3	2	4	4	0	4	11	
9999984	16	14	14	2	2	12	12	2	10	16	
9999988	12	10	10	1	1	5	5	1	3	12	
9999962	38	32	32	3	2	25	25	2	24	38	
9999990	10	10	10	3	2	7	7	0	7	10	
9999979	21	19	19	2	2	14	14	2	14	21	
9999992	8	6	6	2	1	3	3	1	2	8	
9999981	19	16	16	4	1	8	8	0	7	19	
9999989	11	10	10	4	2	5	5	1	5	11	
9999936	64	62	62	12	5	48	48	5	57	64	
9999958	42	39	39	8	4	28	28	4	32	42	
9999959	41	35	35	6	5	24	24	3	26	41	
9999981	19	15	15	2	2	10	10	0	9	19	
9999978	22	19	19	3	2	15	15	1	16	22	
9999985	15	14	14	3	1	10	10	1	11	15	
9999988	12	10	10	2	2	8	8	1	8	12	
9999997	3	3	3	1	1	2	2	0	0	3	
9999987	13	13	13	3	2	7	7	1	5	13	
9999989	11	10	10	2	2	7	7	1	5	11	
9999993	7	7	7	2	1	4	4	0	4	7	
9999979	21	16	16	4	2	7	7	1	5	21	
9999990	10	8	8	2	2	4	4	1	2	10	
9999984	16	13	13	4	3	9	9	1	10	16	
9999970	30	27	27	7	1	19	19	1	23	30	
9999972	28	25	25	7	2	15	15	1	18	28	
9999981	19	16	16	4	2	11	11	2	14	19	
9999971	29	21	21	3	1	11	11	1	10	29	
9999987	13	9	9	2	2	4	4	1	3	13	
9999967	33	26	26	4	2	18	18	0	15	33	
9999985	15	13	13	3	1	9	9	1	10	15	
9999993	7	7	7	2	2	4	4	0	3	7	
9999919	81	78	78	13	7	61	61	7	68	81	
9999952	48	44	44	7	4	35	35	3	34	48	
9999991	9	8	8	2	1	5	5	0	5	9	
9999993	7	5	5	2	2	3	3	2	3	7	
9999966	34	31	31	3	2	27	27	1	22	34	
9999941	59	23	23	5	2	10	10	2	11	59	
9999952	48	40	40	5	3	33	33	2	31	48	
9999971	29	22	22	4	2	14	14	1	13	29	
9999827	173	54	54	5	3	15	15	1	11	173	
9999734	266	155	155	28	6	84	84	0	50	266	
9999986	14	13	13	2	2	9	9	1	7	14	
9999938	62	38	38	3	1	20	20	1	12	62	
9999989	11	7	7	3	2	2	2	1	3	11	
9999980	20	19	19	2	2	14	14	2	14	20	
9999982	18	16	16	4	1	9	9	1	10	18	
9999993	7	5	5	2	0	2	2	0	2	7	
9999995	5	5	5	2	1	3	3	1	2	5	
9999987	13	12	12	2	1	9	9	1	9	13	
9999961	39	33	33	8	3	21	21	2	21	39	
9999946	54	48	48	6	2	36	36	2	35	54	
9999976	24	20	20	5	3	14	14	3	15	24	
9999991	9	8	8	2	2	6	6	1	7	9	
9999992	8	7	7	1	1	4	4	1	3	8	
