S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
9999934	66	54	54	10	5	39	39	4	44	66	
9999938	62	54	54	12	9	36	36	7	41	62	
9999788	212	137	137	20	9	85	85	4	60	212	
9999830	170	128	128	17	8	86	86	4	72	170	
9999964	36	26	26	5	4	17	17	2	16	36	
9999977	23	19	19	4	4	15	15	3	13	23	
9999941	59	41	41	7	4	27	27	2	25	59	
9999956	44	33	33	6	4	23	23	3	22	44	
9999929	71	50	50	4	2	35	35	2	22	71	
9999917	83	70	70	7	3	48	48	2	34	83	
9999944	56	44	44	5	3	33	33	2	26	56	
9999946	54	45	45	11	6	24	24	5	25	54	
9999929	71	43	43	5	3	28	28	2	23	71	
9999893	107	58	58	7	2	31	31	2	20	107	
9999927	73	54	54	10	5	30	30	3	19	73	
9999762	238	139	139	16	8	92	92	7	82	238	
9999945	55	42	42	4	2	27	27	2	23	55	
9999849	151	107	107	12	7	67	67	5	54	151	
9999928	72	51	51	4	2	35	35	2	23	72	
9999519	481	263	263	30	6	136	136	4	92	481	
9999482	518	322	322	39	14	181	181	7	124	518	
9999948	52	46	46	5	4	38	38	4	38	52	
9999492	508	335	335	36	17	212	212	6	150	508	
9999912	88	44	44	5	4	23	23	2	17	88	
9999912	88	64	64	7	4	44	44	2	35	88	
9999270	730	415	415	37	13	212	212	6	129	730	
9999854	146	111	111	17	7	77	77	6	67	146	
9999923	77	68	68	6	3	53	53	2	47	77	
9999440	560	381	381	48	11	223	223	4	169	560	
9999797	203	110	110	13	5	58	58	3	41	203	
9999890	110	76	76	11	7	51	51	4	44	110	
9999854	146	90	90	11	4	57	57	2	40	146	
9999819	181	134	134	15	7	75	75	3	46	181	
9999380	620	454	454	58	26	292	292	11	226	620	
9999239	761	417	417	27	7	211	211	6	121	761	
9999958	42	36	36	4	3	28	28	3	26	42	
9999923	77	47	47	4	3	31	31	2	27	77	
9999812	188	143	143	23	8	103	103	7	85	188	
9997171	2829	1738	1738	161	39	913	913	8	556	2829	
9996762	3238	1867	1867	185	52	1021	1021	19	594	3238	
9999867	133	82	82	8	4	47	47	2	33	133	
9999973	27	21	21	2	2	14	14	2	12	27	
9999785	215	104	104	6	3	65	65	3	51	215	
9999283	717	403	403	39	13	202	202	6	124	717	
9999882	118	88	88	13	3	60	60	2	48	118	
9999881	119	90	90	13	8	61	61	6	58	119	
9999891	109	76	76	11	6	49	49	5	46	109	
9999916	84	68	68	6	4	46	46	3	37	84	
9999953	47	34	34	7	4	18	18	3	16	47	
9999938	62	60	60	6	4	51	51	3	51	62	
9999969	31	26	26	7	3	17	17	2	17	31	
9998743	1257	774	774	86	26	463	463	7	335	1257	
9999541	459	259	259	27	10	133	133	6	102	459	
9999595	405	221	221	24	7	122	122	2	84	405	
9998411	1589	997	997	100	35	585	585	12	375	1589	
9999940	60	49	49	4	3	41	41	2	39	60	
9998621	1379	756	756	73	18	389	389	8	273	1379	
9999755	245	109	109	9	6	44	44	2	20	245	
9996913	3087	1819	1819	204	69	1012	1012	27	673	3087	
9997491	2509	1509	1509	150	50	859	859	15	537	2509	
9999918	82	48	48	10	4	25	25	3	27	82	
9997689	2311	1259	1259	94	29	633	633	12	322	2311	
9999956	44	37	37	7	5	26	26	5	22	44	
9999912	88	75	75	13	6	57	57	6	66	88	
9999793	207	143	143	16	11	88	88	6	77	207	
9999741	259	160	160	17	8	101	101	6	86	259	
9999455	545	358	358	40	10	211	211	4	154	545	
9999545	455	228	228	28	10	144	144	7	128	455	
9999958	42	32	32	3	3	22	22	3	15	42	
9999890	110	76	76	7	4	54	54	4	48	110	
9999599	401	195	195	19	7	114	114	4	90	401	
9994785	5215	3261	3261	339	104	1885	1885	34	1281	5215	
9996736	3264	1849	1849	159	30	914	914	9	523	3264	
9980719	19281	12133	12133	1227	397	7038	7038	165	4805	19281	
9999606	394	244	244	34	11	133	133	3	99	394	
9995389	4611	2791	2791	286	93	1521	1521	30	913	4611	
9999202	798	498	498	57	14	307	307	5	207	798	
9999373	627	271	271	20	9	129	129	4	75	627	
9999925	75	66	66	10	6	52	52	6	53	75	
9999899	101	90	90	14	3	71	71	3	76	101	
9999898	102	88	88	12	5	61	61	4	57	102	
9999644	356	237	237	25	7	154	154	4	114	356	
9998856	1144	646	646	76	25	362	362	16	293	1144	
9998820	1180	800	800	107	30	506	506	16	393	1180	
9977957	22043	13980	13980	1463	456	8088	8088	165	5567	22043	
9980067	19933	12625	12625	1325	412	7208	7208	139	4824	19933	
9990173	9827	6131	6131	626	195	3534	3534	64	2403	9827	
9999752	248	162	162	23	8	94	94	5	70	248	
9999951	49	42	42	9	4	27	27	4	28	49	
9999949	51	42	42	4	4	28	28	3	25	51	
9954339	45661	29836	29836	3183	1019	17480	17480	371	12070	45661	
9997088	2912	1711	1711	164	44	905	905	19	578	2912	
9999875	125	95	95	7	3	64	64	2	60	125	
9999898	102	76	76	12	8	54	54	5	46	102	
9992884	7116	4195	4195	407	132	2288	2288	47	1473	7116	
9999936	64	49	49	7	5	36	36	5	33	64	
9999921	79	68	68	6	5	56	56	4	56	79	
9997257	2743	1592	1592	172	53	869	869	17	588	2743	
9973364	26636	16962	16962	1751	534	9719	9719	184	6415	26636	
9936512	63488	42631	42630	4659	1528	25616	25616	591	18497	63488	
9999846	154	110	110	20	5	64	64	3	53	154	
9999651	349	183	183	20	7	80	80	5	41	349	
9999596	404	255	255	36	18	144	144	9	104	404	
9998593	1407	840	840	71	26	458	458	10	270	1407	
9999946	54	41	41	6	4	25	25	4	18	54	
9998829	1171	741	741	69	23	398	398	6	248	1171	
9999933	67	55	55	12	4	32	32	2	27	67	
9999740	260	196	196	22	10	136	136	8	107	260	
9997483	2517	1514	1514	133	33	838	838	16	511	2517	
9997651	2349	1291	1291	122	41	659	659	18	388	2349	
9999794	206	159	159	24	8	112	112	7	101	206	
9996863	3137	1778	1778	166	50	934	934	18	579	3137	
9999805	195	158	158	24	13	112	112	5	101	195	
9999924	76	66	66	8	3	52	52	2	47	76	
9998305	1695	1011	1011	101	28	541	541	8	332	1695	
9999841	159	122	122	11	4	76	76	2	45	159	
9999893	107	60	60	11	7	29	29	4	21	107	
9999958	42	39	39	9	7	25	25	6	25	42	
9998998	1002	564	564	52	17	286	286	8	164	1002	
9999946	54	43	43	7	3	28	28	2	26	54	
9991336	8664	5389	5389	538	172	3027	3027	61	1952	8664	
9999933	67	56	56	8	4	41	41	2	38	67	
9999835	165	110	110	11	5	67	67	4	47	165	
9997124	2876	1674	1674	164	49	879	879	22	531	2876	
9999858	142	99	99	16	5	61	61	4	61	142	
9999949	51	42	42	8	4	27	27	2	23	51	
9999577	423	280	280	23	9	173	173	5	132	423	
9999783	217	148	148	13	5	89	89	3	69	217	
9999528	472	277	277	24	13	185	185	6	152	472	
9999569	431	283	283	25	5	180	180	4	124	431	
9999972	28	24	24	4	2	16	16	2	17	28	
9999849	151	134	134	16	9	107	107	8	111	151	
9998403	1597	893	893	87	30	490	490	14	305	1597	
9999786	214	143	143	14	6	90	90	5	61	214	
9999924	76	57	57	8	3	35	35	2	27	76	
9998318	1682	918	918	84	18	452	452	8	262	1682	
9984043	15957	9881	9881	1016	333	5600	5600	126	3718	15957	
9998539	1461	822	822	79	21	439	439	10	323	1461	
9999317	683	430	430	44	13	248	248	4	171	683	
9958240	41760	27129	27129	2865	905	15906	15906	289	10743	41760	
9966165	33835	21312	21312	2211	688	12143	12143	233	8202	33835	
9999813	187	128	128	15	5	79	79	4	65	187	
9991211	8789	5265	5265	514	171	2932	2932	68	1911	8789	
9999926	74	48	48	8	6	25	25	4	14	74	
9999204	796	411	411	37	10	206	206	5	116	796	
9999709	291	183	183	16	8	93	93	3	57	291	
9999513	487	319	319	29	9	194	194	6	143	487	
9999799	201	125	125	20	9	77	77	4	61	201	
9996673	3327	2049	2049	209	57	1173	1173	14	758	3327	
9999830	170	149	149	25	11	116	116	5	111	170	
9999639	361	247	247	32	15	155	155	7	133	361	
9998825	1175	707	707	59	20	392	392	10	241	1175	
9998063	1937	1151	1151	116	33	569	569	13	332	1937	
9999905	95	66	66	7	5	46	46	4	36	95	
9999962	38	27	27	4	2	16	16	2	14	38	
9999840	160	131	131	13	6	93	93	5	87	160	
9999751	249	173	173	25	13	108	108	8	92	249	
9999960	40	33	33	5	3	23	23	3	22	40	
9999900	100	55	55	7	3	38	38	3	30	100	
9997014	2986	1841	1841	185	57	992	992	15	669	2986	
9999921	79	58	58	7	3	39	39	3	29	79	
9999684	316	196	196	18	7	131	131	5	98	316	
9996842	3158	1820	1820	173	56	957	957	25	580	3158	
9999347	653	457	457	44	19	281	281	8	200	653	
9999880	120	83	83	10	6	53	53	3	37	120	
9995875	4125	2240	2240	213	61	1110	1110	13	649	4125	
9999628	372	189	189	15	5	93	93	2	47	372	
9994779	5221	3433	3433	342	111	2080	2080	54	1452	5221	
9999789	211	172	172	27	12	122	122	8	126	211	
9999790	210	136	136	16	7	78	78	4	46	210	
9999934	66	51	51	8	4	34	34	4	31	66	
9999776	224	150	150	15	4	82	82	3	65	224	
9999388	612	350	350	36	17	207	207	7	142	612	
9999756	244	178	178	24	11	113	113	8	110	244	
9999893	107	74	74	14	6	46	46	5	35	107	
9999854	146	117	117	17	7	73	73	6	73	146	
9999689	311	205	205	27	8	123	123	4	93	311	
9999834	166	140	140	21	7	101	101	4	92	166	
9997625	2375	1215	1215	98	24	607	607	8	334	2375	
9999720	280	153	153	17	6	87	87	3	65	280	
9998285	1715	978	978	82	34	529	529	12	300	1715	
9999953	47	41	41	8	5	24	24	4	20	47	
9999905	95	73	73	9	3	36	36	3	29	95	
9999934	66	55	55	7	4	41	41	2	38	66	
9999929	71	59	59	9	5	40	40	4	41	71	
9998973	1027	602	602	62	18	320	320	10	205	1027	
9999891	109	74	74	9	5	42	42	2	28	109	
9996299	3701	2203	2203	201	55	1211	1211	18	783	3701	
9999158	842	432	432	40	10	211	211	5	120	842	
9999589	411	213	213	17	4	106	106	3	68	411	
9999774	226	178	178	27	7	124	124	5	114	226	
9998487	1513	935	935	81	25	506	506	10	316	1513	
9999913	87	66	66	6	5	48	48	5	36	87	
9998058	1942	1210	1210	124	41	697	697	13	474	1942	
9992711	7289	4315	4315	407	117	2344	2344	37	1492	7289	
9953293	46707	29995	29995	3084	993	17332	17332	346	11668	46707	
9999787	213	151	151	18	7	98	98	5	74	213	
9999850	150	119	119	18	9	71	71	5	66	150	
9999875	125	105	105	16	6	79	79	4	69	125	
9999712	288	190	190	17	7	108	108	4	80	288	
9998193	1807	1028	1028	97	32	593	593	12	393	1807	
9999742	258	200	200	29	10	125	125	6	103	258	
9999428	572	349	349	42	21	213	213	10	139	572	
9999462	538	305	305	28	7	162	162	3	101	538	
9999867	133	101	101	15	6	65	65	6	50	133	
9999847	153	87	87	13	4	56	56	3	46	153	
9999961	39	33	33	9	7	22	22	3	21	39	
9999735	265	167	167	22	8	88	88	5	61	265	
9999056	944	592	592	67	24	327	327	11	200	944	
9999604	396	212	212	18	4	115	115	4	77	396	
9999931	69	43	43	5	3	21	21	2	15	69	
9999835	165	114	114	17	7	62	62	5	48	165	
9998177	1823	923	923	78	17	390	390	4	180	1823	
9999578	422	224	224	18	7	116	116	3	60	422	
9999887	113	86	86	19	7	58	58	4	53	113	
9999424	576	282	282	23	6	142	142	4	78	576	
9999198	802	570	570	59	27	379	379	13	281	802	
9999821	179	126	126	13	5	82	82	3	53	179	
9999952	48	38	38	8	3	24	24	3	23	48	
9999738	262	161	161	20	8	88	88	4	63	262	
9999755	245	138	138	12	6	70	70	4	47	245	
9999887	113	81	81	8	5	58	58	4	50	113	
9999187	813	456	456	43	17	231	231	6	143	813	
