BEASTGeneration	BEASTtmrca	FavitesSim	TimeToCoal	TimeToCase	DateOfIndexCase	TimeToHosp	IndexAtCoalescent
25000	2019.9581655899353	0157	0.100354	0.034878	2019.8578115899354	0.07597	0
50000	2019.9505855545633	1021	0.040374	0.007118	2019.9102115545634	0.041763	0
75000	2019.9558924869034	0457	0.12240600000000001	0.008327	2019.8334864869034	0.04709	0
100000	2019.9559234095213	0401	0.062245	0.019991	2019.8936784095213	0.04391	0
125000	2019.9479971623	0133	0.044593	0.001615	2019.9034041623	0.021847	0
150000	2019.949626150256	0973	0.101144	0.076039	2019.8484821502561	0.087299	0
175000	2019.9420485594455	0645	0.049192	0.032441	2019.8928565594456	0.042442	0
200000	2019.9516568387194	0825	0.030436	0.009084	2019.9212208387194	0.032664	0
225000	2019.951758769402	1018	0.049356000000000004	0.042313	2019.902402769402	0.048134	0
250000	2019.9522075196096	0360	0.04958099999999999	0.039434	2019.9026265196096	0.053497	0
275000	2019.9508230714227	1021	0.040374	0.007118	2019.9104490714228	0.041763	0
300000	2019.9539130042588	0215	0.07749299999999999	0.002071	2019.8764200042588	0.04676	0
325000	2019.9592441187197	0157	0.100354	0.034878	2019.8588901187197	0.07597	0
350000	2019.9588229088263	0070	0.13422499999999998	0.029553	2019.8245979088263	0.039192	0
375000	2019.9584828284449	0177	0.089028	0.065543	2019.8694548284448	0.070963	0
400000	2019.9581749949564	0703	0.056444	0.011781	2019.9017309949563	0.020979	0
425000	2019.9520670552097	0978	0.12782500000000002	0.007092	2019.8242420552097	0.043454	0
450000	2019.9545016505244	0840	0.150618	0.045701	2019.8038836505245	0.107256	0
475000	2019.9579553822168	0783	0.106106	0.037585	2019.8518493822169	0.083589	0
500000	2019.9571630593293	0178	0.027133	0.013404	2019.9300300593293	0.025429	0
525000	2019.9562884998547	0703	0.056444	0.011781	2019.8998444998547	0.020979	0
550000	2019.9596423745038	0726	0.057485	0.014145	2019.9021573745038	0.016395	0
575000	2019.9597208014177	0145	0.060344999999999996	0.001492	2019.8993758014176	0.009188	0
600000	2019.9553073894697	0177	0.089028	0.065543	2019.8662793894696	0.070963	0
625000	2019.9591362217539	0599	0.07579	0.041682	2019.8833462217538	0.052906	0
650000	2019.9559128060077	0027	0.12172000000000001	0.048819	2019.8341928060076	0.068388	0
675000	2019.952425399545	0776	0.149558	0.028926	2019.802867399545	0.103529	0
700000	2019.9500905579384	1032	0.098573	0.078921	2019.8515175579385	0.094657	0
