BEASTGeneration	BEASTtmrca	FavitesSim	TimeToCoal	TimeToCase	DateOfIndexCase	TimeToHosp	IndexAtCoalescent
25000	2019.9394155064351	0846	0.031047	0.010286	2019.9083685064352	0.041861	0
50000	2019.9241699626039	1083	0.009109	0.002177	2019.9150609626038	0.024852	0
75000	2019.9370794168713	0981	0.117336	0.01779	2019.8197434168712	0.044361	0
100000	2019.932712980043	1064	0.052406	0.048672	2019.880306980043	0.075548	0
125000	2019.922786055135	0709	0.022086	0.036366	2019.900700055135	0.046691	0
150000	2019.8907019417647	0400	4.8e-05	0.004742	2019.8906539417646	0.061836	0
175000	2019.8252075728014	0823	0.0	0.003644	2019.8252075728014	0.008986	1
200000	2019.93240928254	0911	0.111763	0.030347	2019.8206462825399	0.112436	0
225000	2019.938786414975	0990	0.001712	0.002306	2019.937074414975	0.011583	0
250000	2019.9276082317383	0965	0.09370899999999999	0.046111	2019.8338992317383	0.08204	0
275000	2019.939629205287	0457	0.12240600000000001	0.008327	2019.817223205287	0.04709	0
300000	2019.947021903003	0776	0.149558	0.028926	2019.7974639030028	0.103529	0
325000	2019.942997973329	0751	0.027199	0.000537	2019.915798973329	0.014868	0
350000	2019.9449146220122	0140	0.029017	0.003865	2019.9158976220122	0.02831	0
375000	2019.9544218193703	0394	0.026501	0.001878	2019.9279208193702	0.022856	0
400000	2019.9206215232164	0488	0.022312000000000002	0.03341	2019.8983095232163	0.052421	0
425000	2019.9015513712002	0090	0.06691	0.064919	2019.8346413712002	0.088992	0
450000	2019.924268831858	0428	0.023834	0.015205	2019.9004348318579	0.036965	0
475000	2019.9396978918264	0084	0.026704	0.011995	2019.9129938918263	0.016149	0
500000	2019.9243508449124	0488	0.022312000000000002	0.03341	2019.9020388449123	0.052421	0
525000	2019.9336957242865	0065	0.02664	0.007541	2019.9070557242865	0.026558	0
550000	2019.9344977078565	0474	0.11756399999999999	0.055703	2019.8169337078566	0.078932	0
575000	2019.9328066823234	0148	5.8e-05	0.000788	2019.9327486823233	0.015713	0
