BEASTGeneration	BEASTtmrca	FavitesSim	TimeToCoal	TimeToCase	DateOfIndexCase	TimeToHosp	IndexAtCoalescent
25000	2019.9394155064351	0416	0.03743	0.002872	2019.901985506435	0.049523	0
50000	2019.9241699626039	0417	0.014352	0.01269	2019.909817962604	0.035162	0
75000	2019.9370794168713	0404	0.015418	0.009002	2019.9216614168713	0.058589	0
100000	2019.932712980043	1082	0.007945	0.023268	2019.924767980043	0.052353	0
125000	2019.922786055135	0064	0.0	0.001808	2019.922786055135	0.040082	1
150000	2019.8907019417647	0428	0.023834	0.015205	2019.8668679417647	0.036965	0
175000	2019.8252075728014	0341	0.018768	0.004156	2019.8064395728015	0.023062	0
200000	2019.93240928254	0157	0.100354	0.034878	2019.83205528254	0.07597	0
225000	2019.938786414975	0661	0.018368000000000002	0.006464	2019.920418414975	0.030588	0
250000	2019.9276082317383	0101	4.7e-05	0.031363	2019.9275612317383	0.050344	0
275000	2019.939629205287	0988	0.0030619999999999996	0.014257	2019.936567205287	0.031298	0
300000	2019.947021903003	0800	0.039691	0.058056	2019.907330903003	0.070515	0
325000	2019.942997973329	0905	0.012378	0.020534	2019.9306199733292	0.039798	0
350000	2019.9449146220122	0993	0.010504	0.020375	2019.9344106220121	0.026648	0
375000	2019.9544218193703	0730	0.009186	0.004915	2019.9452358193703	0.021938	0
400000	2019.9206215232164	0712	0.180172	0.011424	2019.7404495232163	0.060724	0
425000	2019.9015513712002	0997	0.011969	0.00895	2019.8895823712003	0.073341	0
450000	2019.924268831858	0314	0.041114	0.008979	2019.8831548318578	0.071939	0
475000	2019.9396978918264	0649	0.001157	0.007971	2019.9385408918265	0.039977	0
500000	2019.9243508449124	0637	0.085711	0.055373	2019.8386398449124	0.073113	0
525000	2019.9336957242865	0819	0.077308	0.021891	2019.8563877242866	0.043904	0
550000	2019.9344977078565	1056	1.6e-05	0.011139	2019.9344817078565	0.030911	0
575000	2019.9328066823234	0824	0.002509	0.0002	2019.9302976823235	0.006846	0
600000	2019.9352683528255	0709	0.022086	0.036366	2019.9131823528255	0.046691	0
625000	2019.9240164221387	0026	0.038571999999999995	0.050986	2019.8854444221388	0.091058	0
650000	2019.9163991871878	0316	0.001083	0.031997	2019.9153161871877	0.061313	0
675000	2019.9009894299893	0212	0.032971	0.054283	2019.8680184299892	0.073927	0
700000	2019.9142097931644	0098	0.000521	0.003942	2019.9136887931645	0.00813	0
725000	2019.8559704989357	0636	0.018256	0.050997	2019.8377144989356	0.094655	0
750000	2019.9053191481385	0055	0.031798	0.056012	2019.8735211481385	0.07509	0
775000	2019.880974607067	0528	0.011956	0.010102	2019.869018607067	0.043708	0
800000	2019.8920750387683	0103	0.011564	0.010719	2019.8805110387684	0.047986	0
825000	2019.9315118403345	0998	0.085673	0.006198	2019.8458388403344	0.102516	0
850000	2019.901169975322	0889	0.0037819999999999998	0.002056	2019.897387975322	0.01556	0
875000	2019.9298258351896	0786	3e-05	0.008518	2019.9297958351897	0.031782	0
900000	2019.9012623757408	0467	0.022634	0.044716	2019.8786283757408	0.063239	0
925000	2019.934184157662	0955	0.0063419999999999995	0.03237	2019.927842157662	0.051229	0
950000	2019.9091025246253	1090	0.056930999999999995	0.023496	2019.8521715246252	0.047686	0
975000	2019.9390555661614	1006	4.8e-05	0.027571	2019.9390075661613	0.030996	0
1000000	2019.928666078337	0415	0.06625099999999999	0.004326	2019.862415078337	0.023756	0
1025000	2019.9490244046622	0853	0.001263	0.023728	2019.947761404662	0.030922	0
1050000	2019.9510819468173	1077	0.094057	0.017236	2019.8570249468173	0.045744	0
1075000	2019.9438583440992	0389	0.017322	0.023348	2019.9265363440993	0.034433	0
1100000	2019.9558224873185	0783	0.106106	0.037585	2019.8497164873186	0.083589	0
1125000	2019.919799989931	0917	0.023821	0.043627	2019.895978989931	0.049338	0
1150000	2019.9502718992144	0027	0.12172000000000001	0.048819	2019.8285518992143	0.068388	0
1175000	2019.9378842551255	1007	0.061113	0.020695	2019.8767712551255	0.034724	0
1200000	2019.958721488083	0574	0.000181	0.001941	2019.958540488083	0.00526	0
1225000	2019.9522939735152	0925	7.999999999999999e-05	0.000753	2019.9522139735152	0.012465	0
1250000	2019.8578237860331	0338	0.042244000000000004	0.009992	2019.8155797860331	0.050102	0
1275000	2019.9355062043694	0256	0.023666	0.024158	2019.9118402043694	0.042638	0
1300000	2019.9407170490645	0972	0.07310299999999999	9.6e-05	2019.8676140490645	0.034499	0
1325000	2019.9577053455469	1033	0.009425999999999999	0.01174	2019.9482793455468	0.014271	0
1350000	2019.9302277517547	0905	0.012378	0.020534	2019.9178497517548	0.039798	0
1375000	2019.933655933915	0094	0.035071	0.025083	2019.898584933915	0.034453	0
1400000	2019.958637206711	0728	0.05255	0.031985	2019.906087206711	0.070272	0
1425000	2019.9565698795648	0121	0.00024	0.003118	2019.9563298795647	0.020401	0
1450000	2019.933388629229	0988	0.0030619999999999996	0.014257	2019.930326629229	0.031298	0
1475000	2019.9026374429661	0920	0.001627	0.005521	2019.901010442966	0.070831	0
1500000	2019.9404067905632	0219	0.057735	0.067757	2019.882671790563	0.081128	0
1525000	2019.9495636582526	0973	0.101144	0.076039	2019.8484196582526	0.087299	0
1550000	2019.952214295661	0088	0.027275	0.044663	2019.924939295661	0.046455	0
1575000	2019.9505893741782	0350	0.011607	0.018125	2019.9389823741783	0.032287	0
1600000	2019.9548769698204	0214	0.08834800000000001	0.001604	2019.8665289698204	0.062101	0
1625000	2019.9367780798696	0256	0.023666	0.024158	2019.9131120798695	0.042638	0
1650000	2019.9442565766833	0954	0.12503299999999998	0.056529	2019.8192235766833	0.075266	0
1675000	2019.8779300598578	0344	0.0015739999999999999	0.012354	2019.876356059858	0.077687	0
1700000	2019.9329060417745	0314	0.041114	0.008979	2019.8917920417744	0.071939	0
1725000	2019.940625452662	0178	0.027133	0.013404	2019.913492452662	0.025429	0
1750000	2019.8845619298704	0933	0.021839	0.042465	2019.8627229298704	0.077218	0
1775000	2019.9109884980694	0718	0.013819999999999999	0.029521	2019.8971684980695	0.057866	0
1800000	2019.9237099031568	0098	0.000521	0.003942	2019.9231889031569	0.00813	0
1825000	2019.884587734482	0111	0.021962000000000002	0.039481	2019.862625734482	0.04753	0
1850000	2019.8985413385997	0356	0.008556	0.051974	2019.8899853385997	0.069191	0
1875000	2019.8824508406026	0825	0.030436	0.009084	2019.8520148406026	0.032664	0
1900000	2019.8936423889913	0345	0.036912	0.039009	2019.8567303889913	0.063767	0
1925000	2019.8840866807627	0582	0.059557	0.070213	2019.8245296807627	0.092254	0
1950000	2019.8645024891234	0794	0.05919100000000001	0.079863	2019.8053114891234	0.09906	0
1975000	2019.9040814054733	0599	0.07579	0.041682	2019.8282914054732	0.052906	0
2000000	2019.923057675919	0708	0.0031609999999999997	0.034251	2019.9198966759188	0.038774	0
2025000	2019.9024509300273	0024	0.032181999999999995	0.043771	2019.8702689300274	0.08962	0
2050000	2019.9471278174121	0928	0.006692	0.0145	2019.9404358174122	0.037172	0
2075000	2019.8744538742765	0749	0.049263	0.050906	2019.8251908742764	0.059461	0
2100000	2019.8834144689652	0925	7.999999999999999e-05	0.000753	2019.8833344689651	0.012465	0
2125000	2019.9340852824387	0084	0.026704	0.011995	2019.9073812824386	0.016149	0
2150000	2019.9229928828288	0542	0.001101	0.003439	2019.9218918828287	0.009459	0
2175000	2019.8920028915663	0186	0.01485	0.02988	2019.8771528915663	0.063144	0
2200000	2019.949023588513	0813	0.012705	0.002745	2019.936318588513	0.013	0
2225000	2019.9181627013625	0512	0.000192	0.015027	2019.9179707013625	0.048309	0
2250000	2019.9564627232617	0469	0.067788	0.034935	2019.8886747232616	0.041387	0
2275000	2019.9279813965275	0134	0.042129	0.030875	2019.8858523965275	0.048548	0
2300000	2019.9059720281248	0478	0.018445	0.04024	2019.8875270281249	0.047934	0
2325000	2019.8941186103857	0522	0.001377	0.051925	2019.8927416103857	0.082637	0
2350000	2019.8836193346842	0008	0.006213	0.006223	2019.8774063346843	0.065403	0
2375000	2019.937200560417	0579	0.062946	0.01	2019.874254560417	0.059367	0
2400000	2019.9392159224374	0547	0.001276	0.035251	2019.9379399224374	0.042538	0
2425000	2019.955172232319	0777	0.036778	0.020362	2019.918394232319	0.04421	0
2450000	2019.944557597978	1007	0.061113	0.020695	2019.883444597978	0.034724	0
2475000	2019.9520014387251	1008	0.026175	0.011275	2019.9258264387252	0.031853	0
2500000	2019.9570610387245	0178	0.027133	0.013404	2019.9299280387245	0.025429	0
2525000	2019.941943381179	0716	0.054031	0.000674	2019.8879123811791	0.019206	0
2550000	2019.9287389188776	0264	0.052649	0.032126	2019.8760899188776	0.088899	0
2575000	2019.927523989592	0357	0.055352	0.076184	2019.8721719895918	0.098319	0
2600000	2019.9463295970265	0161	0.00846	0.032592	2019.9378695970265	0.03945	0
2625000	2019.9474967770504	0835	0.119286	0.075358	2019.8282107770503	0.138382	0
2650000	2019.9481681417974	0062	0.014919	0.018897	2019.9332491417974	0.035871	0
2675000	2019.9618774344492	0754	0.033294000000000004	0.034306	2019.9285834344491	0.038723	0
2700000	2019.905698284249	0488	0.022312000000000002	0.03341	2019.883386284249	0.052421	0
2725000	2019.9194789508501	0964	0.018947000000000002	0.035056	2019.90053195085	0.057124	0
2750000	2019.9361834089252	0361	0.018835	0.016507	2019.9173484089251	0.057907	0
2775000	2019.9545075020526	0851	0.023871	0.005044	2019.9306365020525	0.025674	0
2800000	2019.924738608424	0317	0.000295	0.022211	2019.9244436084239	0.031171	0
2825000	2019.9569843330455	1054	0.041298	0.004164	2019.9156863330454	0.029168	0
2850000	2019.9025966549939	0495	0.000529	0.001106	2019.902067654994	0.053765	0
2875000	2019.9445932897488	0841	0.004348	0.000114	2019.9402452897489	0.034243	0
2900000	2019.9246275454027	0625	0.002548	0.009251	2019.9220795454028	0.038793	0
2925000	2019.9529554351805	1096	0.002631	0.001113	2019.9503244351804	0.017255	0
2950000	2019.9249875241221	1066	0.02078	0.060006	2019.904207524122	0.067895	0
2975000	2019.943528800944	0214	0.08834800000000001	0.001604	2019.855180800944	0.062101	0
3000000	2019.9309348287074	1061	0.06517300000000001	0.038551	2019.8657618287075	0.107634	0
3025000	2019.9594341098743	1087	0.059219	0.01041	2019.9002151098744	0.064281	0
3050000	2019.9435124863169	0751	0.027199	0.000537	2019.9163134863168	0.014868	0
3075000	2019.8945406944965	0802	0.000415	0.03848	2019.8941256944966	0.05616	0
3100000	2019.9579030655696	0447	0.043282	0.006843	2019.9146210655695	0.04554	0
3125000	2019.9471083870442	0326	0.012884	0.034047	2019.9342243870442	0.040832	0
3150000	2019.933924931646	0011	0.00099	0.010052	2019.932934931646	0.039982	0
3175000	2019.8973376620604	0011	0.00099	0.010052	2019.8963476620604	0.039982	0
3200000	2019.9171633915053	0047	0.034997999999999994	0.007204	2019.8821653915052	0.040301	0
3225000	2019.8974441376986	0405	0.003374	0.041624	2019.8940701376987	0.074611	0
3250000	2019.9193008027153	0266	0.022348	0.02973	2019.8969528027153	0.063809	0
3275000	2019.9282295476855	0039	0.007895	0.009313	2019.9203345476856	0.037543	0
3300000	2019.9179144415689	0430	0.006272	0.020082	2019.9116424415688	0.045607	0
3325000	2019.950502705716	0726	0.057485	0.014145	2019.893017705716	0.016395	0
3350000	2019.9160535358667	1048	0.016795	0.042765	2019.8992585358667	0.06768	0
3375000	2019.920019410358	0490	0.040143	0.015302	2019.879876410358	0.04992	0
3400000	2019.880434361602	0618	0.002666	0.026716	2019.877768361602	0.043031	0
3425000	2019.9283995193425	0452	0.000946	0.023572	2019.9274535193424	0.038908	0
3450000	2019.8981699562469	1010	0.010109000000000002	0.014654	2019.8880609562468	0.058355	0
3475000	2019.9382636836328	0250	0.031627999999999996	0.028663	2019.9066356836329	0.049653	0
3500000	2019.9477318018414	0098	0.000521	0.003942	2019.9472108018415	0.00813	0
3525000	2019.8231495508644	0250	0.031627999999999996	0.028663	2019.7915215508644	0.049653	0
3550000	2019.9056113207077	0132	0.0042179999999999995	0.009741	2019.9013933207077	0.025427	0
3575000	2019.9334252226263	0200	0.017967	0.032156	2019.9154582226263	0.061471	0
3600000	2019.9151615927465	0012	0.007561	0.016343	2019.9076005927466	0.051925	0
3625000	2019.9353278938647	0584	0.022749	0.036489	2019.9125788938647	0.065475	0
3650000	2019.9357405092862	0050	0.069921	0.041809	2019.8658195092862	0.088707	0
3675000	2019.9305432450908	0672	0.011652000000000001	0.032399	2019.918891245091	0.056984	0
3700000	2019.9316370054066	0990	0.001712	0.002306	2019.9299250054066	0.011583	0
3725000	2019.9236696038683	0880	0.070744	0.045549	2019.8529256038682	0.05197	0
3750000	2019.937773650328	0029	0.028587	0.029185	2019.909186650328	0.045385	0
3775000	2019.9202878973513	0166	0.019681	0.019818	2019.9006068973513	0.061776	0
3800000	2019.9590958632596	0462	0.035638	0.020947	2019.9234578632595	0.026743	0
3825000	2019.9386481417357	0536	0.062653	0.026047	2019.8759951417358	0.089598	0
3850000	2019.8771321903043	0450	0.030084	0.016968	2019.8470481903043	0.029892	0
3875000	2019.9450381032564	0307	0.144646	0.003021	2019.8003921032564	0.05168	0
3900000	2019.9186235570066	0440	0.101832	0.12357	2019.8167915570066	0.139601	0
3925000	2019.9110157694472	0278	0.014329999999999999	0.010347	2019.8966857694472	0.064279	0
3950000	2019.9121932321916	0494	0.012752999999999999	0.035443	2019.8994402321916	0.074776	0
3975000	2019.9090222838647	0617	0.005911	0.009792	2019.9031112838647	0.068661	0
4000000	2019.894996050613	0194	0.048218000000000004	0.031594	2019.846778050613	0.116347	0
4025000	2019.9015807604712	0171	0.029710999999999998	0.050316	2019.8718697604713	0.07269	0
4050000	2019.9415065176124	0553	0.06273100000000001	0.013548	2019.8787755176124	0.071964	0
4075000	2019.9130761906006	0528	0.011956	0.010102	2019.9011201906005	0.043708	0
4100000	2019.9153277128762	0450	0.030084	0.016968	2019.8852437128762	0.029892	0
4125000	2019.939365405536	0504	0.034018	0.003119	2019.9053474055358	0.034148	0
4150000	2019.9434158432857	0201	0.005244	0.02329	2019.9381718432858	0.032649	0
4175000	2019.9391935576255	0210	0.031772999999999996	0.0561	2019.9074205576255	0.064639	0
4200000	2019.9251116435735	0544	0.026973	0.045373	2019.8981386435735	0.054911	0
4225000	2019.8891018528216	0518	0.001052	0.013657	2019.8880498528215	0.065404	0
4250000	2019.9130365588048	0355	0.08714999999999999	0.048658	2019.8258865588048	0.106158	0
4275000	2019.9348838186102	0701	0.12828399999999998	0.073787	2019.8065998186103	0.111829	0
4300000	2019.9475251739705	0590	0.015716	0.016277	2019.9318091739704	0.04573	0
4325000	2019.9139225193996	1031	0.063439	0.007107	2019.8504835193996	0.032548	0
4350000	2019.9287208875269	0412	0.003319	0.008451	2019.925401887527	0.045054	0
4375000	2019.907949482888	0893	0.053478	0.053481	2019.854471482888	0.104708	0
4400000	2019.916942240876	0012	0.007561	0.016343	2019.9093812408762	0.051925	0
4425000	2019.9450487030947	0730	0.009186	0.004915	2019.9358627030947	0.021938	0
4450000	2019.9140495703987	0428	0.023834	0.015205	2019.8902155703986	0.036965	0
4475000	2019.8960191428703	0709	0.022086	0.036366	2019.8739331428703	0.046691	0
4500000	2019.9349126743498	0321	0.04737699999999999	0.023365	2019.8875356743497	0.061122	0
4525000	2019.935176015199	0165	0.007597	0.006345	2019.927579015199	0.007332	0
4550000	2019.9135450770582	0511	0.025813	0.053205	2019.8877320770582	0.058998	0
4575000	2019.933944056237	0070	0.13422499999999998	0.029553	2019.7997190562369	0.039192	0
4600000	2019.9219154088128	0127	0.027774999999999998	0.030082	2019.8941404088127	0.071945	0
