S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999994	6	4	4	2	1	2	2	1	3	6	
4999998	2	2	2	0	0	1	1	0	1	2	
4999999	1	1	1	0	0	0	0	0	0	1	
4999999	1	1	1	0	0	0	0	0	0	1	
4999995	5	3	3	0	0	1	1	0	0	5	
4999996	4	2	2	1	0	1	1	0	1	4	
4999809	191	153	153	16	7	108	108	3	88	191	
4999997	3	3	3	0	0	2	2	0	1	3	
4999999	1	1	1	1	0	0	0	0	0	1	
4999995	5	3	3	0	0	2	2	0	0	5	
5000000	0	0	0	0	0	0	0	0	0	0	
4999997	3	2	2	0	0	1	1	0	1	3	
5000000	0	0	0	0	0	0	0	0	0	0	
4999995	5	5	5	1	1	2	2	0	2	5	
4999992	8	7	7	2	0	4	4	0	4	8	
4999984	16	13	13	2	1	11	11	0	12	16	
4999938	62	22	22	2	1	8	8	1	5	62	
4999990	10	7	7	1	1	5	5	0	4	10	
4999976	24	21	21	2	1	16	16	1	10	24	
4999988	12	9	9	1	1	5	5	1	6	12	
5000000	0	0	0	0	0	0	0	0	0	0	
5000000	0	0	0	0	0	0	0	0	0	0	
4999998	2	2	2	1	1	1	1	1	0	2	
5000000	0	0	0	0	0	0	0	0	0	0	
4999981	19	15	15	1	0	11	11	0	9	19	
4999996	4	4	4	1	0	3	3	0	3	4	
4999983	17	9	9	1	0	6	6	0	2	17	
4999998	2	2	2	1	0	0	0	0	0	2	
4996895	3105	1809	1809	182	47	972	972	8	615	3105	
4999972	28	12	12	1	0	7	7	0	4	28	
4999977	23	18	18	4	1	12	12	0	12	23	
4999970	30	22	22	5	2	14	14	2	5	30	
4999998	2	2	2	1	1	0	0	1	0	2	
4999993	7	4	4	0	0	2	2	0	2	7	
4999999	1	1	1	0	0	0	0	0	0	1	
4999961	39	18	18	2	2	5	5	0	1	39	
4999997	3	3	3	1	1	1	1	1	1	3	
4999992	8	7	7	2	2	5	5	1	5	8	
4999989	11	8	8	2	0	4	4	0	5	11	
4999997	3	2	2	1	0	0	0	0	0	3	
4999992	8	7	7	3	0	4	4	0	5	8	
4999998	2	2	2	1	1	0	0	1	0	2	
4999998	2	2	2	1	0	1	1	0	1	2	
4999961	39	34	34	5	3	27	27	2	24	39	
4999997	3	1	1	0	0	0	0	0	0	3	
4999995	5	4	4	0	0	3	3	0	2	5	
4999996	4	3	3	1	0	2	2	0	1	4	
4999978	22	20	20	3	2	16	16	2	16	22	
4999996	4	4	4	2	1	1	1	0	2	4	
4998932	1068	763	763	77	36	490	490	18	371	1068	
4999994	6	5	5	2	1	2	2	1	3	6	
4999997	3	2	2	0	0	2	2	0	2	3	
4999998	2	1	1	1	1	0	0	0	0	2	
4999998	2	2	2	1	1	1	1	0	1	2	
4999994	6	3	3	0	0	2	2	0	1	6	
4999990	10	9	9	1	1	8	8	1	9	10	
4999986	14	13	13	1	0	11	11	0	11	14	
4999999	1	1	1	0	0	0	0	0	0	1	
4999981	19	5	5	0	0	2	2	0	0	19	
4999999	1	1	1	0	0	0	0	0	0	1	
4999997	3	2	2	1	0	0	0	0	1	3	
4999985	15	12	12	2	1	6	6	0	3	15	
4999996	4	4	4	2	1	1	1	0	2	4	
4999998	2	2	2	1	1	1	1	0	1	2	
4999997	3	2	2	1	1	0	0	1	0	3	
4999998	2	2	2	1	1	0	0	0	0	2	
4999972	28	25	25	1	0	19	19	0	16	28	
4999998	2	1	1	0	0	1	1	0	0	2	
4999999	1	1	1	0	0	0	0	0	0	1	
4999985	15	12	12	2	1	8	8	1	8	15	
4999972	28	27	27	3	2	23	23	2	25	28	
5000000	0	0	0	0	0	0	0	0	0	0	
4999985	15	13	13	1	1	10	10	1	9	15	
4999976	24	19	19	1	0	10	10	0	9	24	
4999992	8	6	6	2	0	4	4	0	3	8	
4999985	15	12	12	4	1	5	5	0	6	15	
4999958	42	33	33	2	1	24	24	1	17	42	
4999879	121	88	88	7	3	62	62	2	58	121	
4999989	11	10	10	0	0	9	9	0	4	11	
4999993	7	6	6	0	0	5	5	0	3	7	
4999979	21	17	17	3	1	12	12	1	12	21	
4999998	2	2	2	0	0	0	0	0	0	2	
4999859	141	97	97	7	4	52	52	1	40	141	
4999877	123	58	58	5	2	28	28	2	14	123	
4999999	1	1	1	1	1	0	0	0	0	1	
4999993	7	6	6	1	0	3	3	0	4	7	
4999973	27	9	9	0	0	2	2	0	1	27	
4999998	2	1	1	0	0	0	0	0	0	2	
4999999	1	1	1	0	0	0	0	0	0	1	
4999996	4	4	4	2	0	1	1	0	2	4	
4999987	13	10	10	2	2	7	7	1	5	13	
