S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999756	244	174	174	29	9	107	107	5	102	244	
4999527	473	280	280	37	9	160	160	4	134	473	
4999361	639	419	419	37	9	263	263	6	201	639	
4998649	1351	712	712	59	14	338	338	7	181	1351	
4999866	134	105	105	13	6	73	73	1	62	134	
4996183	3817	2187	2187	214	60	1140	1140	17	712	3817	
4959210	40790	26496	26496	2821	867	15376	15376	324	10510	40790	
4999954	46	33	33	4	3	22	22	2	15	46	
4999656	344	187	187	16	8	108	108	3	76	344	
4981455	18545	11743	11743	1191	358	6874	6874	133	4756	18545	
4999925	75	49	49	7	3	30	30	1	22	75	
4999888	112	95	95	8	4	67	67	4	53	112	
4999924	76	40	40	6	5	23	23	2	20	76	
4999973	27	23	23	4	3	14	14	2	14	27	
4992913	7087	4231	4231	402	113	2294	2294	35	1455	7087	
4999764	236	163	163	15	5	100	100	4	69	236	
4957106	42894	28070	28070	2969	931	16555	16555	347	11655	42894	
4994888	5112	3131	3131	325	110	1760	1760	54	1198	5112	
4997504	2496	1462	1462	118	35	753	753	13	434	2496	
4999561	439	325	325	44	16	200	200	7	156	439	
4999911	89	59	59	12	6	27	27	3	18	89	
4999661	339	229	229	28	12	137	137	9	106	339	
4998968	1032	643	643	66	21	385	385	9	303	1032	
4999927	73	49	49	9	5	22	22	2	15	73	
4998832	1168	839	839	100	36	509	509	19	403	1168	
4998177	1823	1044	1044	108	30	514	514	3	309	1823	
4956215	43785	28127	28127	2925	868	16380	16380	331	11263	43785	
4987392	12608	7674	7674	802	246	4245	4245	83	2781	12608	
4581345	418655	336999	336999	41648	15959	236430	236430	8057	199435	418655	
4979866	20134	12642	12642	1278	394	7167	7167	130	4750	20134	
4995047	4953	3353	3353	371	118	2030	2030	50	1523	4953	
4995982	4018	2519	2519	247	82	1478	1478	32	979	4018	
4986946	13054	7874	7874	775	254	4239	4239	73	2613	13054	
4995273	4727	3076	3076	302	88	1816	1816	33	1252	4727	
4985043	14957	9345	9345	990	304	5386	5386	101	3653	14957	
4974770	25230	15612	15612	1559	471	8910	8910	183	6078	25230	
4999474	526	372	372	39	13	250	250	5	191	526	
4999946	54	43	43	2	2	36	36	2	31	54	
4999911	89	68	68	11	5	46	46	4	45	89	
4999586	414	287	287	28	11	176	176	7	127	414	
4999935	65	50	50	9	4	32	32	4	26	65	
4999840	160	106	106	12	4	60	60	2	46	160	
4999571	429	279	279	31	12	164	164	6	106	429	
4999755	245	166	166	20	8	102	102	5	92	245	
4971491	28509	18097	18097	1817	550	10378	10378	193	6979	28509	
4999963	37	18	18	2	1	7	7	1	6	37	
4999849	151	115	115	11	5	85	85	4	71	151	
4999938	62	54	54	5	3	44	44	3	38	62	
4999977	23	18	18	3	2	13	13	2	6	23	
4765738	234262	175497	175497	20405	7372	116106	116106	3264	90989	234262	
4999642	358	219	219	29	11	124	124	6	106	358	
4999970	30	22	22	3	2	18	18	1	13	30	
4999920	80	60	60	7	3	37	37	1	33	80	
4999976	24	20	20	3	1	15	15	1	16	24	
4937350	62650	41629	41629	4427	1399	25028	25028	532	17754	62650	
4999934	66	53	53	5	2	33	33	2	28	66	
4999931	69	64	64	12	6	47	47	3	49	69	
4999487	513	333	333	30	11	221	221	6	166	513	
4975007	24993	15647	15647	1587	455	8847	8847	155	5889	24993	
4999827	173	90	90	10	8	43	43	3	20	173	
4992284	7716	4516	4516	399	95	2377	2377	27	1392	7716	
4999932	68	63	63	10	6	47	47	3	50	68	
4999977	23	18	18	3	2	13	13	2	6	23	
4999979	21	15	15	2	2	13	13	2	13	21	
4999811	189	136	136	14	5	92	92	2	68	189	
4999545	455	225	225	26	11	94	94	2	55	455	
4999086	914	612	612	53	17	387	387	5	272	914	
4998951	1049	597	597	66	18	299	299	8	176	1049	
4999827	173	90	90	10	8	43	43	3	20	173	
4977365	22635	14078	14078	1415	471	7797	7797	169	4985	22635	
4999714	286	213	213	13	5	146	146	4	124	286	
4999921	79	64	64	8	3	48	48	3	36	79	
4994178	5822	3720	3720	414	138	2137	2137	57	1491	5822	
4933502	66498	44843	44843	4850	1601	27084	27084	601	19365	66498	
4998878	1122	814	814	96	30	488	488	13	375	1122	
4999468	532	414	414	47	20	294	294	11	246	532	
4999158	842	593	593	67	26	382	382	10	312	842	
4933698	66302	44228	44228	4706	1444	26413	26413	537	18755	66302	
4999957	43	40	40	3	1	32	32	1	32	43	
4999958	42	30	30	2	2	21	21	2	21	42	
4983898	16102	9567	9567	911	285	5245	5245	95	3268	16102	
4999946	54	46	46	3	1	36	36	1	29	54	
4909267	90733	63051	63051	6942	2345	39187	39187	926	28636	90733	
4972817	27183	18415	18415	1934	654	11276	11276	283	8211	27183	
4997702	2298	1393	1393	124	40	757	757	13	472	2298	
4999838	162	123	123	17	10	78	78	4	64	162	
4983873	16127	10170	10170	1044	352	5817	5817	122	3928	16127	
4999777	223	162	162	13	4	110	110	3	70	223	
4999817	183	123	123	23	9	82	82	4	70	183	
4999983	17	15	15	3	2	9	9	2	6	17	
4999909	91	83	83	15	5	57	57	4	64	91	
4998337	1663	1146	1146	123	40	717	717	20	510	1663	
4956155	43845	28137	28137	2920	879	16364	16364	326	11184	43845	
4903764	96236	65150	65150	7111	2251	39369	39369	813	27771	96236	
4999860	140	106	106	16	7	68	68	3	57	140	
4999949	51	44	44	4	1	37	37	1	37	51	
4999888	112	88	88	14	6	65	65	5	51	112	
4999896	104	47	47	7	2	23	23	1	9	104	
