S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999997	3	3	3	1	1	0	0	0	0	3	
4999976	24	23	23	6	1	16	16	1	20	24	
4999998	2	1	1	0	0	0	0	0	0	2	
5000000	0	0	0	0	0	0	0	0	0	0	
4999967	33	31	31	6	2	24	24	2	26	33	
5000000	0	0	0	0	0	0	0	0	0	0	
5000000	0	0	0	0	0	0	0	0	0	0	
4999943	57	55	55	11	5	43	43	5	52	57	
4999978	22	21	21	3	2	16	16	2	17	22	
4999969	31	28	28	4	2	23	23	2	25	31	
4999995	5	5	5	2	1	2	2	1	3	5	
4999985	15	12	12	2	1	6	6	0	3	15	
4999978	22	20	20	3	2	16	16	2	16	22	
4999996	4	3	3	1	1	1	1	1	1	4	
4999996	4	3	3	0	0	1	1	0	1	4	
4999997	3	1	1	0	0	1	1	0	1	3	
4999999	1	1	1	1	0	0	0	0	0	1	
4999997	3	3	3	1	1	0	0	0	0	3	
4999994	6	5	5	1	1	2	2	0	1	6	
4999996	4	2	2	1	0	1	1	0	0	4	
4999998	2	1	1	0	0	0	0	0	0	2	
4999996	4	4	4	1	1	2	2	1	2	4	
4999998	2	1	1	0	0	1	1	0	1	2	
4999945	55	55	55	11	5	42	42	5	52	55	
5000000	0	0	0	0	0	0	0	0	0	0	
4999987	13	11	11	2	2	9	9	1	10	13	
4999977	23	23	23	4	2	19	19	2	20	23	
4999998	2	1	1	0	0	1	1	0	0	2	
4999999	1	1	1	1	1	0	0	0	0	1	
4999945	55	55	55	11	5	42	42	5	52	55	
4999993	7	4	4	2	1	2	2	1	1	7	
4999972	28	26	26	1	1	23	23	1	21	28	
4999998	2	2	2	1	1	0	0	1	0	2	
4999998	2	2	2	1	1	1	1	0	1	2	
4999990	10	9	9	1	1	8	8	1	9	10	
4999992	8	5	5	1	0	3	3	0	1	8	
4999996	4	4	4	2	0	1	1	0	2	4	
4999999	1	1	1	1	1	0	0	0	0	1	
4999996	4	2	2	1	1	1	1	0	0	4	
4999994	6	4	4	1	1	3	3	0	2	6	
4999991	9	7	7	1	1	4	4	1	5	9	
4999995	5	2	2	1	0	1	1	0	1	5	
4999996	4	2	2	1	1	1	1	0	1	4	
5000000	0	0	0	0	0	0	0	0	0	0	
4999996	4	3	3	1	1	2	2	1	2	4	
4999995	5	3	3	0	0	1	1	0	1	5	
4999994	6	5	5	1	1	4	4	1	4	6	
4999979	21	18	18	3	2	12	12	1	12	21	
4999996	4	3	3	1	1	2	2	0	0	4	
4999966	34	28	28	4	3	20	20	2	16	34	
4999991	9	9	9	1	1	7	7	1	7	9	
4999999	1	1	1	0	0	0	0	0	0	1	
4999997	3	1	1	1	1	0	0	0	0	3	
4999995	5	4	4	2	2	2	2	1	3	5	
4999988	12	12	12	0	0	11	11	0	10	12	
5000000	0	0	0	0	0	0	0	0	0	0	
4999999	1	1	1	1	1	0	0	0	0	1	
4999993	7	6	6	3	0	3	3	0	4	7	
4999995	5	4	4	2	1	2	2	0	1	5	
4999998	2	1	1	1	1	0	0	0	0	2	
5000000	0	0	0	0	0	0	0	0	0	0	
4999987	13	10	10	2	2	8	8	1	7	13	
4999999	1	1	1	1	1	0	0	0	0	1	
4999993	7	7	7	2	2	3	3	1	3	7	
4999990	10	8	8	2	1	4	4	1	4	10	
4999990	10	8	8	2	1	4	4	1	4	10	
4999997	3	3	3	1	1	2	2	0	2	3	
4999996	4	2	2	0	0	2	2	0	0	4	
4999997	3	3	3	1	1	2	2	0	2	3	
4999987	13	12	12	1	1	11	11	0	11	13	
4999995	5	4	4	1	1	1	1	1	2	5	
4999997	3	3	3	0	0	2	2	0	1	3	
4999994	6	5	5	1	1	4	4	1	2	6	
4999993	7	6	6	2	0	4	4	0	5	7	
4999999	1	1	1	1	1	0	0	0	0	1	
4999995	5	5	5	1	1	4	4	1	3	5	
4999997	3	3	3	1	1	2	2	0	2	3	
4999992	8	7	7	1	1	6	6	0	6	8	
4999997	3	2	2	1	1	0	0	1	0	3	
4999994	6	6	6	1	0	4	4	0	5	6	
4999984	16	13	13	2	1	11	11	0	12	16	
4999990	10	9	9	1	1	8	8	1	9	10	
5000000	0	0	0	0	0	0	0	0	0	0	
4999985	15	12	12	2	2	9	9	1	10	15	
4999993	7	7	7	2	2	3	3	1	3	7	
4999975	25	22	22	3	2	19	19	2	20	25	
4999982	18	15	15	2	2	12	12	1	12	18	
4999996	4	3	3	1	1	2	2	1	3	4	
4999998	2	1	1	0	0	1	1	0	1	2	
4999999	1	1	1	1	1	0	0	0	0	1	
4999988	12	12	12	1	1	10	10	1	10	12	
4999988	12	12	12	1	1	10	10	1	10	12	
4999998	2	1	1	0	0	0	0	0	0	2	
4999993	7	3	3	0	0	3	3	0	2	7	
4999999	1	1	1	1	1	0	0	0	0	1	
4999979	21	16	16	1	0	14	14	0	14	21	
4999997	3	1	1	1	1	0	0	0	0	3	
4999994	6	6	6	1	0	5	5	0	5	6	
4999992	8	5	5	0	0	5	5	0	3	8	
4999999	1	1	1	0	0	0	0	0	0	1	
4999979	21	16	16	1	0	14	14	0	13	21	
4999998	2	2	2	1	1	0	0	0	0	2	
4999998	2	1	1	0	0	1	1	0	0	2	
4999997	3	2	2	1	1	0	0	0	0	3	
5000000	0	0	0	0	0	0	0	0	0	0	
4999998	2	1	1	0	0	1	1	0	0	2	
4999988	12	11	11	0	0	11	11	0	10	12	
4999999	1	1	1	0	0	0	0	0	0	1	
4999997	3	1	1	0	0	1	1	0	1	3	
4999986	14	13	13	1	1	10	10	1	10	14	
4999995	5	5	5	1	1	4	4	1	3	5	
4999999	1	1	1	1	0	0	0	0	0	1	
4999988	12	9	9	2	2	7	7	1	6	12	
4999996	4	4	4	2	1	2	2	0	1	4	
4999997	3	1	1	1	1	0	0	1	0	3	
4999993	7	6	6	2	2	3	3	1	3	7	
4999998	2	2	2	1	1	1	1	0	1	2	
4999999	1	1	1	1	1	0	0	0	0	1	
