S	E	P1	P2	I1	I2	A1	A2	H	R	inf	
4999962	38	36	36	4	2	29	29	1	30	38	
4999738	262	153	153	20	7	90	90	3	75	262	
4999883	117	99	99	15	3	73	73	3	68	117	
4999809	191	135	135	10	3	81	81	1	61	191	
4999875	125	108	108	12	2	86	86	2	86	125	
4999985	15	13	13	3	2	9	9	2	6	15	
4999969	31	25	25	6	5	16	16	3	18	31	
4998681	1319	722	722	75	20	353	353	10	220	1319	
4999923	77	65	65	5	4	54	54	3	50	77	
4999934	66	58	58	10	5	39	39	3	40	66	
4999914	86	70	70	7	4	47	47	4	40	86	
4999932	68	63	63	10	6	47	47	3	50	68	
4999938	62	54	54	5	3	44	44	3	38	62	
4999955	45	41	41	8	3	29	29	3	31	45	
4999988	12	11	11	4	2	7	7	1	8	12	
4999954	46	37	37	3	2	32	32	1	25	46	
4999832	168	85	85	15	4	34	34	1	26	168	
4998536	1464	867	867	83	26	429	429	8	250	1464	
4999592	408	244	244	26	11	144	144	6	99	408	
4999724	276	126	126	10	4	68	68	3	44	276	
4999935	65	52	52	8	2	36	36	1	31	65	
4999920	80	57	57	10	1	32	32	1	22	80	
4999979	21	15	15	2	2	12	12	2	12	21	
4998992	1008	539	539	59	14	267	267	8	171	1008	
4999963	37	26	26	4	2	15	15	1	13	37	
4999966	34	31	31	2	2	28	28	2	26	34	
4998703	1297	789	789	76	27	430	430	7	281	1297	
4999020	980	668	668	56	17	395	395	7	267	980	
4999781	219	109	109	20	6	51	51	1	31	219	
4998992	1008	539	539	59	14	267	267	8	171	1008	
4999924	76	58	58	11	5	39	39	4	43	76	
4999901	99	78	78	8	4	59	59	3	56	99	
4999875	125	89	89	9	4	63	63	2	49	125	
4999979	21	15	15	2	2	13	13	2	13	21	
4999913	87	57	57	5	2	40	40	2	30	87	
4999943	57	46	46	7	4	32	32	3	33	57	
4999981	19	17	17	3	2	10	10	2	6	19	
4999948	52	31	31	4	3	19	19	1	13	52	
4999979	21	15	15	3	2	9	9	1	9	21	
4999871	129	81	81	8	4	42	42	2	26	129	
4998948	1052	593	593	63	17	318	318	6	213	1052	
4999848	152	86	86	8	4	50	50	2	39	152	
4999974	26	18	18	4	1	9	9	1	9	26	
4999968	32	28	28	2	1	21	21	1	14	32	
4999984	16	14	14	3	1	8	8	1	9	16	
4999937	63	38	38	3	1	24	24	1	24	63	
4998856	1144	655	655	51	15	320	320	2	165	1144	
4999945	55	46	46	4	3	36	36	3	35	55	
4999904	96	38	38	4	2	13	13	2	11	96	
4999880	120	96	96	13	6	71	71	4	68	120	
4999966	34	27	27	3	2	17	17	1	14	34	
4999961	39	27	27	3	2	16	16	1	12	39	
4999963	37	32	32	5	3	26	26	3	25	37	
4999830	170	125	125	13	3	77	77	2	52	170	
4999957	43	34	34	1	1	27	27	1	20	43	
4999968	32	31	31	2	1	22	22	1	18	32	
4999976	24	23	23	6	4	14	14	3	14	24	
4999955	45	35	35	8	4	23	23	2	21	45	
4999910	90	68	68	16	6	44	44	3	41	90	
4999937	63	35	35	4	3	21	21	1	13	63	
4999963	37	26	26	4	2	15	15	1	13	37	
4999970	30	29	29	2	2	25	25	2	24	30	
4999947	53	36	36	6	2	22	22	2	17	53	
4999753	247	104	104	11	7	57	57	6	47	247	
4999647	353	182	182	17	5	102	102	1	69	353	
4999647	353	182	182	17	5	102	102	1	69	353	
4999977	23	17	17	2	2	11	11	2	11	23	
4999966	34	32	32	7	4	21	21	3	26	34	
4999978	22	16	16	2	2	9	9	2	10	22	
4999942	58	49	49	3	3	37	37	2	30	58	
4999507	493	305	305	37	17	183	183	7	121	493	
4999992	8	8	8	2	1	5	5	1	5	8	
4999985	15	14	14	4	2	10	10	1	13	15	
4999964	36	35	35	5	1	26	26	1	30	36	
4998311	1689	989	989	101	29	548	548	10	326	1689	
4999829	171	124	124	20	6	79	79	2	62	171	
4999976	24	19	19	3	2	12	12	2	11	24	
4999870	130	99	99	11	5	65	65	3	52	130	
4999900	100	75	75	13	6	45	45	2	45	100	
4999965	35	30	30	5	1	24	24	1	27	35	
4999924	76	71	71	12	6	53	53	3	56	76	
4999934	66	53	53	5	2	33	33	2	28	66	
4999985	15	11	11	1	1	7	7	1	6	15	
4999963	37	31	31	2	2	29	29	2	27	37	
4999753	247	104	104	11	7	57	57	6	47	247	
4999905	95	84	84	5	4	72	72	4	62	95	
4999949	51	42	42	2	2	34	34	2	32	51	
4999976	24	17	17	3	2	11	11	1	10	24	
4999929	71	54	54	5	4	39	39	4	29	71	
4999951	49	39	39	5	1	27	27	1	25	49	
4999911	89	55	55	6	2	35	35	2	29	89	
4999911	89	55	55	6	2	35	35	2	29	89	
4999982	18	12	12	2	2	10	10	1	11	18	
4999918	82	49	49	4	1	30	30	1	25	82	
4999954	46	29	29	4	3	13	13	1	11	46	
4999953	47	41	41	4	3	35	35	2	35	47	
4999964	36	31	31	5	3	24	24	3	24	36	
4999961	39	25	25	5	2	16	16	1	12	39	
4999957	43	39	39	2	1	30	30	1	27	43	
4999962	38	32	32	3	1	26	26	1	20	38	
4999954	46	41	41	4	2	35	35	1	34	46	
4999884	116	75	75	10	6	38	38	4	27	116	
